row_type,model,seed,train_mechanism,eval_mechanism,temperature,calibration_mode,mechanism_prior_strength,mechanism_prior_policy,mechanism_prior_selection_metric,mechanism_prior_selection_score,calibration_bias,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,route_regret_mean,route_regret_negative_ratio,route_regret_loss_weight,route_regret_compute_cost,route_regret_threshold,route_regret_threshold_policy,route_regret_selection_metric,route_regret_selection_score,seed_count
seed,wpu-cws-indexed-local-dense,11,nominal,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.0,0.75,0.226043,1.256564,0.766086,0.381368,4.9375,1.0,1.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,13,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.8125,0.5625,0.137636,1.007022,0.607451,0.445327,4.5625,1.0,1.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,13,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.1875,0.4375,0.118272,1.058648,0.642442,0.181531,4.5625,1.0,1.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,13,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.4375,0.75,0.148176,1.126827,0.683824,0.068627,4.5625,1.0,1.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,13,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.8125,0.9375,0.147667,0.999323,0.602345,0.442441,4.9375,1.0,1.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,13,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.625,0.5625,0.21792,1.010962,0.610914,0.2535,4.0625,1.0,1.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,13,nominal,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.0,0.5,0.275061,1.145035,0.698276,0.368493,4.5625,1.0,1.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,13,nominal,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.1875,0.75,0.158371,1.222327,0.744911,0.184285,4.9375,1.0,1.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,17,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.375,0.625,0.150409,1.049182,0.634482,0.014342,4.625,1.0,1.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,17,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.375,0.5,0.192771,1.069556,0.648077,0.019331,4.625,1.0,1.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,17,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.5625,0.5625,0.178075,1.043699,0.630818,0.202201,4.625,1.0,1.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,17,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.375,0.875,0.160844,1.052326,0.637186,0.015472,4.875,1.0,1.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,17,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.625,0.5625,0.190647,1.026045,0.6188,0.261441,4.0625,1.0,1.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
