accuracy,base_oracle_loss,base_oracle_match_rate,budget,causal_k,excess_over_base_oracle,excess_over_generated_oracle,generated_candidates,generated_oracle_accuracy,generated_oracle_loss,generated_oracle_match_rate,interaction_mode,loss,pairwise_weight,policy,propagation_steps,reranker_steps,retriever_steps,safe_margin,safe_uses_reranker,seed,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_4_rate,selected_generated_5_rate,selected_generated_6_rate,selected_generated_7_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,soft_ce_weight,static_generated_mode_from_validation,static_mode_from_validation,test_samples,total_objects_n,utility_weight,validation_reranker_loss,validation_samples,validation_static_loss
0.511111,0.904589,0.211111,4,16,0.029469,0.049049,8,0.555556,0.885009,0.288889,pairwise,0.934058,1.0,pairwise_margin_safe_reranker,40,600,400,0.005,1,13,0.022222,0.055556,0.066667,0.011111,0.2,0.044444,0.022222,0.2,0.622222,0.255556,0.033333,0.0,0.088889,0.25,generated_4,proximity,90,2048,0.05,0.870191,180,0.927068
0.544444,0.904589,1.0,4,16,0.0,0.01958,8,0.555556,0.885009,0.488889,pairwise,0.904589,1.0,base_oracle,40,600,400,0.005,,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.155556,0.033333,0.411111,0.25,generated_4,proximity,90,2048,0.05,0.870191,180,0.927068
0.555556,0.904589,0.488889,4,16,-0.01958,0.0,8,0.555556,0.885009,1.0,pairwise,0.885009,1.0,generated_oracle,40,600,400,0.005,,13,0.022222,0.166667,0.033333,0.011111,0.222222,0.022222,0.011111,0.022222,0.511111,0.366667,0.0,0.0,0.122222,0.25,generated_4,proximity,90,2048,0.05,0.870191,180,0.927068
0.5,0.905333,0.022222,4,16,0.026644,0.031405,8,0.522222,0.900573,0.0,pairwise,0.931978,1.0,static_base_validation_choice,40,600,400,0.005,,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,generated_0,learned,90,2048,0.05,0.914658,180,0.943245
0.488889,0.905333,0.0,4,16,0.027383,0.032144,8,0.522222,0.900573,0.077778,pairwise,0.932717,1.0,static_generated_validation_choice,40,600,400,0.005,,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,generated_0,learned,90,2048,0.05,0.914658,180,0.943245
0.5,0.905333,0.155556,4,16,0.024059,0.028819,8,0.522222,0.900573,0.222222,pairwise,0.929392,1.0,pairwise_generated_reranker,40,600,400,0.005,,17,0.088889,0.033333,0.144444,0.055556,0.1,0.011111,0.144444,0.033333,0.611111,0.177778,0.033333,0.044444,0.133333,0.25,generated_0,learned,90,2048,0.05,0.914658,180,0.943245
0.5,0.905333,0.155556,4,16,0.024059,0.028819,8,0.522222,0.900573,0.222222,pairwise,0.929392,1.0,pairwise_margin_safe_reranker,40,600,400,0.005,1,17,0.088889,0.033333,0.144444,0.055556,0.1,0.011111,0.144444,0.033333,0.611111,0.177778,0.033333,0.044444,0.133333,0.25,generated_0,learned,90,2048,0.05,0.914658,180,0.943245
0.522222,0.905333,1.0,4,16,0.0,0.00476,8,0.522222,0.900573,0.422222,pairwise,0.905333,1.0,base_oracle,40,600,400,0.005,,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.355556,0.244444,0.022222,0.377778,0.25,generated_0,learned,90,2048,0.05,0.914658,180,0.943245
0.522222,0.905333,0.422222,4,16,-0.00476,0.0,8,0.522222,0.900573,1.0,pairwise,0.900573,1.0,generated_oracle,40,600,400,0.005,,17,0.077778,0.166667,0.066667,0.077778,0.111111,0.011111,0.055556,0.011111,0.577778,0.311111,0.011111,0.0,0.1,0.25,generated_0,learned,90,2048,0.05,0.914658,180,0.943245
0.5,0.9361,0.388889,4,16,0.034919,0.044626,8,0.6,0.926393,0.055556,pairwise,0.971019,1.0,static_base_validation_choice,40,600,400,0.005,,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,generated_6,proximity,90,2048,0.05,0.841722,180,0.878886
0.5,0.9361,0.0,4,16,0.03738,0.047088,8,0.6,0.926393,0.011111,pairwise,0.973481,1.0,static_generated_validation_choice,40,600,400,0.005,,19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,generated_6,proximity,90,2048,0.05,0.841722,180,0.878886
0.477778,0.9361,0.255556,4,16,0.033818,0.043525,8,0.6,0.926393,0.233333,pairwise,0.969918,1.0,pairwise_generated_reranker,40,600,400,0.005,,19,0.077778,0.044444,0.122222,0.022222,0.166667,0.033333,0.088889,0.022222,0.577778,0.322222,0.066667,0.011111,0.022222,0.25,generated_6,proximity,90,2048,0.05,0.841722,180,0.878886
0.477778,0.9361,0.255556,4,16,0.033818,0.043525,8,0.6,0.926393,0.233333,pairwise,0.969918,1.0,pairwise_margin_safe_reranker,40,600,400,0.005,1,19,0.077778,0.044444,0.122222,0.022222,0.166667,0.033333,0.088889,0.022222,0.577778,0.322222,0.066667,0.011111,0.022222,0.25,generated_6,proximity,90,2048,0.05,0.841722,180,0.878886
0.588889,0.9361,1.0,4,16,0.0,0.009707,8,0.6,0.926393,0.422222,pairwise,0.9361,1.0,base_oracle,40,600,400,0.005,,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444444,0.144444,0.022222,0.388889,0.25,generated_6,proximity,90,2048,0.05,0.841722,180,0.878886
