row_type,model,seed,train_mechanism,eval_mechanism,temperature,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,seed_count
summary,graph-transformer,all,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,1.759103,32,37,36,0.333334,0.574074,0.049829,1.136717,0.694812,0.117834,4.808333,1.0,1.0,3
summary,graph-transformer,all,nominal+high_force+edge_shift+catch_heavy,edge_high_force,1.759103,32,37,36,0.583333,0.574074,0.172553,1.030843,0.617918,0.192212,4.375,1.0,1.0,3
summary,graph-transformer,all,nominal+high_force+edge_shift+catch_heavy,no_catch,1.759103,32,37,36,0.509259,0.675926,0.052339,0.95053,0.568315,0.142692,4.025,1.0,1.0,3
summary,serialized-token,all,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,1.838086,32,37,36,0.314815,0.574074,0.058474,1.138858,0.695226,0.116739,4.808333,1.0,1.0,3
summary,serialized-token,all,nominal+high_force+edge_shift+catch_heavy,edge_high_force,1.838086,32,37,36,0.574074,0.574074,0.161645,1.005557,0.604599,0.163274,4.375,1.0,1.0,3
summary,serialized-token,all,nominal+high_force+edge_shift+catch_heavy,no_catch,1.838086,32,37,36,0.425926,0.675926,0.059402,1.008237,0.606079,0.240509,4.025,1.0,1.0,3
summary,wpu-cws-indexed-local-dense,all,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,0.439098,32,37,36,0.407407,0.574074,0.227685,1.165734,0.709031,0.140705,4.808333,1.0,1.0,3
summary,wpu-cws-indexed-local-dense,all,nominal+high_force+edge_shift+catch_heavy,edge_high_force,0.439098,32,37,36,0.583333,0.574074,0.99416,1.150051,0.634865,0.196624,4.375,1.0,1.0,3
summary,wpu-cws-indexed-local-dense,all,nominal+high_force+edge_shift+catch_heavy,no_catch,0.439098,32,37,36,0.657407,0.675926,0.257033,0.886057,0.515926,0.193893,4.025,1.0,1.0,3
summary,wpu-cws-indexed-sparse,all,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,0.358364,32,37,36,0.453704,0.574074,0.164237,1.022022,0.618843,0.070473,4.808333,1.0,0.0,3
summary,wpu-cws-indexed-sparse,all,nominal+high_force+edge_shift+catch_heavy,edge_high_force,0.358364,32,37,36,0.490741,0.574074,0.975312,1.053014,0.634517,0.096703,4.375,1.0,0.0,3
summary,wpu-cws-indexed-sparse,all,nominal+high_force+edge_shift+catch_heavy,no_catch,0.358364,32,37,36,0.759259,0.675926,0.196548,0.924383,0.547242,0.33705,4.025,1.0,0.0,3
