row_type,policy,train_mechanism,eval_mechanism,seed,background_objects,total_objects_n,samples,threshold,dense_recompute_rate,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,seed_count
seed,wpu_gated_t0.65,nominal+high_force+edge_shift+catch_heavy,no_catch,23,32,37,36,0.65,1.0,0.694444,0.75,0.062255,0.917676,0.543523,0.260799,4.1,1.0,0.0,1
seed,wpu_sparse,nominal+high_force+edge_shift+catch_heavy,edge_high_force,23,32,37,36,-1.0,0.0,0.611111,0.638889,1.0524,1.092264,0.661734,0.25206,4.425,1.0,0.0,1
seed,wpu_local_dense,nominal+high_force+edge_shift+catch_heavy,edge_high_force,23,32,37,36,-1.0,1.0,0.611111,0.638889,1.070998,1.007594,0.598823,0.149708,4.425,1.0,1.0,1
seed,wpu_gated_t0.34,nominal+high_force+edge_shift+catch_heavy,edge_high_force,23,32,37,36,0.34,0.0,0.611111,0.638889,1.0524,1.092264,0.661734,0.25206,4.425,1.0,0.0,1
seed,wpu_gated_t0.40,nominal+high_force+edge_shift+catch_heavy,edge_high_force,23,32,37,36,0.4,1.0,0.611111,0.638889,1.070998,1.007594,0.598823,0.149708,4.425,1.0,0.0,1
seed,wpu_gated_t0.45,nominal+high_force+edge_shift+catch_heavy,edge_high_force,23,32,37,36,0.45,1.0,0.611111,0.638889,1.070998,1.007594,0.598823,0.149708,4.425,1.0,0.0,1
seed,wpu_gated_t0.50,nominal+high_force+edge_shift+catch_heavy,edge_high_force,23,32,37,36,0.5,1.0,0.611111,0.638889,1.070998,1.007594,0.598823,0.149708,4.425,1.0,0.0,1
seed,wpu_gated_t0.55,nominal+high_force+edge_shift+catch_heavy,edge_high_force,23,32,37,36,0.55,1.0,0.611111,0.638889,1.070998,1.007594,0.598823,0.149708,4.425,1.0,0.0,1
seed,wpu_gated_t0.60,nominal+high_force+edge_shift+catch_heavy,edge_high_force,23,32,37,36,0.6,1.0,0.611111,0.638889,1.070998,1.007594,0.598823,0.149708,4.425,1.0,0.0,1
seed,wpu_gated_t0.65,nominal+high_force+edge_shift+catch_heavy,edge_high_force,23,32,37,36,0.65,1.0,0.611111,0.638889,1.070998,1.007594,0.598823,0.149708,4.425,1.0,0.0,1
