causal_k,dense_beneficial,dense_breaks_sparse,dense_correct,dense_fixes_sparse,dense_loss,dense_needed,dense_regret,event_norm,interaction_density,interaction_mode,mean_pair_distance,min_pair_distance,sample_index,seed,sparse_confidence,sparse_correct,sparse_delta_norm,sparse_entropy,sparse_loss,sparse_margin,sparse_uncertainty_mean,target_x,target_y,total_objects_n
8,0,0,0,0,1.22789621,0,0.20095587,1.93442035,0.27193072,pairwise,0.18800393,0.03523195,38,11,0.47521365,0,0.26331607,1.01994431,1.02694035,0.1171127,0.53238809,0.46476805,0.0,2048
8,1,0,1,0,0.60780674,0,-0.17157775,1.61735725,0.19925921,pairwise,0.25262707,0.02008006,39,11,0.45868823,1,0.19596104,1.05381656,0.77938449,0.13335508,0.54707003,0.46568042,0.0,2048
8,1,0,1,0,0.51950288,0,-0.19170457,1.94451177,0.12487118,pairwise,0.27465683,0.04392429,40,11,0.4910509,1,0.26704422,1.01110125,0.71120745,0.14374021,0.53175902,0.64787298,0.0,2048
8,0,0,0,0,1.17108393,0,0.16265476,1.88232219,0.20006315,pairwise,0.22736518,0.01316184,41,11,0.45728791,0,0.23942713,1.0328331,1.00842917,0.09249634,0.53433871,0.48683816,0.0,2048
8,1,0,1,0,0.2667596,0,-0.28727105,1.55051446,0.1640016,pairwise,0.23305908,0.03223769,42,11,0.57462901,1,0.22646618,0.95538747,0.55403066,0.29501444,0.55338174,0.5387519,0.0,2048
8,0,0,0,0,1.39671636,0,0.37044382,1.66831434,0.16221611,pairwise,0.24998985,0.03472057,43,11,0.39207324,0,0.14463034,1.08126903,1.02627254,0.03373304,0.54318154,0.82983083,0.0,2048
8,0,0,0,0,1.0773387,0,0.1143167,1.77451885,0.10053434,pairwise,0.27892786,0.04629564,44,11,0.40494049,0,0.19924355,1.06326628,0.96302199,0.02320296,0.53863913,0.64161754,0.0,2048
8,1,0,1,0,0.40454072,0,-0.22663784,1.57794476,0.17795147,pairwise,0.22446309,0.04978611,45,11,0.53196448,1,0.20393914,0.99854064,0.63117856,0.23529568,0.55012882,0.55268294,0.0,2048
8,0,0,1,0,0.93598032,0,0.11338103,1.75090158,0.14898665,pairwise,0.31072262,0.03212159,46,11,0.43928835,1,0.19464855,1.04735696,0.82259929,0.07254702,0.53893363,0.95421612,0.0,2048
8,0,0,0,0,1.25353491,0,0.18750584,1.61303914,0.12315599,pairwise,0.21565104,0.07882056,47,11,0.42192703,0,0.14455716,1.07093596,1.06602907,0.07755375,0.54680347,0.79490125,0.0,2048
8,1,0,1,0,0.44244483,0,-0.21455118,1.58605766,0.1965349,pairwise,0.20094411,0.03189872,48,11,0.51840627,1,0.17673662,1.01009214,0.65699601,0.21551901,0.54917026,0.59082764,0.0,2048
8,1,0,1,0,0.52411634,0,-0.18217301,1.93904114,0.20419781,pairwise,0.22356741,0.0262491,49,11,0.49347192,1,0.28720582,1.00931847,0.70628935,0.1473642,0.53165996,0.91869289,0.0,2048
8,0,1,0,0,1.14268804,0,0.18726099,1.65314639,0.10024275,pairwise,0.30256945,0.04921905,50,11,0.38464785,1,0.15011872,1.0924499,0.95542705,0.06625426,0.54420495,0.79463536,0.0,2048
8,1,0,1,0,0.41463646,0,-0.27566513,1.5845691,0.17341518,pairwise,0.21718445,0.03897815,51,11,0.50142479,1,0.15470724,1.02361763,0.6903016,0.19107258,0.5490129,0.89635652,0.0,2048
8,0,0,1,0,0.84529978,0,0.00917232,1.77682269,0.14229129,pairwise,0.32489806,0.01713554,52,11,0.43338558,1,0.20624977,1.04871225,0.83612746,0.06132069,0.53811753,0.94164866,0.0,2048
8,0,0,0,0,1.10735202,0,0.12626725,1.81636286,0.18609719,pairwise,0.2082862,0.01977289,53,11,0.43485948,0,0.21646561,1.04562926,0.98108476,0.05995527,0.53675425,0.51977289,0.0,2048
8,1,0,1,1,0.95370835,1,-0.44133109,1.68528819,0.15895081,pairwise,0.21494195,0.01088018,54,11,0.39477363,0,0.16156796,1.0803715,1.39503944,0.0373705,0.54245186,0.79323697,0.0,2048
8,0,1,0,0,1.11983311,0,0.19049048,1.71097708,0.15554942,pairwise,0.22877669,0.03961975,55,11,0.39481318,1,0.15817712,1.06753588,0.92934263,0.00968459,0.54108459,0.8127746,0.0,2048
8,0,0,1,0,1.05741024,0,0.09832203,1.7016983,0.13746184,pairwise,0.2712236,0.01332243,56,11,0.38324219,1,0.17213908,1.08852601,0.95908821,0.03721792,0.54196298,0.58887041,0.0,2048
8,1,0,0,0,1.61980486,1,-0.08631718,1.819525,0.13963202,pairwise,0.29947403,0.02252775,57,11,0.45609942,0,0.22571841,1.03567386,1.70612204,0.09376746,0.53625071,0.97747225,0.0,2048
8,1,0,1,0,0.80580318,0,-0.00597948,1.79151511,0.16437335,pairwise,0.24773993,0.01859205,58,11,0.44406575,1,0.21376912,1.0420233,0.81178266,0.07531953,0.53733754,0.86202675,0.0,2048
8,0,0,0,0,1.06889451,0,0.10424823,1.7619158,0.11109405,pairwise,0.24559529,0.07149441,59,11,0.40837592,0,0.18554491,1.06139135,0.96464628,0.02725795,0.53903556,0.65229255,0.0,2048
8,1,0,1,1,0.76587003,1,-0.27215701,1.64707386,0.10473498,pairwise,0.27384326,0.04541004,60,11,0.36380914,0,0.15316495,1.09245634,1.03802705,0.00965643,0.54477972,0.66830426,0.0,2048
8,1,0,1,0,0.70998138,0,-0.14337617,1.82725191,0.31868458,pairwise,0.19489951,0.00745976,61,11,0.42598227,1,0.22253118,1.05191255,0.85335755,0.04988435,0.53658521,0.53199071,0.0,2048
8,0,0,0,0,1.08513212,0,0.12804109,1.7101438,0.12780449,pairwise,0.26285622,0.01624829,62,11,0.40239516,0,0.16684005,1.0635612,0.95709103,0.01838681,0.5409835,0.89544511,0.0,2048
8,1,0,1,0,0.36704019,0,-0.27303329,1.57451379,0.1663457,pairwise,0.20853518,0.02067939,63,11,0.52725369,1,0.15917519,1.00266588,0.64007348,0.22846568,0.54993337,0.79639584,0.0,2048
8,1,0,1,1,0.9634164,1,-0.02934408,1.74324334,0.25924566,pairwise,0.21835791,0.01367971,64,11,0.38418934,0,0.19392565,1.08008945,0.99276048,0.01363698,0.54014838,0.48632029,0.0,2048
