row_type,seed,mechanism,policy,samples,candidate_count,relation_precision,relation_recall,mean_selected_k,delta_mse,sign_accuracy,seed_count
seed,47,hidden_inverse_far,no_relation,256,8,0.000000,0.000000,0.000000,0.008265,0.496094,1
seed,47,hidden_inverse_far,geometry_law,256,8,0.000000,0.000000,0.000000,0.008265,0.496094,1
seed,47,hidden_inverse_far,type_prior_law,256,8,0.000000,0.000000,0.000000,0.008265,0.496094,1
seed,47,hidden_inverse_far,history_relation_law,256,8,0.632812,0.632812,1.000000,0.001049,1.000000,1
seed,47,hidden_inverse_far,oracle_relation_law,256,8,1.000000,1.000000,1.000000,0.000456,1.000000,1
seed,47,hidden_inverse_gain_shift,no_relation,256,8,0.000000,0.000000,0.000000,0.980116,0.496094,1
seed,47,hidden_inverse_gain_shift,geometry_law,256,8,0.123944,0.343750,2.773438,5.041500,0.992188,1
seed,47,hidden_inverse_gain_shift,type_prior_law,256,8,0.000000,0.000000,0.000000,0.980116,0.496094,1
seed,47,hidden_inverse_gain_shift,history_relation_law,256,8,0.996094,0.996094,1.000000,0.110072,1.000000,1
seed,47,hidden_inverse_gain_shift,oracle_relation_law,256,8,1.000000,1.000000,1.000000,0.110043,1.000000,1
seed,47,hidden_power_shift,no_relation,256,8,0.000000,0.000000,0.000000,0.717259,0.496094,1
seed,47,hidden_power_shift,geometry_law,256,8,0.123944,0.343750,2.773438,5.748818,0.992188,1
seed,47,hidden_power_shift,type_prior_law,256,8,0.000000,0.000000,0.000000,0.717259,0.496094,1
seed,47,hidden_power_shift,history_relation_law,256,8,0.953125,0.953125,1.000000,0.050089,1.000000,1
seed,47,hidden_power_shift,oracle_relation_law,256,8,1.000000,1.000000,1.000000,0.046404,1.000000,1
summary,all,hidden_inverse,geometry_law,1280,8,0.130097,0.342969,2.637500,6.049853,0.979688,5
summary,all,hidden_inverse,history_relation_law,1280,8,0.988281,0.988281,1.000000,0.000828,1.000000,5
summary,all,hidden_inverse,no_relation,1280,8,0.000000,0.000000,0.000000,0.445909,0.487500,5
summary,all,hidden_inverse,oracle_relation_law,1280,8,1.000000,1.000000,1.000000,0.000260,1.000000,5
summary,all,hidden_inverse,type_prior_law,1280,8,0.000000,0.000000,0.000000,0.445909,0.487500,5
summary,all,hidden_inverse_far,geometry_law,1280,8,0.000000,0.000000,0.000000,0.008515,0.487500,5
summary,all,hidden_inverse_far,history_relation_law,1280,8,0.658594,0.658594,1.000000,0.000834,0.998438,5
summary,all,hidden_inverse_far,no_relation,1280,8,0.000000,0.000000,0.000000,0.008515,0.487500,5
summary,all,hidden_inverse_far,oracle_relation_law,1280,8,1.000000,1.000000,1.000000,0.000355,0.997656,5
summary,all,hidden_inverse_far,type_prior_law,1280,8,0.000000,0.000000,0.000000,0.008515,0.487500,5
summary,all,hidden_inverse_gain_shift,geometry_law,1280,8,0.130097,0.342969,2.637500,4.997818,0.979688,5
summary,all,hidden_inverse_gain_shift,history_relation_law,1280,8,0.996094,0.996094,1.000000,0.112252,1.000000,5
summary,all,hidden_inverse_gain_shift,no_relation,1280,8,0.000000,0.000000,0.000000,1.003059,0.487500,5
summary,all,hidden_inverse_gain_shift,oracle_relation_law,1280,8,1.000000,1.000000,1.000000,0.112155,1.000000,5
summary,all,hidden_inverse_gain_shift,type_prior_law,1280,8,0.000000,0.000000,0.000000,1.003059,0.487500,5
summary,all,hidden_power_shift,geometry_law,1280,8,0.130097,0.342969,2.637500,5.689005,0.979688,5
summary,all,hidden_power_shift,history_relation_law,1280,8,0.953125,0.953125,1.000000,0.052089,1.000000,5
summary,all,hidden_power_shift,no_relation,1280,8,0.000000,0.000000,0.000000,0.739034,0.487500,5
summary,all,hidden_power_shift,oracle_relation_law,1280,8,1.000000,1.000000,1.000000,0.047200,1.000000,5
summary,all,hidden_power_shift,type_prior_law,1280,8,0.000000,0.000000,0.000000,0.739034,0.487500,5
