mode,total_n,contamination,missing_membership,horizon,streams,mean_selected_k,max_selected_k,causal_recall,causal_precision,trajectory_mse,state_integrity,false_updates,work_proxy,bytes_proxy
wpu-region-guard,8192,8,0.5,25,24,14.25,16.0,0.78125,0.433944,0.119924,0.896539,8.0,14.25,513.0
wpu-selective-region-guard,8192,8,0.5,25,24,14.375,15.0,0.796875,0.44188,0.113437,0.899516,8.0,14.375,517.5
dense-state-copy,8192,8,0.5,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,8192.0,294912.0
wpu-region-guard,8192,32,0.0,25,24,40.0,40.0,1.0,0.2,0.091568,0.916145,32.0,40.0,1440.0
wpu-selective-region-guard,8192,32,0.0,25,24,16.0,16.0,1.0,0.5,0.026028,0.974643,8.0,16.0,576.0
dense-state-copy,8192,32,0.0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,8192.0,294912.0
wpu-region-guard,8192,32,0.25,25,24,39.125,40.0,0.890625,0.181778,0.13912,0.879129,32.0,39.125,1408.5
wpu-selective-region-guard,8192,32,0.25,25,24,16.0,16.0,0.921875,0.460938,0.064538,0.940759,8.625,16.0,576.0
dense-state-copy,8192,32,0.25,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,8192.0,294912.0
wpu-region-guard,8192,32,0.5,25,24,38.583333,40.0,0.822917,0.169925,0.169499,0.857381,32.0,38.583333,1389.0
wpu-selective-region-guard,8192,32,0.5,25,24,16.0,16.0,0.817708,0.408854,0.114783,0.899559,9.458333,16.0,576.0
dense-state-copy,8192,32,0.5,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,8192.0,294912.0
wpu-region-guard,8192,128,0.0,25,24,136.0,136.0,1.0,0.058824,0.360707,0.734968,128.0,136.0,4896.0
wpu-selective-region-guard,8192,128,0.0,25,24,16.0,16.0,1.0,0.5,0.033764,0.967344,8.0,16.0,576.0
dense-state-copy,8192,128,0.0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,8192.0,294912.0
wpu-region-guard,8192,128,0.25,25,24,135.083333,136.0,0.885417,0.052411,0.40944,0.710305,128.0,135.083333,4863.0
wpu-selective-region-guard,8192,128,0.25,25,24,16.0,16.0,0.911458,0.455729,0.073642,0.932567,8.708333,16.0,576.0
dense-state-copy,8192,128,0.25,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,8192.0,294912.0
wpu-region-guard,8192,128,0.5,25,24,134.041667,135.0,0.755208,0.045022,0.47708,0.678081,128.0,134.041667,4825.5
wpu-selective-region-guard,8192,128,0.5,25,24,16.0,16.0,0.828125,0.414062,0.114743,0.89964,9.375,16.0,576.0
dense-state-copy,8192,128,0.5,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,8192.0,294912.0
