accuracy,budget,candidate_oracle_loss,causal_k,composition_steps,excess_over_candidate_oracle,generated_candidates,heldout_seed,interaction_mode,loss,oracle_match_rate,policy,propagation_steps,regret_retriever_steps,retriever_steps,seed,selected_composition_argmax_rate,selected_composition_count_only_rate,selected_composition_expected_rate,selected_composition_rate,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,set_evaluator_steps,test_samples,total_objects_n,train_evaluator_loss,train_seed_count,train_static_learned_loss,validation_samples_per_seed
0.466667,4,0.875111,16,600,0.134954,4,23,pairwise,1.010065,0.177778,set_evaluator,40,600,400,23,0.055556,0.0,0.044444,0.1,0.066667,0.244444,0.044444,0.011111,0.366667,0.288889,0.022222,0.0,0.222222,600,90,2048,0.881451,4,0.920348,180
0.666667,4,0.875111,16,600,0.0,4,23,pairwise,0.875111,1.0,generated_plus_composition_oracle,40,600,400,23,0.233333,0.033333,0.0,0.266667,0.022222,0.233333,0.088889,0.0,0.344444,0.222222,0.0,0.0,0.166667,600,90,2048,0.881451,4,0.920348,180
0.466667,4,0.989982,32,600,0.034571,4,11,pairwise,1.024553,0.011111,static_learned_interaction,40,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,90,2048,0.963073,4,0.985029,180
0.477778,4,0.989982,32,600,0.030942,4,11,pairwise,1.020924,0.2,set_evaluator,40,600,400,11,0.022222,0.022222,0.033333,0.077778,0.088889,0.266667,0.055556,0.0,0.411111,0.266667,0.055556,0.0,0.188889,600,90,2048,0.963073,4,0.985029,180
0.522222,4,0.989982,32,600,0.0,4,11,pairwise,0.989982,1.0,generated_plus_composition_oracle,40,600,400,11,0.2,0.0,0.044444,0.244444,0.077778,0.277778,0.033333,0.055556,0.444444,0.166667,0.011111,0.011111,0.122222,600,90,2048,0.963073,4,0.985029,180
0.466667,4,0.956907,32,600,0.032244,4,13,pairwise,0.989151,0.0,static_learned_interaction,40,600,400,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,90,2048,0.964794,4,0.984442,180
0.488889,4,0.956907,32,600,0.028604,4,13,pairwise,0.98551,0.155556,set_evaluator,40,600,400,13,0.011111,0.0,0.055556,0.066667,0.044444,0.177778,0.077778,0.011111,0.311111,0.411111,0.022222,0.0,0.188889,600,90,2048,0.964794,4,0.984442,180
0.566667,4,0.956907,32,600,0.0,4,13,pairwise,0.956907,1.0,generated_plus_composition_oracle,40,600,400,13,0.333333,0.055556,0.022222,0.411111,0.022222,0.2,0.077778,0.011111,0.311111,0.155556,0.0,0.0,0.122222,600,90,2048,0.964794,4,0.984442,180
0.455556,4,0.986619,32,600,0.019391,4,17,pairwise,1.00601,0.011111,static_learned_interaction,40,600,400,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,90,2048,0.956345,4,0.980855,180
0.488889,4,0.986619,32,600,0.019513,4,17,pairwise,1.006132,0.177778,set_evaluator,40,600,400,17,0.033333,0.022222,0.044444,0.1,0.044444,0.188889,0.022222,0.0,0.255556,0.5,0.033333,0.0,0.111111,600,90,2048,0.956345,4,0.980855,180
0.544444,4,0.986619,32,600,0.0,4,17,pairwise,0.986619,1.0,generated_plus_composition_oracle,40,600,400,17,0.111111,0.011111,0.022222,0.144444,0.111111,0.133333,0.155556,0.088889,0.488889,0.222222,0.022222,0.011111,0.111111,600,90,2048,0.956345,4,0.980855,180
0.5,4,0.962724,32,600,0.040094,4,19,pairwise,1.002818,0.0,static_learned_interaction,40,600,400,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,90,2048,0.961956,4,0.985134,180
0.477778,4,0.962724,32,600,0.041643,4,19,pairwise,1.004367,0.122222,set_evaluator,40,600,400,19,0.033333,0.0,0.055556,0.088889,0.066667,0.177778,0.055556,0.011111,0.311111,0.433333,0.055556,0.011111,0.1,600,90,2048,0.961956,4,0.985134,180
0.566667,4,0.962724,32,600,0.0,4,19,pairwise,0.962724,1.0,generated_plus_composition_oracle,40,600,400,19,0.244444,0.022222,0.033333,0.3,0.066667,0.3,0.044444,0.033333,0.444444,0.155556,0.011111,0.0,0.088889,600,90,2048,0.961956,4,0.985134,180
0.488889,4,0.946024,32,600,0.051916,4,23,pairwise,0.997941,0.0,static_learned_interaction,40,600,400,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,90,2048,0.964656,4,0.980167,180
0.622222,4,0.946024,32,600,0.045077,4,23,pairwise,0.991101,0.155556,set_evaluator,40,600,400,23,0.077778,0.022222,0.011111,0.111111,0.033333,0.255556,0.133333,0.0,0.422222,0.388889,0.022222,0.0,0.055556,600,90,2048,0.964656,4,0.980167,180
0.7,4,0.946024,32,600,0.0,4,23,pairwise,0.946024,1.0,generated_plus_composition_oracle,40,600,400,23,0.3,0.0,0.011111,0.311111,0.033333,0.288889,0.044444,0.033333,0.4,0.144444,0.0,0.0,0.144444,600,90,2048,0.964656,4,0.980167,180
