accuracy,budget,causal_k,excess_over_generated_oracle,generated_candidates,interaction_mode,interaction_retriever_steps,loss,policy,propagation_steps,regret_retriever_steps,seed,selected_hand_rate,selected_obstacles,test_samples,total_objects_n,validation_samples,validation_static_base_mode
0.477778,4,32,0.034063,4,pairwise,400,1.024479,static_interaction,40,600,11,1.0,2,90,2048,180,indexed
0.466667,4,32,0.034137,4,pairwise,400,1.024553,static_learned_interaction,40,600,11,1.0,2,90,2048,180,indexed
0.466667,4,32,0.032981,4,pairwise,400,1.023397,regret_distilled_retriever,40,600,11,0.955556,0.833333,90,2048,180,indexed
0.466667,4,32,0.034137,4,pairwise,400,1.024553,interaction_retrained_reference,40,600,11,1.0,2,90,2048,180,indexed
0.522222,4,32,0.0,4,pairwise,400,0.990416,generated_oracle,40,600,11,0.533333,1.822222,90,2048,180,indexed
0.5,4,32,0.032921,4,pairwise,400,0.990135,static_validation_base_choice,40,600,13,1.0,0,90,2048,180,indexed
0.477778,4,32,0.031961,4,pairwise,400,0.989175,static_interaction,40,600,13,1.0,2,90,2048,180,indexed
0.466667,4,32,0.031937,4,pairwise,400,0.989151,static_learned_interaction,40,600,13,1.0,2,90,2048,180,indexed
0.511111,4,32,0.022503,4,pairwise,400,0.979717,regret_distilled_retriever,40,600,13,0.777778,0.911111,90,2048,180,indexed
0.466667,4,32,0.031937,4,pairwise,400,0.989151,interaction_retrained_reference,40,600,13,1.0,2,90,2048,180,indexed
0.566667,4,32,0.0,4,pairwise,400,0.957214,generated_oracle,40,600,13,0.588889,1.566667,90,2048,180,indexed
0.455556,4,32,0.02005,4,pairwise,400,1.006883,static_validation_base_choice,40,600,17,0.333333,2.533333,90,2048,180,proximity
0.455556,4,32,0.018945,4,pairwise,400,1.005778,static_interaction,40,600,17,1.0,2,90,2048,180,proximity
0.455556,4,32,0.019177,4,pairwise,400,1.00601,static_learned_interaction,40,600,17,1.0,2,90,2048,180,proximity
0.522222,4,32,0.013747,4,pairwise,400,1.00058,regret_distilled_retriever,40,600,17,0.955556,1.244444,90,2048,180,proximity
0.455556,4,32,0.019177,4,pairwise,400,1.00601,interaction_retrained_reference,40,600,17,1.0,2,90,2048,180,proximity
0.544444,4,32,0.0,4,pairwise,400,0.986833,generated_oracle,40,600,17,0.733333,1.722222,90,2048,180,proximity
0.477778,4,32,0.040186,4,pairwise,400,1.003158,static_validation_base_choice,40,600,19,0.3,2.611111,90,2048,180,proximity
0.5,4,32,0.04025,4,pairwise,400,1.003221,static_interaction,40,600,19,1.0,2,90,2048,180,proximity
