accuracy,budget,causal_k,excess_over_generated_oracle,generated_candidates,heldout_seed,interaction_mode,interaction_retriever_steps,loss,policy,propagation_steps,regret_retriever_steps,seed,selected_hand_rate,selected_obstacles,test_samples,total_objects_n,train_seed_count,validation_samples_per_seed,validation_static_base_mode
0.488889,4,16,0.028168,4,11,pairwise,400,0.963266,cross_seed_regret_distilled_retriever,40,600,11,0.888889,1.133333,90,2048,4,180,learned
0.477778,4,16,0.034464,4,11,pairwise,400,0.969562,cross_seed_regret_min1_obstacle,40,600,11,0.877778,1.533333,90,2048,4,180,learned
0.488889,4,16,0.035587,4,11,pairwise,400,0.970684,cross_seed_regret_min2_obstacles,40,600,11,0.855556,2.088889,90,2048,4,180,learned
0.544444,4,16,0.0,4,11,pairwise,400,0.935098,generated_oracle,40,600,11,0.577778,1.7,90,2048,4,180,learned
0.5,4,16,0.059514,4,13,pairwise,400,0.948618,static_validation_base_choice,40,600,13,0.355556,2.511111,90,2048,4,180,proximity
0.522222,4,16,0.056717,4,13,pairwise,400,0.945821,static_interaction,40,600,13,1.0,2,90,2048,4,180,proximity
0.522222,4,16,0.056724,4,13,pairwise,400,0.945828,static_learned_interaction,40,600,13,1.0,2,90,2048,4,180,proximity
0.511111,4,16,0.054899,4,13,pairwise,400,0.944003,cross_seed_regret_distilled_retriever,40,600,13,0.933333,1.088889,90,2048,4,180,proximity
0.5,4,16,0.054745,4,13,pairwise,400,0.943849,cross_seed_regret_min1_obstacle,40,600,13,0.911111,1.444444,90,2048,4,180,proximity
0.522222,4,16,0.05676,4,13,pairwise,400,0.945864,cross_seed_regret_min2_obstacles,40,600,13,0.888889,2.055556,90,2048,4,180,proximity
0.555556,4,16,0.0,4,13,pairwise,400,0.889104,generated_oracle,40,600,13,0.488889,1.766667,90,2048,4,180,proximity
0.5,4,16,0.030557,4,17,pairwise,400,0.931978,static_validation_base_choice,40,600,17,1.0,2,90,2048,4,180,learned
0.5,4,16,0.030331,4,17,pairwise,400,0.931751,static_interaction,40,600,17,1.0,2,90,2048,4,180,learned
0.5,4,16,0.030557,4,17,pairwise,400,0.931978,static_learned_interaction,40,600,17,1.0,2,90,2048,4,180,learned
0.488889,4,16,0.030016,4,17,pairwise,400,0.931437,cross_seed_regret_distilled_retriever,40,600,17,0.855556,1.077778,90,2048,4,180,learned
0.5,4,16,0.031559,4,17,pairwise,400,0.93298,cross_seed_regret_min1_obstacle,40,600,17,0.833333,1.5,90,2048,4,180,learned
0.5,4,16,0.03229,4,17,pairwise,400,0.933711,cross_seed_regret_min2_obstacles,40,600,17,0.833333,2.122222,90,2048,4,180,learned
0.522222,4,16,0.0,4,17,pairwise,400,0.901421,generated_oracle,40,600,17,0.666667,1.655556,90,2048,4,180,learned
0.5,4,16,0.041492,4,19,pairwise,400,0.971019,static_validation_base_choice,40,600,19,0.288889,2.544444,90,2048,4,180,proximity
0.488889,4,16,0.043256,4,19,pairwise,400,0.972783,static_interaction,40,600,19,1.0,2,90,2048,4,180,proximity
0.488889,4,16,0.043424,4,19,pairwise,400,0.972951,static_learned_interaction,40,600,19,1.0,2,90,2048,4,180,proximity
0.511111,4,16,0.04161,4,19,pairwise,400,0.971137,cross_seed_regret_distilled_retriever,40,600,19,0.911111,0.877778,90,2048,4,180,proximity
0.5,4,16,0.042868,4,19,pairwise,400,0.972396,cross_seed_regret_min1_obstacle,40,600,19,0.877778,1.377778,90,2048,4,180,proximity
0.5,4,16,0.042432,4,19,pairwise,400,0.971959,cross_seed_regret_min2_obstacles,40,600,19,0.822222,2.066667,90,2048,4,180,proximity
0.611111,4,16,0.0,4,19,pairwise,400,0.929527,generated_oracle,40,600,19,0.611111,1.611111,90,2048,4,180,proximity
0.522222,4,16,0.094408,4,23,pairwise,400,0.969598,static_validation_base_choice,40,600,23,1.0,0,90,2048,4,180,indexed
0.511111,4,16,0.133401,4,23,pairwise,400,1.008591,static_interaction,40,600,23,1.0,2,90,2048,4,180,indexed
0.511111,4,16,0.133146,4,23,pairwise,400,1.008336,static_learned_interaction,40,600,23,1.0,2,90,2048,4,180,indexed
0.566667,4,16,0.079916,4,23,pairwise,400,0.955106,cross_seed_regret_distilled_retriever,40,600,23,0.933333,0.911111,90,2048,4,180,indexed
0.522222,4,16,0.109541,4,23,pairwise,400,0.984731,cross_seed_regret_min1_obstacle,40,600,23,0.922222,1.355556,90,2048,4,180,indexed
0.511111,4,16,0.128471,4,23,pairwise,400,1.003661,cross_seed_regret_min2_obstacles,40,600,23,0.877778,2.044444,90,2048,4,180,indexed
0.666667,4,16,0.0,4,23,pairwise,400,0.87519,generated_oracle,40,600,23,0.488889,1.777778,90,2048,4,180,indexed
0.466667,4,32,0.034608,4,11,pairwise,400,1.025025,static_validation_base_choice,40,600,11,1.0,0,90,2048,4,180,indexed
0.477778,4,32,0.034063,4,11,pairwise,400,1.024479,static_interaction,40,600,11,1.0,2,90,2048,4,180,indexed
0.466667,4,32,0.034137,4,11,pairwise,400,1.024553,static_learned_interaction,40,600,11,1.0,2,90,2048,4,180,indexed
