model,test_seed,feature_count,compute_cost,samples,target_mean,prediction_mean,regret_mse,regret_mae,regret_r2,regret_pearson,dense_rate,oracle_dense_rate,policy_loss,sparse_loss,dense_loss,oracle_loss,policy_delta_vs_sparse,policy_excess_over_oracle,policy_accuracy,sparse_accuracy,dense_accuracy,oracle_accuracy
mlp_route_context_regret,17,17,0.1,270,0.013913,-0.072296,0.117975,0.267549,-0.390113,0.330072,0.440741,0.418519,1.022112,0.996715,1.110629,0.957319,0.025396,0.064793,0.481481,0.488889,0.47037,0.574074
mlp_state_regret,19,7,0.02,270,0.028698,0.005021,0.08346,0.214088,0.130378,0.370319,0.396296,0.562963,0.964275,0.981818,1.030516,0.895275,-0.017543,0.069,0.477778,0.474074,0.485185,0.544444
mlp_state_regret,19,7,0.05,270,0.028698,0.005021,0.08346,0.214088,0.130378,0.370319,0.322222,0.522222,0.970698,0.981818,1.060516,0.911589,-0.01112,0.059109,0.477778,0.474074,0.485185,0.544444
mlp_state_regret,19,7,0.1,270,0.028698,0.005021,0.08346,0.214088,0.130378,0.370319,0.159259,0.440741,0.970782,0.981818,1.110516,0.935515,-0.011036,0.035266,0.474074,0.474074,0.485185,0.544444
mlp_sparse_diagnostics_regret,19,12,0.02,270,0.028698,0.043469,0.080307,0.222471,0.163235,0.407179,0.259259,0.562963,0.964968,0.981818,1.030516,0.895275,-0.01685,0.069693,0.466667,0.474074,0.485185,0.544444
mlp_sparse_diagnostics_regret,19,12,0.05,270,0.028698,0.043469,0.080307,0.222471,0.163235,0.407179,0.177778,0.522222,0.969833,0.981818,1.060516,0.911589,-0.011985,0.058244,0.474074,0.474074,0.485185,0.544444
mlp_sparse_diagnostics_regret,19,12,0.1,270,0.028698,0.043469,0.080307,0.222471,0.163235,0.407179,0.092593,0.440741,0.974945,0.981818,1.110516,0.935515,-0.006873,0.03943,0.477778,0.474074,0.485185,0.544444
mlp_state_selector_regret,19,9,0.02,270,0.028698,-0.00017,0.080767,0.213447,0.158438,0.412066,0.440741,0.562963,0.958709,0.981818,1.030516,0.895275,-0.023109,0.063434,0.474074,0.474074,0.485185,0.544444
mlp_state_selector_regret,19,9,0.05,270,0.028698,-0.00017,0.080767,0.213447,0.158438,0.412066,0.340741,0.522222,0.966288,0.981818,1.060516,0.911589,-0.01553,0.0547,0.485185,0.474074,0.485185,0.544444
mlp_state_selector_regret,19,9,0.1,270,0.028698,-0.00017,0.080767,0.213447,0.158438,0.412066,0.225926,0.440741,0.980658,0.981818,1.110516,0.935515,-0.00116,0.045142,0.481481,0.474074,0.485185,0.544444
mlp_state_regret_scalar,19,9,0.02,270,0.028698,0.025253,0.082024,0.219335,0.145347,0.381709,0.314815,0.562963,0.964005,0.981818,1.030516,0.895275,-0.017813,0.06873,0.474074,0.474074,0.485185,0.544444
mlp_state_regret_scalar,19,9,0.05,270,0.028698,0.025253,0.082024,0.219335,0.145347,0.381709,0.225926,0.522222,0.966535,0.981818,1.060516,0.911589,-0.015283,0.054946,0.47037,0.474074,0.485185,0.544444
mlp_state_regret_scalar,19,9,0.1,270,0.028698,0.025253,0.082024,0.219335,0.145347,0.381709,0.125926,0.440741,0.967101,0.981818,1.110516,0.935515,-0.014717,0.031586,0.477778,0.474074,0.485185,0.544444
mlp_route_context_regret,19,17,0.02,270,0.028698,-0.048909,0.133891,0.292659,-0.395093,0.212849,0.533333,0.562963,0.971494,0.981818,1.030516,0.895275,-0.010324,0.076218,0.485185,0.474074,0.485185,0.544444
mlp_route_context_regret,19,17,0.05,270,0.028698,-0.048909,0.133891,0.292659,-0.395093,0.212849,0.466667,0.522222,0.994381,0.981818,1.060516,0.911589,0.012563,0.082792,0.481481,0.474074,0.485185,0.544444
mlp_route_context_regret,19,17,0.1,270,0.028698,-0.048909,0.133891,0.292659,-0.395093,0.212849,0.392593,0.440741,1.010295,0.981818,1.110516,0.935515,0.028477,0.074779,0.477778,0.474074,0.485185,0.544444
mlp_state_regret,23,7,0.02,270,-0.012558,0.007092,0.031023,0.139988,-0.124185,0.36012,0.362963,0.474074,0.975794,0.99311,1.000552,0.933091,-0.017315,0.042703,0.481481,0.496296,0.47037,0.525926
mlp_state_regret,23,7,0.05,270,-0.012558,0.007092,0.031023,0.139988,-0.124185,0.36012,0.277778,0.411111,0.981134,0.99311,1.030552,0.946534,-0.011975,0.0346,0.485185,0.496296,0.47037,0.525926
mlp_state_regret,23,7,0.1,270,-0.012558,0.007092,0.031023,0.139988,-0.124185,0.36012,0.181481,0.285185,0.987803,0.99311,1.080552,0.963999,-0.005307,0.023804,0.496296,0.496296,0.47037,0.525926
mlp_sparse_diagnostics_regret,23,12,0.02,270,-0.012558,-0.080627,0.043698,0.164081,-0.583455,0.227136,0.77037,0.474074,0.986922,0.99311,1.000552,0.933091,-0.006187,0.053831,0.474074,0.496296,0.47037,0.525926
mlp_sparse_diagnostics_regret,23,12,0.05,270,-0.012558,-0.080627,0.043698,0.164081,-0.583455,0.227136,0.688889,0.411111,1.004146,0.99311,1.030552,0.946534,0.011036,0.057612,0.477778,0.496296,0.47037,0.525926
mlp_sparse_diagnostics_regret,23,12,0.1,270,-0.012558,-0.080627,0.043698,0.164081,-0.583455,0.227136,0.455556,0.285185,1.017211,0.99311,1.080552,0.963999,0.024101,0.053212,0.503704,0.496296,0.47037,0.525926
mlp_state_selector_regret,23,9,0.02,270,-0.012558,-0.004917,0.031023,0.137731,-0.124176,0.358206,0.433333,0.474074,0.97215,0.99311,1.000552,0.933091,-0.02096,0.039059,0.503704,0.496296,0.47037,0.525926
mlp_state_selector_regret,23,9,0.05,270,-0.012558,-0.004917,0.031023,0.137731,-0.124176,0.358206,0.314815,0.411111,0.981191,0.99311,1.030552,0.946534,-0.011919,0.034657,0.5,0.496296,0.47037,0.525926
mlp_state_selector_regret,23,9,0.1,270,-0.012558,-0.004917,0.031023,0.137731,-0.124176,0.358206,0.2,0.285185,0.989411,0.99311,1.080552,0.963999,-0.003698,0.025413,0.496296,0.496296,0.47037,0.525926
mlp_state_regret_scalar,23,9,0.02,270,-0.012558,0.001373,0.031336,0.140965,-0.135497,0.358175,0.437037,0.474074,0.979586,0.99311,1.000552,0.933091,-0.013524,0.046495,0.47037,0.496296,0.47037,0.525926
mlp_state_regret_scalar,23,9,0.05,270,-0.012558,0.001373,0.031336,0.140965,-0.135497,0.358175,0.344444,0.411111,0.984611,0.99311,1.030552,0.946534,-0.008499,0.038077,0.481481,0.496296,0.47037,0.525926
mlp_state_regret_scalar,23,9,0.1,270,-0.012558,0.001373,0.031336,0.140965,-0.135497,0.358175,0.203704,0.285185,0.990397,0.99311,1.080552,0.963999,-0.002712,0.026399,0.481481,0.496296,0.47037,0.525926
mlp_route_context_regret,23,17,0.02,270,-0.012558,0.005871,0.133546,0.277553,-3.839265,0.174945,0.511111,0.474074,0.991767,0.99311,1.000552,0.933091,-0.001342,0.058677,0.481481,0.496296,0.47037,0.525926
mlp_route_context_regret,23,17,0.05,270,-0.012558,0.005871,0.133546,0.277553,-3.839265,0.174945,0.440741,0.411111,1.001767,0.99311,1.030552,0.946534,0.008658,0.055233,0.481481,0.496296,0.47037,0.525926
mlp_route_context_regret,23,17,0.1,270,-0.012558,0.005871,0.133546,0.277553,-3.839265,0.174945,0.388889,0.285185,1.015641,0.99311,1.080552,0.963999,0.022531,0.051642,0.485185,0.496296,0.47037,0.525926
