accuracy,budget,causal_k,composition_steps,excess_over_generated_oracle,generated_candidates,heldout_seed,interaction_mode,interaction_retriever_steps,loss,policy,propagation_steps,regret_retriever_steps,seed,selected_hand_rate,selected_obstacles,test_samples,total_objects_n,train_seed_count,validation_samples_per_seed,validation_static_base_mode
0.488889,4,32,600,0.0303,4,13,pairwise,400,0.987514,composition_regret_count_only,40,600,13,0.677778,1.411111,90,2048,4,180,indexed
0.566667,4,32,600,0.0,4,13,pairwise,400,0.957214,generated_oracle,40,600,13,0.588889,1.566667,90,2048,4,180,indexed
0.455556,4,32,600,0.02005,4,17,pairwise,400,1.006883,static_validation_base_choice,40,600,17,0.333333,2.533333,90,2048,4,180,proximity
0.455556,4,32,600,0.019177,4,17,pairwise,400,1.00601,static_learned_interaction,40,600,17,1.0,2,90,2048,4,180,proximity
0.466667,4,32,600,0.023519,4,17,pairwise,400,1.010352,composition_regret_argmax,40,600,17,0.555556,1.666667,90,2048,4,180,proximity
0.455556,4,32,600,0.021447,4,17,pairwise,400,1.00828,composition_regret_expected,40,600,17,0.788889,1.755556,90,2048,4,180,proximity
0.466667,4,32,600,0.023602,4,17,pairwise,400,1.010435,composition_regret_count_only,40,600,17,0.455556,1.766667,90,2048,4,180,proximity
0.544444,4,32,600,0.0,4,17,pairwise,400,0.986833,generated_oracle,40,600,17,0.733333,1.722222,90,2048,4,180,proximity
0.477778,4,32,600,0.040186,4,19,pairwise,400,1.003158,static_validation_base_choice,40,600,19,0.3,2.611111,90,2048,4,180,proximity
0.5,4,32,600,0.039846,4,19,pairwise,400,1.002818,static_learned_interaction,40,600,19,1.0,2,90,2048,4,180,proximity
0.522222,4,32,600,0.036069,4,19,pairwise,400,0.999041,composition_regret_argmax,40,600,19,0.722222,1.322222,90,2048,4,180,proximity
0.5,4,32,600,0.03818,4,19,pairwise,400,1.001152,composition_regret_expected,40,600,19,0.866667,1.655556,90,2048,4,180,proximity
0.522222,4,32,600,0.035337,4,19,pairwise,400,0.998309,composition_regret_count_only,40,600,19,0.6,1.444444,90,2048,4,180,proximity
0.555556,4,32,600,0.0,4,19,pairwise,400,0.962972,generated_oracle,40,600,19,0.511111,1.844444,90,2048,4,180,proximity
0.488889,4,32,600,0.051761,4,23,pairwise,400,0.997941,static_validation_base_choice,40,600,23,1.0,2,90,2048,4,180,learned
0.488889,4,32,600,0.051761,4,23,pairwise,400,0.997941,static_learned_interaction,40,600,23,1.0,2,90,2048,4,180,learned
0.655556,4,32,600,0.043022,4,23,pairwise,400,0.989202,composition_regret_argmax,40,600,23,0.711111,1.644444,90,2048,4,180,learned
0.6,4,32,600,0.042369,4,23,pairwise,400,0.988549,composition_regret_expected,40,600,23,0.922222,1.722222,90,2048,4,180,learned
0.655556,4,32,600,0.043098,4,23,pairwise,400,0.989278,composition_regret_count_only,40,600,23,0.6,1.755556,90,2048,4,180,learned
0.7,4,32,600,0.0,4,23,pairwise,400,0.94618,generated_oracle,40,600,23,0.533333,1.666667,90,2048,4,180,learned
