accuracy,base_oracle_loss,base_oracle_match_rate,budget,causal_k,context_ablation,excess_over_base_oracle,excess_over_generated_oracle,generated_candidates,generated_oracle_accuracy,generated_oracle_loss,generated_oracle_match_rate,heldout_seed,interaction_mode,loss,normalized_utility_weight,policy,propagation_steps,reranker_steps,retriever_steps,safe_margin,safe_uses_reranker,seed,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,static_generated_mode_from_train_seeds,static_mode_from_train_seeds,test_samples,total_objects_n,train_reranker_loss,train_seed_count,train_static_loss,validation_samples_per_seed
0.466667,0.962886,0.355556,4,8,no_identity_no_type,0.019307,0.02494,4,0.511111,0.957253,0.288889,17,pairwise,0.982193,0.05,normalized_cross_seed_static_base_choice,40,600,400,0.005,,17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,indexed,indexed,90,2048,0.958358,4,0.986334,180
0.466667,0.962886,0.355556,4,8,no_identity_no_type,0.019307,0.02494,4,0.511111,0.957253,0.288889,17,pairwise,0.982193,0.05,normalized_cross_seed_static_generated_choice,40,600,400,0.005,,17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,indexed,indexed,90,2048,0.958358,4,0.986334,180
0.466667,0.962886,0.288889,4,8,no_identity_no_type,0.015555,0.021188,4,0.511111,0.957253,0.3,17,pairwise,0.97844,0.05,normalized_cross_seed_generated_reranker,40,600,400,0.005,,17,0.044444,0.177778,0.044444,0.033333,0.3,0.577778,0.022222,0.0,0.1,indexed,indexed,90,2048,0.958358,4,0.986334,180
0.466667,0.962886,0.288889,4,8,no_identity_no_type,0.015555,0.021188,4,0.511111,0.957253,0.3,17,pairwise,0.97844,0.05,normalized_cross_seed_margin_safe_reranker,40,600,400,0.005,1,17,0.044444,0.177778,0.044444,0.033333,0.3,0.577778,0.022222,0.0,0.1,indexed,indexed,90,2048,0.958358,4,0.986334,180
0.511111,0.962886,1.0,4,8,no_identity_no_type,0.0,0.005633,4,0.511111,0.957253,0.411111,17,pairwise,0.962886,0.05,base_oracle,40,600,400,0.005,,17,0.0,0.0,0.0,0.0,0.0,0.355556,0.355556,0.022222,0.266667,indexed,indexed,90,2048,0.958358,4,0.986334,180
0.511111,0.962886,0.411111,4,8,no_identity_no_type,-0.005633,0.0,4,0.511111,0.957253,1.0,17,pairwise,0.957253,0.05,generated_oracle,40,600,400,0.005,,17,0.088889,0.233333,0.111111,0.155556,0.588889,0.288889,0.033333,0.011111,0.077778,indexed,indexed,90,2048,0.958358,4,0.986334,180
0.533333,0.973841,0.177778,4,8,no_identity_keep_type,0.028924,0.03599,4,0.644444,0.966774,0.022222,19,pairwise,1.002764,0.05,normalized_cross_seed_static_base_choice,40,600,400,0.005,,19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,generated_2,interaction,90,2048,0.956963,4,0.984309,180
0.544444,0.973841,0.0,4,8,no_identity_keep_type,0.027033,0.0341,4,0.644444,0.966774,0.044444,19,pairwise,1.000874,0.05,normalized_cross_seed_static_generated_choice,40,600,400,0.005,,19,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,generated_2,interaction,90,2048,0.956963,4,0.984309,180
0.577778,0.973841,0.311111,4,8,no_identity_keep_type,0.022364,0.02943,4,0.644444,0.966774,0.355556,19,pairwise,0.996205,0.05,normalized_cross_seed_generated_reranker,40,600,400,0.005,,19,0.033333,0.255556,0.055556,0.022222,0.366667,0.444444,0.044444,0.011111,0.133333,generated_2,interaction,90,2048,0.956963,4,0.984309,180
0.577778,0.973841,0.311111,4,8,no_identity_keep_type,0.022364,0.02943,4,0.644444,0.966774,0.355556,19,pairwise,0.996205,0.05,normalized_cross_seed_margin_safe_reranker,40,600,400,0.005,1,19,0.033333,0.255556,0.055556,0.022222,0.366667,0.444444,0.044444,0.011111,0.133333,generated_2,interaction,90,2048,0.956963,4,0.984309,180
