accuracy,budget,candidate_oracle_loss,causal_k,composition_steps,excess_over_candidate_oracle,generated_candidates,heldout_seed,interaction_mode,learned_generated_candidates,loss,oracle_match_rate,policy,propagation_steps,regret_retriever_steps,retriever_steps,seed,selected_composition_argmax_rate,selected_composition_count_only_rate,selected_composition_expected_rate,selected_composition_rate,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_generated_0_rate,selected_learned_generated_1_rate,selected_learned_generated_2_rate,selected_learned_generated_3_rate,selected_learned_generated_rate,selected_learned_rate,selected_proximity_rate,set_evaluator_steps,test_samples,total_objects_n,train_evaluator_loss,train_seed_count,train_static_learned_loss,validation_samples_per_seed
0.611111,4,0.929363,16,600,0.0,4,19,pairwise,4,0.929363,1.0,generated_plus_composition_oracle,40,600,400,19,0.188889,0.033333,0.0,0.222222,0.077778,0.166667,0.088889,0.066667,0.4,0.222222,0.0,0.011111,0.022222,0.0,0.011111,0.044444,0.0,0.111111,600,90,2048,0.875187,4,0.923252,180
0.511111,4,0.873759,16,600,0.134577,4,23,pairwise,4,1.008336,0.0,static_learned_interaction,40,600,400,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,90,2048,0.881723,4,0.920348,180
0.555556,4,0.873759,16,600,0.111708,4,23,pairwise,4,0.985467,0.211111,joint_candidate_generator_evaluator,40,600,400,23,0.033333,0.044444,0.022222,0.1,0.044444,0.133333,0.066667,0.0,0.244444,0.466667,0.044444,0.033333,0.0,0.0,0.022222,0.055556,0.0,0.088889,600,90,2048,0.881723,4,0.920348,180
0.6,4,0.873759,16,600,0.069895,4,23,pairwise,4,0.943653,0.044444,learned_generated_oracle,40,600,400,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.733333,0.233333,0.011111,0.022222,1.0,0.0,0.0,600,90,2048,0.881723,4,0.920348,180
0.666667,4,0.873759,16,600,0.0,4,23,pairwise,4,0.873759,1.0,generated_plus_composition_oracle,40,600,400,23,0.233333,0.022222,0.0,0.255556,0.022222,0.233333,0.077778,0.0,0.333333,0.188889,0.0,0.044444,0.0,0.0,0.011111,0.055556,0.0,0.166667,600,90,2048,0.881723,4,0.920348,180
0.466667,4,0.989445,32,600,0.035108,4,11,pairwise,4,1.024553,0.011111,static_learned_interaction,40,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,90,2048,0.963731,4,0.985029,180
0.466667,4,0.989445,32,600,0.031986,4,11,pairwise,4,1.021431,0.155556,joint_candidate_generator_evaluator,40,600,400,11,0.055556,0.022222,0.022222,0.1,0.088889,0.166667,0.066667,0.0,0.322222,0.377778,0.044444,0.011111,0.0,0.0,0.0,0.011111,0.0,0.144444,600,90,2048,0.963731,4,0.985029,180
0.477778,4,0.989445,32,600,0.023992,4,11,pairwise,4,1.013438,0.044444,learned_generated_oracle,40,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.644444,0.344444,0.0,0.011111,1.0,0.0,0.0,600,90,2048,0.963731,4,0.985029,180
0.522222,4,0.989445,32,600,0.0,4,11,pairwise,4,0.989445,1.0,generated_plus_composition_oracle,40,600,400,11,0.222222,0.0,0.055556,0.277778,0.077778,0.266667,0.033333,0.055556,0.433333,0.1,0.011111,0.033333,0.011111,0.0,0.0,0.044444,0.011111,0.122222,600,90,2048,0.963731,4,0.985029,180
0.466667,4,0.956645,32,600,0.032506,4,13,pairwise,4,0.989151,0.0,static_learned_interaction,40,600,400,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,90,2048,0.967184,4,0.984442,180
0.488889,4,0.956645,32,600,0.030987,4,13,pairwise,4,0.987632,0.144444,joint_candidate_generator_evaluator,40,600,400,13,0.022222,0.0,0.066667,0.088889,0.1,0.188889,0.066667,0.011111,0.366667,0.244444,0.0,0.022222,0.022222,0.0,0.011111,0.055556,0.011111,0.233333,600,90,2048,0.967184,4,0.984442,180
0.522222,4,0.956645,32,600,0.018105,4,13,pairwise,4,0.97475,0.044444,learned_generated_oracle,40,600,400,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.644444,0.277778,0.033333,0.044444,1.0,0.0,0.0,600,90,2048,0.967184,4,0.984442,180
0.566667,4,0.956645,32,600,0.0,4,13,pairwise,4,0.956645,1.0,generated_plus_composition_oracle,40,600,400,13,0.333333,0.033333,0.0,0.366667,0.022222,0.211111,0.066667,0.011111,0.311111,0.144444,0.011111,0.011111,0.022222,0.011111,0.033333,0.077778,0.0,0.088889,600,90,2048,0.967184,4,0.984442,180
0.455556,4,0.98646,32,600,0.019551,4,17,pairwise,4,1.00601,0.011111,static_learned_interaction,40,600,400,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,90,2048,0.956492,4,0.980855,180
0.5,4,0.98646,32,600,0.020622,4,17,pairwise,4,1.007082,0.111111,joint_candidate_generator_evaluator,40,600,400,17,0.011111,0.011111,0.011111,0.033333,0.088889,0.188889,0.055556,0.011111,0.344444,0.411111,0.033333,0.011111,0.066667,0.0,0.0,0.077778,0.0,0.1,600,90,2048,0.956492,4,0.980855,180
0.544444,4,0.98646,32,600,0.018983,4,17,pairwise,4,1.005442,0.077778,learned_generated_oracle,40,600,400,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.733333,0.222222,0.011111,0.033333,1.0,0.0,0.0,600,90,2048,0.956492,4,0.980855,180
0.544444,4,0.98646,32,600,0.0,4,17,pairwise,4,0.98646,1.0,generated_plus_composition_oracle,40,600,400,17,0.088889,0.0,0.022222,0.111111,0.111111,0.133333,0.155556,0.088889,0.488889,0.177778,0.033333,0.033333,0.011111,0.0,0.033333,0.077778,0.011111,0.1,600,90,2048,0.956492,4,0.980855,180
0.5,4,0.962752,32,600,0.040066,4,19,pairwise,4,1.002818,0.0,static_learned_interaction,40,600,400,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,90,2048,0.963759,4,0.985134,180
0.466667,4,0.962752,32,600,0.044568,4,19,pairwise,4,1.00732,0.122222,joint_candidate_generator_evaluator,40,600,400,19,0.011111,0.022222,0.055556,0.088889,0.044444,0.255556,0.011111,0.0,0.311111,0.477778,0.0,0.0,0.011111,0.0,0.0,0.011111,0.022222,0.088889,600,90,2048,0.963759,4,0.985134,180
0.511111,4,0.962752,32,600,0.038533,4,19,pairwise,4,1.001286,0.022222,learned_generated_oracle,40,600,400,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.644444,0.3,0.011111,0.044444,1.0,0.0,0.0,600,90,2048,0.963759,4,0.985134,180
0.555556,4,0.962752,32,600,0.0,4,19,pairwise,4,0.962752,1.0,generated_plus_composition_oracle,40,600,400,19,0.311111,0.022222,0.0,0.333333,0.077778,0.3,0.044444,0.022222,0.444444,0.1,0.011111,0.0,0.022222,0.0,0.0,0.022222,0.0,0.088889,600,90,2048,0.963759,4,0.985134,180
0.488889,4,0.946078,32,600,0.051863,4,23,pairwise,4,0.997941,0.0,static_learned_interaction,40,600,400,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,90,2048,0.96093,4,0.980167,180
0.533333,4,0.946078,32,600,0.052997,4,23,pairwise,4,0.999074,0.122222,joint_candidate_generator_evaluator,40,600,400,23,0.1,0.011111,0.055556,0.166667,0.033333,0.133333,0.055556,0.011111,0.233333,0.355556,0.011111,0.044444,0.0,0.0,0.0,0.044444,0.0,0.188889,600,90,2048,0.96093,4,0.980167,180
0.633333,4,0.946078,32,600,0.040337,4,23,pairwise,4,0.986415,0.044444,learned_generated_oracle,40,600,400,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.311111,0.0,0.022222,1.0,0.0,0.0,600,90,2048,0.96093,4,0.980167,180
0.7,4,0.946078,32,600,0.0,4,23,pairwise,4,0.946078,1.0,generated_plus_composition_oracle,40,600,400,23,0.255556,0.0,0.0,0.255556,0.033333,0.3,0.044444,0.011111,0.388889,0.166667,0.0,0.033333,0.0,0.0,0.011111,0.044444,0.0,0.144444,600,90,2048,0.96093,4,0.980167,180
