accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,excess_over_candidate_oracle,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,joint_steps,learned_safe_candidates,loss,loss_generator_propagation_steps,loss_generator_random_candidates,loss_generator_structured_candidates,oracle_match_rate,pairwise_no_harm_margin,pairwise_no_harm_weight,policy,retriever_steps,safe_generator_mode,score_regression_weight,seed,selected_composition_rate,selected_confidence_threshold,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_learned_safe_0_rate,selected_learned_safe_1_rate,selected_learned_safe_2_rate,selected_learned_safe_3_rate,selected_proximity_rate,selected_structured_0_rate,selected_structured_1_rate,selected_structured_2_rate,selected_structured_3_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,structured_candidates,test_samples,total_objects_n,train_joint_selector_harmful_accept_rate,train_joint_selector_loss,train_seed_count,train_static_learned_loss,use_geometry_context,validation_samples_per_seed,verification_context,verification_context_detach,verification_head,verification_head_weight,verification_score_penalty
0.0,0.533333,4,0.841828,32,0.114286,4,0.0,13,pairwise,120,4,0.956114,80,4,4,0.0,0.25,0.3,static_learned_interaction,400,loss,0.0,13,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.436312,0.022222,0.91078,confidence_t0p55,4,90,2048,0.383333,0.934993,4,0.959791,0,180,1,1,0,0.4,1.0
1.0,0.522222,4,0.841828,32,0.091412,4,0.366667,13,pairwise,120,4,0.933239,80,4,4,0.4,0.25,0.3,joint_selector_propagator,400,loss,0.0,13,0.0,0.55,0.0,0.044444,0.0,0.0,0.044444,0.844444,0.0,0.0,0.0,0.0,0.0,0.0,0.077778,0.0,0.0,0.033333,0.0,0.333333,0.436312,0.022222,0.91078,confidence_t0p55,4,90,2048,0.383333,0.934993,4,0.959791,0,180,1,1,0,0.4,1.0
0.355556,0.644444,4,0.841828,32,0.057231,4,0.022222,13,pairwise,120,4,0.899059,80,4,4,0.222222,0.25,0.3,confidence_selected_joint_selector_propagator,400,loss,0.0,13,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.355556,0.0,0.644444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.436312,0.022222,0.91078,confidence_t0p55,4,90,2048,0.383333,0.934993,4,0.959791,0,180,1,1,0,0.4,1.0
0.355556,0.644444,4,0.841828,32,0.057231,4,0.022222,13,pairwise,120,4,0.899059,80,4,4,0.222222,0.25,0.3,train_selected_joint_selector_propagator,400,loss,0.0,13,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.355556,0.0,0.644444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.436312,0.022222,0.91078,confidence_t0p55,4,90,2048,0.383333,0.934993,4,0.959791,0,180,1,1,0,0.4,1.0
1.0,0.688889,4,0.841828,32,0.0,4,0.0,13,pairwise,120,4,0.841828,80,4,4,1.0,0.25,0.3,generated_plus_composition_oracle,400,loss,0.0,13,0.0,0.55,0.022222,0.166667,0.0,0.033333,0.222222,0.344444,0.011111,0.0,0.055556,0.022222,0.077778,0.0,0.2,0.0,0.011111,0.055556,0.0,0.333333,0.436312,0.022222,0.91078,confidence_t0p55,4,90,2048,0.383333,0.934993,4,0.959791,0,180,1,1,0,0.4,1.0
0.0,0.533333,4,0.935299,32,0.020396,4,0.0,17,pairwise,120,4,0.955695,80,4,4,0.022222,0.25,0.3,static_learned_interaction,400,loss,0.0,17,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.121782,0.005556,0.975933,confidence_t0p25,4,90,2048,0.083333,0.976262,4,0.978782,0,180,1,1,0,0.4,1.0
0.244444,0.533333,4,0.935299,32,0.016457,4,0.088889,17,pairwise,120,4,0.951756,80,4,4,0.111111,0.25,0.3,joint_selector_propagator,400,loss,0.0,17,0.0,0.25,0.0,0.133333,0.0,0.0,0.133333,0.111111,0.0,0.755556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.121782,0.005556,0.975933,confidence_t0p25,4,90,2048,0.083333,0.976262,4,0.978782,0,180,1,1,0,0.4,1.0
0.133333,0.533333,4,0.935299,32,0.015702,4,0.011111,17,pairwise,120,4,0.951001,80,4,4,0.1,0.25,0.3,confidence_selected_joint_selector_propagator,400,loss,0.0,17,0.0,0.25,0.0,0.133333,0.0,0.0,0.133333,0.0,0.0,0.866667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.121782,0.005556,0.975933,confidence_t0p25,4,90,2048,0.083333,0.976262,4,0.978782,0,180,1,1,0,0.4,1.0
0.133333,0.533333,4,0.935299,32,0.015702,4,0.011111,17,pairwise,120,4,0.951001,80,4,4,0.1,0.25,0.3,train_selected_joint_selector_propagator,400,loss,0.0,17,0.0,0.25,0.0,0.133333,0.0,0.0,0.133333,0.0,0.0,0.866667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.121782,0.005556,0.975933,confidence_t0p25,4,90,2048,0.083333,0.976262,4,0.978782,0,180,1,1,0,0.4,1.0
0.977778,0.588889,4,0.935299,32,0.0,4,0.0,17,pairwise,120,4,0.935299,80,4,4,1.0,0.25,0.3,generated_plus_composition_oracle,400,loss,0.0,17,0.0,0.25,0.066667,0.266667,0.066667,0.022222,0.422222,0.077778,0.022222,0.022222,0.022222,0.055556,0.011111,0.0,0.177778,0.0,0.1,0.088889,0.0,0.1,0.121782,0.005556,0.975933,confidence_t0p25,4,90,2048,0.083333,0.976262,4,0.978782,0,180,1,1,0,0.4,1.0
0.0,0.422222,4,1.015578,32,0.024304,4,0.0,19,pairwise,120,4,1.039882,80,4,4,0.0,0.25,0.3,static_learned_interaction,400,loss,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.233333,0.205865,0.044444,0.95097,confidence_t0,4,90,2048,0.044444,0.95097,4,0.955558,0,180,1,1,0,0.4,1.0
0.177778,0.422222,4,1.015578,32,0.023458,4,0.033333,19,pairwise,120,4,1.039036,80,4,4,0.066667,0.25,0.3,joint_selector_propagator,400,loss,0.0,19,0.0,0.0,0.0,0.055556,0.0,0.0,0.055556,0.1,0.0,0.822222,0.0,0.0,0.0,0.0,0.022222,0.0,0.0,0.0,0.0,0.233333,0.205865,0.044444,0.95097,confidence_t0,4,90,2048,0.044444,0.95097,4,0.955558,0,180,1,1,0,0.4,1.0
0.177778,0.422222,4,1.015578,32,0.023458,4,0.033333,19,pairwise,120,4,1.039036,80,4,4,0.066667,0.25,0.3,confidence_selected_joint_selector_propagator,400,loss,0.0,19,0.0,0.0,0.0,0.055556,0.0,0.0,0.055556,0.1,0.0,0.822222,0.0,0.0,0.0,0.0,0.022222,0.0,0.0,0.0,0.0,0.233333,0.205865,0.044444,0.95097,confidence_t0,4,90,2048,0.044444,0.95097,4,0.955558,0,180,1,1,0,0.4,1.0
0.177778,0.422222,4,1.015578,32,0.023458,4,0.033333,19,pairwise,120,4,1.039036,80,4,4,0.066667,0.25,0.3,train_selected_joint_selector_propagator,400,loss,0.0,19,0.0,0.0,0.0,0.055556,0.0,0.0,0.055556,0.1,0.0,0.822222,0.0,0.0,0.0,0.0,0.022222,0.0,0.0,0.0,0.0,0.233333,0.205865,0.044444,0.95097,confidence_t0,4,90,2048,0.044444,0.95097,4,0.955558,0,180,1,1,0,0.4,1.0
