source,total_objects_n,causal_k,policy,static_loss,candidate_oracle_loss,candidate_oracle_gain_over_static,policy_loss,policy_accuracy,oracle_match_rate,deployed_gain_over_static,gap_closure_fraction,remaining_gap,mean_accept_rate,mean_harmful_accept_rate,mean_regret_corr,mean_predicted_sigma,seed_count,failure_mode
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r2_m0p01,0.966183,0.90541,0.060773,0.966183,0.504444,0.002222,0.0,0.0,0.060773,0.0,0.0,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r2_m0p02,0.966183,0.90541,0.060773,0.966183,0.504444,0.002222,0.0,0.0,0.060773,0.0,0.0,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r2_m0p05,0.966183,0.90541,0.060773,0.966183,0.504444,0.002222,0.0,0.0,0.060773,0.0,0.0,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r3_m0,0.966183,0.90541,0.060773,0.966183,0.504444,0.002222,0.0,0.0,0.060773,0.0,0.0,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r3_m0p0025,0.966183,0.90541,0.060773,0.966183,0.504444,0.002222,0.0,0.0,0.060773,0.0,0.0,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r3_m0p005,0.966183,0.90541,0.060773,0.966183,0.504444,0.002222,0.0,0.0,0.060773,0.0,0.0,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r3_m0p01,0.966183,0.90541,0.060773,0.966183,0.504444,0.002222,0.0,0.0,0.060773,0.0,0.0,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r3_m0p02,0.966183,0.90541,0.060773,0.966183,0.504444,0.002222,0.0,0.0,0.060773,0.0,0.0,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r3_m0p05,0.966183,0.90541,0.060773,0.966183,0.504444,0.002222,0.0,0.0,0.060773,0.0,0.0,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,32,candidate_regret_gate,1.004095,0.968518,0.035577,1.001991,0.526667,0.186667,0.002104,0.059128,0.033473,0.964444,0.428889,0.072566,0.052393,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,32,candidate_regret_gate_m0p0025,1.004095,0.968518,0.035577,1.002482,0.524445,0.177778,0.001612,0.045316,0.033965,0.895555,0.404445,0.072566,0.052393,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,32,candidate_regret_gate_m0p005,1.004095,0.968518,0.035577,1.002599,0.522222,0.164444,0.001495,0.042033,0.034081,0.837778,0.371111,0.072566,0.052393,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,32,candidate_regret_gate_m0p01,1.004095,0.968518,0.035577,1.004245,0.515556,0.135556,-0.00015,-0.004227,0.035727,0.746667,0.346667,0.072566,0.052393,5,harmful_transfer
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,32,candidate_regret_gate_m0p02,1.004095,0.968518,0.035577,1.003219,0.506667,0.091111,0.000875,0.0246,0.034702,0.537778,0.257778,0.072566,0.052393,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,32,candidate_regret_gate_m0p05,1.004095,0.968518,0.035577,1.004606,0.48,0.035555,-0.000511,-0.014375,0.036088,0.133333,0.075556,0.072566,0.052393,5,harmful_transfer
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,32,uncertainty_regret_gate,1.004095,0.968518,0.035577,1.003947,0.486667,0.066667,0.000148,0.004149,0.035429,0.428889,0.204444,0.072566,0.052393,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,32,uncertainty_regret_gate_r0p5_m0p0025,1.004095,0.968518,0.035577,1.003794,0.486667,0.066667,0.000301,0.008461,0.035276,0.404444,0.186667,0.072566,0.052393,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,32,uncertainty_regret_gate_r0p5_m0p005,1.004095,0.968518,0.035577,1.003524,0.488889,0.066667,0.000571,0.016039,0.035006,0.386667,0.173333,0.072566,0.052393,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,32,uncertainty_regret_gate_r0p5_m0p01,1.004095,0.968518,0.035577,1.004204,0.482222,0.057778,-0.00011,-0.003086,0.035687,0.344444,0.16,0.072566,0.052393,5,harmful_transfer
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,32,uncertainty_regret_gate_r0p5_m0p02,1.004095,0.968518,0.035577,1.004052,0.477778,0.042222,4.2e-05,0.001192,0.035534,0.193333,0.093333,0.072566,0.052393,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,32,uncertainty_regret_gate_r0p5_m0p05,1.004095,0.968518,0.035577,1.004095,0.475556,0.004444,0.0,0.0,0.035577,0.0,0.0,0.072566,0.052393,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,32,uncertainty_regret_gate_r0p75_m0,1.004095,0.968518,0.035577,1.004022,0.477778,0.055556,7.3e-05,0.002046,0.035504,0.32,0.144444,0.072566,0.052393,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,32,uncertainty_regret_gate_r0p75_m0p0025,1.004095,0.968518,0.035577,1.004084,0.477778,0.048889,1.1e-05,0.000304,0.035566,0.28,0.131111,0.072566,0.052393,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,32,uncertainty_regret_gate_r0p75_m0p005,1.004095,0.968518,0.035577,1.004208,0.477778,0.042222,-0.000113,-0.003182,0.03569,0.226667,0.108889,0.072566,0.052393,5,harmful_transfer
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,32,uncertainty_regret_gate_r0p75_m0p01,1.004095,0.968518,0.035577,1.004157,0.48,0.031111,-6.2e-05,-0.001754,0.035639,0.148889,0.077778,0.072566,0.052393,5,harmful_transfer
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,32,uncertainty_regret_gate_r0p75_m0p02,1.004095,0.968518,0.035577,1.004428,0.475556,0.006667,-0.000333,-0.009371,0.03591,0.035556,0.026667,0.072566,0.052393,5,harmful_transfer
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,32,uncertainty_regret_gate_r0p75_m0p05,1.004095,0.968518,0.035577,1.004095,0.475556,0.004444,0.0,0.0,0.035577,0.0,0.0,0.072566,0.052393,5,partial_but_insufficient_gap_closure
