row_type,model,seed,train_mechanism,eval_mechanism,temperature,calibration_mode,calibration_bias,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,seed_count
seed,serialized-token,13,nominal+high_force+edge_shift+catch_heavy,edge_high_force,0.972972,temperature_bias,0.773654;-0.691615;-0.082039,32,37,36,0.361111,0.583333,0.16744,1.088538,0.661627,0.143037,4.35,1.0,1.0,1
seed,serialized-token,13,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,0.972972,temperature_bias,0.773654;-0.691615;-0.082039,32,37,36,0.583333,0.583333,0.053254,0.927553,0.561899,0.125762,4.825,1.0,1.0,1
seed,serialized-token,17,nominal+high_force+edge_shift+catch_heavy,no_catch,1.04061,temperature_bias,0.945852;-0.530606;-0.415246,32,37,36,0.694444,0.694444,0.042018,0.738041,0.42103,0.218579,4.025,1.0,1.0,1
seed,serialized-token,17,nominal+high_force+edge_shift+catch_heavy,edge_high_force,1.04061,temperature_bias,0.945852;-0.530606;-0.415246,32,37,36,0.416667,0.555556,0.131106,0.967787,0.596104,0.098864,4.4,1.0,1.0,1
seed,serialized-token,17,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,1.04061,temperature_bias,0.945852;-0.530606;-0.415246,32,37,36,0.583333,0.583333,0.041395,0.941838,0.563804,0.115278,4.8,1.0,1.0,1
summary,graph-transformer,all,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,0.899034,,,32,37,36,0.490741,0.574074,0.049829,0.957634,0.582305,0.093062,4.808333,1.0,1.0,3
summary,graph-transformer,all,nominal+high_force+edge_shift+catch_heavy,edge_high_force,0.899034,,,32,37,36,0.351852,0.574074,0.172553,1.07654,0.655214,0.111989,4.375,1.0,1.0,3
summary,graph-transformer,all,nominal+high_force+edge_shift+catch_heavy,no_catch,0.899034,,,32,37,36,0.481481,0.675926,0.052339,0.911963,0.543658,0.255542,4.025,1.0,1.0,3
summary,serialized-token,all,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,0.958582,,,32,37,36,0.490741,0.574074,0.058474,0.962756,0.584716,0.129476,4.808333,1.0,1.0,3
summary,serialized-token,all,nominal+high_force+edge_shift+catch_heavy,edge_high_force,0.958582,,,32,37,36,0.361111,0.574074,0.161645,1.062285,0.648451,0.107857,4.375,1.0,1.0,3
summary,serialized-token,all,nominal+high_force+edge_shift+catch_heavy,no_catch,0.958582,,,32,37,36,0.462963,0.675926,0.059402,0.888061,0.529591,0.27017,4.025,1.0,1.0,3
summary,wpu-cws-indexed-local-dense,all,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,0.677798,,,32,37,36,0.453704,0.574074,0.227685,0.984699,0.600521,0.078088,4.808333,1.0,1.0,3
summary,wpu-cws-indexed-local-dense,all,nominal+high_force+edge_shift+catch_heavy,edge_high_force,0.677798,,,32,37,36,0.546296,0.574074,0.99416,1.016849,0.608765,0.118594,4.375,1.0,1.0,3
summary,wpu-cws-indexed-local-dense,all,nominal+high_force+edge_shift+catch_heavy,no_catch,0.677798,,,32,37,36,0.685185,0.675926,0.257033,0.853689,0.501393,0.245334,4.025,1.0,1.0,3
summary,wpu-cws-indexed-sparse,all,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,0.570728,,,32,37,36,0.490741,0.574074,0.164237,0.999963,0.604079,0.118183,4.808333,1.0,0.0,3
summary,wpu-cws-indexed-sparse,all,nominal+high_force+edge_shift+catch_heavy,edge_high_force,0.570728,,,32,37,36,0.416667,0.574074,0.975312,1.090294,0.659625,0.086984,4.375,1.0,0.0,3
summary,wpu-cws-indexed-sparse,all,nominal+high_force+edge_shift+catch_heavy,no_catch,0.570728,,,32,37,36,0.5,0.675926,0.196548,0.941149,0.561725,0.257424,4.025,1.0,0.0,3
