mode,total_n,k_ref,true_relation_confidence,missing_rate,false_positive_rate,delta_mse,delta_mae,zero_delta_mse,relative_mse,mean_selected_k,mean_updated_k,max_selected_k,mean_touch_ratio,max_touch_ratio,mean_escalation,mean_missed_causal
sparse_confident_relations,512,16,0.95,0.0,0.25,0.002706,0.041614,0.304128,0.008899,16.0,16.0,16,0.06779661,0.06779661,1.0,0.0
hybrid_escalation_region,512,16,0.95,0.0,0.25,0.002706,0.041614,0.304128,0.008899,16.0,16.0,16,0.06779661,0.06779661,1.0,0.0
sparse_confident_relations,512,16,0.95,0.5,0.0,0.134209,0.26137,0.337797,0.397306,16.0,8.40625,16,0.04697582,0.05714286,0.0,7.59375
hybrid_escalation_region,512,16,0.95,0.5,0.0,0.134209,0.26137,0.337797,0.397306,16.0,8.40625,16,0.04697582,0.05714286,0.0,7.59375
sparse_confident_relations,512,16,0.95,0.5,0.25,0.113919,0.240544,0.286016,0.398296,16.0,8.390625,16,0.05423151,0.0625,1.0,7.609375
hybrid_escalation_region,512,16,0.95,0.5,0.25,0.002461,0.040606,0.286016,0.008604,16.0,16.0,16,0.05423151,0.0625,1.0,0.0
sparse_confident_relations,512,16,0.2,0.0,0.0,0.238743,0.45122,0.306034,0.780119,16.0,1.0,16,0.06072106,0.06072106,1.0,15.0
hybrid_escalation_region,512,16,0.2,0.0,0.0,0.002388,0.03772,0.306034,0.007804,16.0,16.0,16,0.06072106,0.06072106,1.0,0.0
sparse_confident_relations,512,16,0.2,0.0,0.25,0.23899,0.453588,0.306456,0.77985,16.0,1.0,16,0.06779661,0.06779661,1.0,15.0
hybrid_escalation_region,512,16,0.2,0.0,0.25,0.002195,0.036071,0.306456,0.007163,16.0,16.0,16,0.06779661,0.06779661,1.0,0.0
sparse_confident_relations,512,16,0.2,0.5,0.0,0.242902,0.456206,0.311423,0.779974,16.0,1.0,16,0.04685979,0.05714286,1.0,15.0
hybrid_escalation_region,512,16,0.2,0.5,0.0,0.002465,0.039801,0.311423,0.007917,16.0,16.0,16,0.04685979,0.05714286,1.0,0.0
sparse_confident_relations,512,16,0.2,0.5,0.25,0.239659,0.452966,0.307256,0.779999,16.0,1.0,16,0.05462649,0.06427221,1.0,15.0
hybrid_escalation_region,512,16,0.2,0.5,0.25,0.002448,0.039782,0.307256,0.007967,16.0,16.0,16,0.05462649,0.06427221,1.0,0.0
sparse_confident_relations,2048,4,0.95,0.0,0.0,0.003809,0.050428,0.59294,0.006425,4.0,4.0,4,0.00390054,0.00390054,0.0,0.0
hybrid_escalation_region,2048,4,0.95,0.0,0.0,0.003809,0.050428,0.59294,0.006425,4.0,4.0,4,0.00390054,0.00390054,0.0,0.0
sparse_confident_relations,2048,4,0.95,0.0,0.25,0.003627,0.049828,0.561893,0.006455,4.0,4.0,4,0.00438596,0.00438596,1.0,0.0
hybrid_escalation_region,2048,4,0.95,0.0,0.25,0.003627,0.049828,0.561893,0.006455,4.0,4.0,4,0.00438596,0.00438596,1.0,0.0
sparse_confident_relations,2048,4,0.95,0.5,0.0,0.149182,0.260986,0.537018,0.277796,4.0,2.460938,4,0.00315234,0.00390054,0.0,1.539062
hybrid_escalation_region,2048,4,0.95,0.5,0.0,0.149182,0.260986,0.537018,0.277796,4.0,2.460938,4,0.00315234,0.00390054,0.0,1.539062
