row_type,model,seed,train_mechanism,eval_mechanism,temperature,calibration_mode,mechanism_prior_strength,mechanism_prior_policy,mechanism_prior_selection_metric,mechanism_prior_selection_score,calibration_bias,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,seed_count
seed,wpu-cws-indexed-local-dense,11,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.1875,0.4375,0.111092,1.196188,0.727635,0.24092,4.4375,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,11,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.4375,0.4375,0.487644,1.09307,0.661624,0.027187,4.4375,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,11,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.3125,0.6875,0.30107,1.031668,0.632799,0.116999,4.4375,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,11,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.0625,0.9375,0.117763,1.450561,0.879721,0.36785,4.9375,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,11,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.4375,0.5625,0.348431,0.966281,0.582184,0.083204,4.0625,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,11,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.5625,0.5625,1.253181,0.973666,0.589969,0.097038,4.4375,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,11,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.125,0.75,0.192227,1.129986,0.697883,0.331678,4.9375,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,13,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.375,0.5625,0.246693,1.338325,0.787184,0.087584,4.5625,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,13,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.25,0.4375,0.320729,1.255099,0.755428,0.194347,4.5625,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,13,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.75,0.75,0.329145,0.925883,0.550491,0.287451,4.5625,1.0,1.0,1
