causal_k,dense_breaks_sparse,dense_correct,dense_fixes_sparse,dense_loss,dense_needed,event_norm,interaction_density,interaction_mode,mean_pair_distance,min_pair_distance,sample_index,seed,sparse_confidence,sparse_correct,sparse_delta_norm,sparse_entropy,sparse_loss,sparse_margin,sparse_uncertainty_mean,target_x,target_y,total_objects_n
8,0,0,0,0.98976713,1,1.69977272,0.16895284,pairwise,0.22250776,0.01702833,89,11,0.50242621,0,0.19289422,0.98284984,1.01134288,0.13869601,0.54209936,0.51702833,0.0,2048
8,0,1,0,0.71232879,0,1.61603379,0.10594804,pairwise,0.27226204,0.01966773,0,13,0.53838599,1,0.19898619,0.98994446,0.61917955,0.23976883,0.48136532,0.63832462,0.0,2048
8,0,0,0,1.23661411,0,1.71336043,0.22137652,pairwise,0.23070659,0.02784324,1,13,0.37596399,0,0.28275228,1.09455895,1.15294242,0.06025752,0.46617749,0.97215676,0.0,2048
8,0,0,0,0.98594177,1,1.61342621,0.18111314,pairwise,0.22726679,0.01389086,2,13,0.53646076,0,0.19235221,0.99173415,1.20581841,0.23701394,0.48229557,0.51389086,0.0,2048
8,0,0,0,1.45160532,0,1.74136913,0.22248426,pairwise,0.19115248,0.00018471,3,13,0.37814337,0,0.31817198,1.08045793,1.40308857,0.00212324,0.46785599,0.63354599,0.0,2048
8,1,0,0,0.91160113,0,1.78464544,0.18187377,pairwise,0.20965396,0.05016771,4,13,0.40472138,1,0.37429735,1.06804454,0.90455645,0.0314118,0.46481419,0.56683922,0.0,2048
8,0,0,0,0.90476733,1,1.80122232,0.12431349,pairwise,0.21602252,0.06210125,5,13,0.40297198,0,0.38357666,1.06805098,0.98002785,0.02767134,0.46177632,0.72447288,0.0,2048
8,0,1,0,0.4741472,0,1.58146572,0.1008665,pairwise,0.23632635,0.08833506,6,13,0.74441731,1,0.24144644,0.7233147,0.2951535,0.56411779,0.48409492,0.79788381,0.0,2048
8,0,0,0,1.48232758,0,1.67299056,0.21155702,pairwise,0.18965463,0.03269,7,13,0.38461536,0,0.24735156,1.08449233,1.3580761,0.02638578,0.47015887,0.91727108,0.0,2048
8,0,0,0,0.97566128,1,1.88535643,0.2021613,pairwise,0.1863853,0.01302488,8,13,0.43882498,0,0.48142353,1.04951549,1.01091731,0.07493994,0.45489812,0.7460233,0.0,2048
8,0,1,0,0.2962063,0,1.5502243,0.11635999,pairwise,0.26697016,0.04254218,9,13,0.823277,1,0.28552526,0.56487375,0.19446258,0.68993199,0.49475342,0.64635205,0.0,2048
8,0,0,0,1.02873516,0,1.74851167,0.23795798,pairwise,0.19686672,0.00127123,10,13,0.38556862,0,0.32147354,1.0755496,0.9694615,0.00628138,0.46896267,0.57553113,0.0,2048
8,0,0,0,1.02544308,1,1.94299364,0.12402688,pairwise,0.2928257,0.06172222,11,13,0.4550088,0,0.54259342,1.04046297,1.03113091,0.09840536,0.44931176,0.93827778,0.0,2048
8,0,1,0,0.25710651,0,1.54516506,0.16040023,pairwise,0.26208457,0.01496506,12,13,0.83376771,1,0.30717957,0.54113185,0.18180043,0.70714021,0.4970682,0.48503494,0.0,2048
8,0,1,0,0.73557574,0,1.86822295,0.15212701,pairwise,0.2468677,0.0231323,13,13,0.43287569,1,0.46468967,1.05377746,0.83730471,0.068367,0.4561891,0.7515173,0.0,2048
8,0,0,0,0.9622044,1,1.87118268,0.23333147,pairwise,0.19654478,0.01630569,14,13,0.44106841,0,0.47745103,1.04696286,1.00768316,0.07600459,0.45863932,0.51630569,0.0,2048
8,0,0,0,2.28976917,0,1.94986844,0.11538732,pairwise,0.26613528,0.0380123,15,13,0.46493623,0,0.56443501,1.03190458,1.71876705,0.1091595,0.45233965,0.70367336,0.0,2048
8,0,1,0,0.75585592,0,1.8452158,0.21436492,pairwise,0.20650747,0.02680274,16,13,0.43172348,1,0.44502306,1.0507617,0.83996999,0.06080517,0.4617961,0.46839187,0.0,2048
8,0,0,0,0.933936,1,1.82638228,0.13390078,pairwise,0.2701222,0.01141939,17,13,0.4070574,0,0.40988034,1.06847227,0.99496841,0.03732228,0.45725265,0.88847321,0.0,2048
8,0,0,0,1.20013034,0,1.70756829,0.1451647,pairwise,0.2291474,0.05132816,18,13,0.37445846,0,0.2768656,1.09463823,1.19038188,0.053022,0.46753156,0.85238206,0.0,2048
8,0,1,0,0.75326216,0,1.86498523,0.18026073,pairwise,0.19849178,0.01330032,19,13,0.42513916,1,0.45442468,1.0592773,0.85533869,0.06034404,0.45388746,0.96834612,0.0,2048
8,0,0,0,1.00546575,1,1.91861665,0.13504674,pairwise,0.24065922,0.01242158,20,13,0.4494808,0,0.5165168,1.04249597,1.01899743,0.08852413,0.45274705,0.81102479,0.0,2048
8,0,0,0,1.00449049,1,1.66036284,0.22911099,pairwise,0.19633611,0.01439341,21,13,0.37968534,0,0.22338419,1.09087753,1.0769155,0.03904068,0.47675586,0.5574826,0.0,2048
8,0,0,0,1.09185505,0,1.73600793,0.12844723,pairwise,0.22984222,0.0441306,22,13,0.38403776,0,0.30549884,1.08240664,1.00833666,0.01921248,0.46853113,0.61236352,0.0,2048
8,0,0,0,0.9179911,1,1.80286276,0.13796009,pairwise,0.29007578,0.004914,23,13,0.39749172,0,0.38317573,1.07198632,0.98414713,0.02373382,0.46030346,0.841699,0.0,2048
8,0,0,0,2.26157355,0,1.94116151,0.15626259,pairwise,0.20693323,0.02431428,24,13,0.46136752,0,0.55183208,1.0345757,1.70463026,0.10457462,0.45215878,0.65331715,0.0,2048
8,0,0,0,1.74422693,0,1.64063179,0.1604505,pairwise,0.21375234,0.03895279,25,13,0.46907932,0,0.22248521,1.04680943,1.56905532,0.14640042,0.47461972,0.77793694,0.0,2048
8,0,0,0,1.06409478,1,1.60865629,0.15873566,pairwise,0.20804681,0.04379963,26,13,0.63595474,0,0.22717744,0.88919044,1.42671061,0.39585733,0.47806814,0.83791405,0.0,2048
8,0,1,0,0.39016247,0,1.56932127,0.1251162,pairwise,0.33247212,0.04290378,27,13,0.78422415,1,0.27521449,0.65004718,0.24306041,0.62949806,0.48557714,0.95440865,0.0,2048
8,0,0,0,1.24352634,0,1.7121042,0.25185797,pairwise,0.2262093,0.00817957,28,13,0.37611517,0,0.2814703,1.09457397,1.16396308,0.06386891,0.46620852,0.96889102,0.0,2048
8,0,1,1,0.86838114,1,1.75693798,0.09669735,pairwise,0.25860006,0.05477577,29,13,0.38472402,0,0.33506995,1.07424593,0.96019238,0.00190479,0.46755728,0.55477577,0.0,2048
8,0,1,0,0.46504509,0,1.57473123,0.12920989,pairwise,0.25489506,0.04240632,30,13,0.75472158,1,0.21630663,0.69940424,0.28140637,0.57492518,0.48988718,0.54240632,0.0,2048
8,0,0,0,0.97877944,1,1.77873647,0.15641011,pairwise,0.2413651,0.02955092,31,13,0.37326795,0,0.3540135,1.08508408,0.996387,0.00405699,0.45880213,0.96588236,0.0,2048
8,0,0,0,0.94550151,1,1.61726987,0.16872843,pairwise,0.23925373,0.01401567,32,13,0.48778021,0,0.18942973,1.02519608,1.10327578,0.15599775,0.48368388,0.51401567,0.0,2048
8,0,1,0,0.3364183,0,1.56095922,0.18416391,pairwise,0.25873375,0.02064937,33,13,0.80388349,1,0.30075395,0.61050111,0.21830091,0.66188526,0.48649257,0.89646739,0.0,2048
8,0,1,0,0.61714166,0,1.93654335,0.16753769,pairwise,0.23966031,0.03622913,34,13,0.46382803,1,0.55479503,1.03083968,0.76824147,0.10499319,0.45562771,0.62418246,0.0,2048
8,0,1,0,0.84656841,0,1.68701732,0.19568454,pairwise,0.21954878,0.01657677,35,13,0.38568327,1,0.25417078,1.09023714,0.95273876,0.05165994,0.4747811,0.53168434,0.0,2048
8,0,1,0,0.42299774,0,1.57373285,0.11860311,pairwise,0.2162261,0.0740307,36,13,0.76877636,1,0.25826448,0.68072718,0.26295516,0.60544777,0.48422068,0.7944997,0.0,2048
8,1,0,0,0.91780722,0,1.77880955,0.29256564,pairwise,0.18195079,0.01156954,37,13,0.40218675,1,0.36287618,1.06581736,0.91083872,0.02189127,0.46722731,0.58518177,0.0,2048
8,0,0,0,1.01936984,1,1.93442035,0.27193072,pairwise,0.18800393,0.03523195,38,13,0.46374381,0,0.55396652,1.0311656,1.0258646,0.10525742,0.45545381,0.46476805,0.0,2048
8,0,1,0,0.75280488,0,1.61735725,0.19925921,pairwise,0.25262707,0.02008006,39,13,0.48516992,1,0.18727022,1.02499819,0.72325611,0.14887866,0.48432943,0.46568042,0.0,2048
8,0,1,0,0.6176362,0,1.94451177,0.12487118,pairwise,0.27465683,0.04392429,40,13,0.46374837,1,0.56273162,1.03375959,0.76841319,0.10905209,0.45215911,0.64787298,0.0,2048
8,0,0,0,0.97320002,1,1.88232219,0.20006315,pairwise,0.22736518,0.01316184,41,13,0.44792065,0,0.49661499,1.041659,1.0097599,0.0836142,0.45951343,0.48683816,0.0,2048
8,0,1,0,0.19261727,0,1.53984833,0.24477161,pairwise,0.17532802,0.00977902,42,13,0.84610713,1,0.38470346,0.51309347,0.16710931,0.72819406,0.49784547,0.6498509,0.0,2048
8,0,0,0,1.5135932,0,1.66831434,0.16221611,pairwise,0.24998985,0.03472057,43,13,0.38372585,0,0.24304755,1.08620298,1.3380177,0.02981693,0.47101247,0.82983083,0.0,2048
8,0,1,1,0.88631952,1,1.77451885,0.10053434,pairwise,0.27892786,0.04629564,44,13,0.39771688,0,0.35664353,1.06803226,0.96456552,0.01656815,0.46735466,0.64161754,0.0,2048
