row_type,seed,sample_index,background_objects,branch_count,total_objects,total_relations,selected_objects,selected_relations,objectification_score,full_tensor_bytes,selected_tensor_bytes,tensor_byte_reduction,full_tensorize_ms,selected_tensorize_ms,tensorize_latency_reduction,full_state_memory_bytes,selected_state_memory_bytes,selected_state_memory_reduction,branch_overlay_bytes,base_plus_overlay_bytes,full_copy_branch_bytes,branch_memory_reduction,dense_object_work_proxy,sparse_object_work_proxy,work_proxy_reduction,full_graph_forward_ms,selected_sparse_forward_ms,selected_local_dense_forward_ms,sparse_forward_latency_reduction,local_dense_forward_latency_reduction,sample_count
sample,13,1,128,8,132,132,4,4,0.939576,8756,308,0.964824,4.272800,0.142400,0.966673,20064,608,0.969697,2176,22240,160512,0.861443,139392,128,0.999082,19.856733,0.909367,1.467867,0.954204,0.926077,1
sample,13,2,128,1,133,133,5,5,0.939910,8822,374,0.957606,4.437500,0.234700,0.947110,20216,760,0.962406,272,20488,20216,0.000000,17689,25,0.998587,19.137567,0.900900,1.571300,0.952925,0.917894,1
sample,13,2,128,3,133,133,5,5,0.939910,8822,374,0.957606,4.425300,0.225700,0.948998,20216,760,0.962406,816,21032,60648,0.653212,53067,75,0.998587,19.588467,0.902500,1.546900,0.953927,0.921030,1
sample,13,2,128,8,133,133,5,5,0.939910,8822,374,0.957606,4.450300,0.229900,0.948341,20216,760,0.962406,2176,22392,161728,0.861545,141512,200,0.998587,19.937200,1.231400,1.667400,0.938236,0.916367,1
sample,13,3,128,1,133,133,5,5,0.939910,8822,374,0.957606,3.781600,0.159100,0.957928,20216,760,0.962406,272,20488,20216,0.000000,17689,25,0.998587,19.709467,1.268100,1.666400,0.935660,0.915452,1
sample,13,3,128,3,133,133,5,5,0.939910,8822,374,0.957606,4.397100,0.220200,0.949922,20216,760,0.962406,816,21032,60648,0.653212,53067,75,0.998587,19.743500,0.922867,2.003067,0.953257,0.898546,1
sample,13,3,128,8,133,133,5,5,0.939910,8822,374,0.957606,5.360100,0.271800,0.949292,20216,760,0.962406,2176,22392,161728,0.861545,141512,200,0.998587,21.816267,0.898967,1.637667,0.958794,0.924934,1
sample,13,4,128,1,133,133,5,5,0.939910,8822,374,0.957606,4.288800,0.218000,0.949170,20216,760,0.962406,272,20488,20216,0.000000,17689,25,0.998587,18.927800,0.930167,1.764367,0.950857,0.906784,1
sample,13,4,128,3,133,133,5,5,0.939910,8822,374,0.957606,4.473400,0.222700,0.950217,20216,760,0.962406,816,21032,60648,0.653212,53067,75,0.998587,19.308167,0.954100,1.563900,0.950586,0.919003,1
sample,13,4,128,8,133,133,5,5,0.939910,8822,374,0.957606,4.325400,0.239800,0.944560,20216,760,0.962406,2176,22392,161728,0.861545,141512,200,0.998587,20.920100,0.925067,1.695567,0.955781,0.918950,1
