total_n,k_ref,missing_rate,false_positive_rate,selected_k,recall,precision,false_non_causal_selected,affected_fraction,objects_examined,relations_examined,candidate_scope_size,touch_units,full_scan_units,touch_ratio,latency_ms
8192,4,0.0,0.0,4,1.0,1.0,0,0.00048828,5,3,4,8,8195,0.00097621,0.0768
8192,4,0.0,0.1,4,1.0,1.0,0,0.00048828,5,3,4,8,8195,0.00097621,0.0721
8192,4,0.0,0.25,5,1.0,0.8,1,0.00061035,5,4,4,9,8196,0.0010981,0.0675
8192,4,0.25,0.0,4,1.0,1.0,0,0.00048828,5,0,4,5,8192,0.00061035,0.0662
8192,4,0.25,0.1,4,1.0,1.0,0,0.00048828,5,2,4,7,8194,0.00085428,0.0766
8192,4,0.25,0.25,5,1.0,0.8,1,0.00061035,5,4,4,9,8196,0.0010981,0.0839
8192,4,0.5,0.0,4,1.0,1.0,0,0.00048828,5,0,4,5,8192,0.00061035,0.0544
8192,4,0.5,0.1,4,1.0,1.0,0,0.00048828,5,0,4,5,8192,0.00061035,0.0457
8192,4,0.5,0.25,5,1.0,0.8,1,0.00061035,5,3,4,8,8195,0.00097621,0.0853
8192,8,0.0,0.0,8,1.0,1.0,0,0.00097656,9,7,8,16,8199,0.00195146,0.0834
8192,8,0.0,0.1,9,1.0,0.888889,1,0.00109863,9,8,8,17,8200,0.00207317,0.1074
8192,8,0.0,0.25,10,1.0,0.8,2,0.0012207,9,9,8,18,8201,0.00219485,0.0983
8192,8,0.25,0.0,8,1.0,1.0,0,0.00097656,9,7,8,16,8199,0.00195146,0.1255
8192,8,0.25,0.1,9,1.0,0.888889,1,0.00109863,9,6,8,15,8198,0.00182971,0.0986
8192,8,0.25,0.25,10,1.0,0.8,2,0.0012207,9,8,8,17,8200,0.00207317,0.0754
8192,8,0.5,0.0,8,1.0,1.0,0,0.00097656,9,2,8,11,8194,0.00134245,0.0951
8192,8,0.5,0.1,9,1.0,0.888889,1,0.00109863,9,5,8,14,8197,0.00170794,0.101
8192,8,0.5,0.25,10,1.0,0.8,2,0.0012207,9,6,8,15,8198,0.00182971,0.085
8192,16,0.0,0.0,16,1.0,1.0,0,0.00195312,17,15,16,32,8207,0.00389911,0.1113
8192,16,0.0,0.1,18,1.0,0.888889,2,0.00219727,17,17,16,34,8209,0.0041418,0.1289
8192,16,0.0,0.25,20,1.0,0.8,4,0.00244141,17,19,16,36,8211,0.00438436,0.1776
8192,16,0.25,0.0,16,1.0,1.0,0,0.00195312,17,9,16,26,8201,0.00317035,0.0984
8192,16,0.25,0.1,18,1.0,0.888889,2,0.00219727,17,11,16,28,8203,0.00341339,0.1159
8192,16,0.25,0.25,20,1.0,0.8,4,0.00244141,17,16,16,33,8208,0.00402047,0.1332
8192,16,0.5,0.0,16,1.0,1.0,0,0.00195312,17,8,16,25,8200,0.00304878,0.1009
8192,16,0.5,0.1,18,1.0,0.888889,2,0.00219727,17,10,16,27,8202,0.00329188,0.0979
8192,16,0.5,0.25,20,1.0,0.8,4,0.00244141,17,10,16,27,8202,0.00329188,0.1188
