accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,composition_steps,deployment_reject_margin,deployment_risk_adjusted,deployment_risk_penalty,excess_over_candidate_oracle,gate_steps,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,learned_generated_candidates,loss,oracle_match_rate,policy,predicted_regret_mean,predicted_sigma_mean,propagation_steps,regret_corr,regret_retriever_steps,retriever_steps,seed,selected_composition_argmax_rate,selected_composition_count_only_rate,selected_composition_expected_rate,selected_composition_rate,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_generated_0_rate,selected_learned_generated_1_rate,selected_learned_generated_2_rate,selected_learned_generated_3_rate,selected_learned_rate,selected_proximity_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,test_samples,total_objects_n,train_seed_count,train_static_learned_loss,train_verified_candidate_accept_rate,train_verified_candidate_regret_loss,train_verified_uncertainty_accept_rate,train_verified_uncertainty_regret_loss,validation_samples_per_seed,verification_feature_count
0.366667,0.5,4,0.939425,8,600,0.05,1.0,0.5,0.029855,700,4,0.155556,11,pairwise,4,0.969281,0.044444,verified_uncertainty_regret_gate_r0p5_m0p05,-0.006671,0.055077,40,0.108485,600,400,11,0.066667,0.0,0.022222,0.088889,0.0,0.077778,0.0,0.0,0.077778,0.0,0.022222,0.033333,0.0,0.0,0.0,0.633333,0.144444,,,,,,90,2048,4,0.981228,0.972222,0.957189,0.697222,0.959561,180,13
0.744444,0.5,4,0.939425,8,600,0.0,1.0,0.75,0.031708,700,4,0.366667,11,pairwise,4,0.971133,0.088889,verified_uncertainty_regret_gate_r0p75_m0,-0.006671,0.055077,40,0.108485,600,400,11,0.122222,0.0,0.044444,0.166667,0.011111,0.155556,0.011111,0.0,0.177778,0.1,0.055556,0.088889,0.0,0.0,0.0,0.255556,0.155556,,,,,,90,2048,4,0.981228,0.972222,0.957189,0.697222,0.959561,180,13
0.711111,0.5,4,0.939425,8,600,0.0025,1.0,0.75,0.031312,700,4,0.344444,11,pairwise,4,0.970737,0.088889,verified_uncertainty_regret_gate_r0p75_m0p0025,-0.006671,0.055077,40,0.108485,600,400,11,0.122222,0.0,0.033333,0.155556,0.011111,0.133333,0.011111,0.0,0.155556,0.1,0.055556,0.088889,0.0,0.0,0.0,0.288889,0.155556,,,,,,90,2048,4,0.981228,0.972222,0.957189,0.697222,0.959561,180,13
0.7,0.5,4,0.939425,8,600,0.005,1.0,0.75,0.031312,700,4,0.344444,11,pairwise,4,0.970737,0.088889,verified_uncertainty_regret_gate_r0p75_m0p005,-0.006671,0.055077,40,0.108485,600,400,11,0.122222,0.0,0.033333,0.155556,0.011111,0.133333,0.011111,0.0,0.155556,0.1,0.044444,0.088889,0.0,0.0,0.0,0.3,0.155556,,,,,,90,2048,4,0.981228,0.972222,0.957189,0.697222,0.959561,180,13
0.666667,0.5,4,0.939425,8,600,0.01,1.0,0.75,0.031415,700,4,0.333333,11,pairwise,4,0.97084,0.077778,verified_uncertainty_regret_gate_r0p75_m0p01,-0.006671,0.055077,40,0.108485,600,400,11,0.122222,0.0,0.033333,0.155556,0.011111,0.111111,0.011111,0.0,0.133333,0.1,0.044444,0.088889,0.0,0.0,0.0,0.333333,0.144444,,,,,,90,2048,4,0.981228,0.972222,0.957189,0.697222,0.959561,180,13
0.588889,0.5,4,0.939425,8,600,0.02,1.0,0.75,0.03086,700,4,0.288889,11,pairwise,4,0.970286,0.066667,verified_uncertainty_regret_gate_r0p75_m0p02,-0.006671,0.055077,40,0.108485,600,400,11,0.111111,0.0,0.033333,0.144444,0.011111,0.1,0.011111,0.0,0.122222,0.077778,0.033333,0.066667,0.0,0.0,0.0,0.411111,0.144444,,,,,,90,2048,4,0.981228,0.972222,0.957189,0.697222,0.959561,180,13
0.333333,0.5,4,0.939425,8,600,0.05,1.0,0.75,0.02994,700,4,0.144444,11,pairwise,4,0.969365,0.044444,verified_uncertainty_regret_gate_r0p75_m0p05,-0.006671,0.055077,40,0.108485,600,400,11,0.055556,0.0,0.022222,0.077778,0.0,0.055556,0.0,0.0,0.055556,0.0,0.022222,0.033333,0.0,0.0,0.0,0.666667,0.144444,,,,,,90,2048,4,0.981228,0.972222,0.957189,0.697222,0.959561,180,13
0.622222,0.5,4,0.939425,8,600,0.0,1.0,1.0,0.030484,700,4,0.288889,11,pairwise,4,0.969909,0.088889,verified_uncertainty_regret_gate_r1_m0,-0.006671,0.055077,40,0.108485,600,400,11,0.1,0.0,0.033333,0.133333,0.011111,0.1,0.011111,0.0,0.122222,0.088889,0.033333,0.077778,0.0,0.0,0.0,0.377778,0.166667,,,,,,90,2048,4,0.981228,0.972222,0.957189,0.697222,0.959561,180,13
0.611111,0.5,4,0.939425,8,600,0.0025,1.0,1.0,0.03008,700,4,0.277778,11,pairwise,4,0.969505,0.088889,verified_uncertainty_regret_gate_r1_m0p0025,-0.006671,0.055077,40,0.108485,600,400,11,0.1,0.0,0.033333,0.133333,0.011111,0.1,0.011111,0.0,0.122222,0.088889,0.033333,0.066667,0.0,0.0,0.0,0.388889,0.166667,,,,,,90,2048,4,0.981228,0.972222,0.957189,0.697222,0.959561,180,13
0.588889,0.5,4,0.939425,8,600,0.005,1.0,1.0,0.030463,700,4,0.266667,11,pairwise,4,0.969888,0.077778,verified_uncertainty_regret_gate_r1_m0p005,-0.006671,0.055077,40,0.108485,600,400,11,0.1,0.0,0.033333,0.133333,0.011111,0.088889,0.011111,0.0,0.111111,0.077778,0.033333,0.066667,0.0,0.0,0.0,0.411111,0.166667,,,,,,90,2048,4,0.981228,0.972222,0.957189,0.697222,0.959561,180,13
