mode,total_n,dual_omission,escape_rate,observation_budget,horizon,streams,mean_selected_k,max_selected_k,causal_recall,causal_precision,trajectory_mse,state_integrity,false_updates,observation_hit_rate,observation_cost,work_proxy,bytes_proxy
wpu-neighbor-only,2048,0.75,0.0,4,25,24,24.0,24.0,0.963542,0.321181,0.07137,0.933957,16.291667,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,2048,0.75,0.0,4,25,24,32.0,32.0,0.963542,0.240885,0.085606,0.922077,24.291667,0.0,4.0,32.0,1152.0
dense-state-copy,2048,0.75,0.0,4,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2048.0,73728.0
wpu-neighbor-only,2048,0.75,0.0,8,25,24,24.0,24.0,0.9375,0.3125,0.083714,0.924107,16.5,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,2048,0.75,0.0,8,25,24,32.0,32.0,0.96875,0.242188,0.082887,0.9241,24.25,0.0,8.0,32.0,1152.0
dense-state-copy,2048,0.75,0.0,8,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2048.0,73728.0
wpu-neighbor-only,2048,0.75,0.25,0,25,24,24.0,24.0,0.713542,0.237847,0.184971,0.846562,18.291667,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,2048,0.75,0.25,0,25,24,24.0,24.0,0.765625,0.255208,0.161418,0.863453,17.875,0.0,0.0,24.0,864.0
dense-state-copy,2048,0.75,0.25,0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2048.0,73728.0
wpu-neighbor-only,2048,0.75,0.25,2,25,24,24.0,24.0,0.734375,0.244792,0.17262,0.855592,18.125,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,2048,0.75,0.25,2,25,24,32.0,32.0,0.927083,0.231771,0.100986,0.909639,24.583333,0.784722,2.0,32.0,1152.0
dense-state-copy,2048,0.75,0.25,2,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2048.0,73728.0
