row_type,seed,sample_index,background_objects,branch_count,total_objects,total_relations,selected_objects,selected_relations,objectification_score,full_tensor_bytes,selected_tensor_bytes,tensor_byte_reduction,full_tensorize_ms,selected_tensorize_ms,tensorize_latency_reduction,full_state_memory_bytes,selected_state_memory_bytes,selected_state_memory_reduction,branch_overlay_bytes,base_plus_overlay_bytes,full_copy_branch_bytes,branch_memory_reduction,dense_object_work_proxy,sparse_object_work_proxy,work_proxy_reduction,full_graph_forward_ms,selected_sparse_forward_ms,selected_local_dense_forward_ms,sparse_forward_latency_reduction,local_dense_forward_latency_reduction,full_graph_peak_memory_bytes,selected_sparse_peak_memory_bytes,selected_local_dense_peak_memory_bytes,sparse_peak_memory_reduction,local_dense_peak_memory_reduction,sample_count
sample,11,3,128,1,132,132,4,4,0.939576,8756,308,0.964824,2.705800,0.129300,0.952214,20064,608,0.969697,272,20336,20064,0.000000,17424,16,0.999082,38.945180,2.114800,3.133080,0.945698,0.919552,10968064.000,10680320.000,10679296.000,0.026235,0.026328,1
sample,11,3,128,3,132,132,4,4,0.939576,8756,308,0.964824,2.718800,0.118700,0.956341,20064,608,0.969697,816,20880,60192,0.653110,52272,48,0.999082,38.215740,2.151740,3.204900,0.943695,0.916137,10968064.000,10680320.000,10679296.000,0.026235,0.026328,1
sample,11,3,128,8,132,132,4,4,0.939576,8756,308,0.964824,2.745100,0.122500,0.955375,20064,608,0.969697,2176,22240,160512,0.861443,139392,128,0.999082,38.904960,2.105840,3.220520,0.945872,0.917221,10968064.000,10680320.000,10679296.000,0.026235,0.026328,1
sample,11,0,512,1,516,516,4,4,0.938403,34100,308,0.990968,10.075100,0.122700,0.987821,78432,608,0.992248,272,78704,78432,0.000000,266256,16,0.999940,145.774520,2.207140,3.248720,0.984859,0.977714,11880448.000,10705920.000,10704896.000,0.098862,0.098948,1
sample,11,0,512,3,516,516,4,4,0.938403,34100,308,0.990968,10.477600,0.130900,0.987507,78432,608,0.992248,816,79248,235296,0.663199,798768,48,0.999940,145.463500,2.111960,3.200420,0.985481,0.977998,11880448.000,10705920.000,10704896.000,0.098862,0.098948,1
sample,11,0,512,8,516,516,4,4,0.938403,34100,308,0.990968,10.349500,0.123900,0.988028,78432,608,0.992248,2176,80608,627456,0.871532,2130048,128,0.999940,148.596100,2.153920,3.213380,0.985505,0.978375,11880448.000,10705920.000,10704896.000,0.098862,0.098948,1
sample,11,1,512,1,517,517,5,5,0.938491,34166,374,0.989053,10.320300,0.157500,0.984739,78584,760,0.990329,272,78856,78584,0.000000,267289,25,0.999906,144.218280,2.277520,3.214200,0.984208,0.977713,11884032.000,10706432.000,10705408.000,0.099091,0.099177,1
sample,11,1,512,3,517,517,5,5,0.938491,34166,374,0.989053,10.436200,0.148700,0.985752,78584,760,0.990329,816,79400,235752,0.663205,801867,75,0.999906,147.637620,2.287960,3.306620,0.984503,0.977603,11884032.000,10706432.000,10705408.000,0.099091,0.099177,1
sample,11,1,512,8,517,517,5,5,0.938491,34166,374,0.989053,10.436100,0.154000,0.985244,78584,760,0.990329,2176,80760,628672,0.871539,2138312,200,0.999906,147.432260,2.251840,3.270000,0.984726,0.977820,11884032.000,10706432.000,10705408.000,0.099091,0.099177,1
sample,11,2,512,1,516,516,4,4,0.938403,34100,308,0.990968,10.238400,0.125300,0.987762,78432,608,0.992248,272,78704,78432,0.000000,266256,16,0.999940,147.296400,2.195520,3.268640,0.985095,0.977809,11880448.000,10705920.000,10704896.000,0.098862,0.098948,1
