model,test_seed,feature_count,compute_cost,samples,target_mean,prediction_mean,regret_mse,regret_mae,regret_r2,regret_pearson,dense_rate,oracle_dense_rate,policy_loss,sparse_loss,dense_loss,oracle_loss,policy_delta_vs_sparse,policy_excess_over_oracle,policy_accuracy,sparse_accuracy,dense_accuracy,oracle_accuracy,residual_clip
state_base_plus_clipped_diag_0.05,17,17,0.1,270,0.013913,-0.025838,0.067063,0.175335,0.209787,0.478098,0.259259,0.418519,0.990184,0.996715,1.110629,0.957319,-0.006531,0.032865,0.496296,0.488889,0.47037,0.574074,0.05
state_base_plus_clipped_diag_0.1,17,17,0.02,270,0.013913,-0.038077,0.069652,0.17958,0.179283,0.462489,0.555556,0.607407,0.978813,0.996715,1.030629,0.914135,-0.017902,0.064678,0.511111,0.488889,0.47037,0.574074,0.1
state_base_plus_clipped_diag_0.1,17,17,0.05,270,0.013913,-0.038077,0.069652,0.17958,0.179283,0.462489,0.474074,0.577778,0.986605,0.996715,1.060629,0.931785,-0.01011,0.05482,0.514815,0.488889,0.47037,0.574074,0.1
state_base_plus_clipped_diag_0.1,17,17,0.1,270,0.013913,-0.038077,0.069652,0.17958,0.179283,0.462489,0.325926,0.418519,1.001405,0.996715,1.110629,0.957319,0.00469,0.044086,0.5,0.488889,0.47037,0.574074,0.1
state_base_plus_clipped_diag_0,19,17,0.02,270,0.028698,0.007649,0.08045,0.210687,0.161741,0.407908,0.385185,0.562963,0.959434,0.981818,1.030516,0.895275,-0.022385,0.064158,0.474074,0.474074,0.485185,0.544444,0.0
state_base_plus_clipped_diag_0,19,17,0.05,270,0.028698,0.007649,0.08045,0.210687,0.161741,0.407908,0.285185,0.522222,0.966954,0.981818,1.060516,0.911589,-0.014864,0.055366,0.477778,0.474074,0.485185,0.544444,0.0
state_base_plus_clipped_diag_0,19,17,0.1,270,0.028698,0.007649,0.08045,0.210687,0.161741,0.407908,0.166667,0.440741,0.973304,0.981818,1.110516,0.935515,-0.008514,0.037789,0.474074,0.474074,0.485185,0.544444,0.0
state_base_plus_clipped_diag_0.01,19,17,0.02,270,0.028698,0.006248,0.079908,0.21012,0.167392,0.415732,0.403704,0.562963,0.957649,0.981818,1.030516,0.895275,-0.024169,0.062374,0.474074,0.474074,0.485185,0.544444,0.01
state_base_plus_clipped_diag_0.01,19,17,0.05,270,0.028698,0.006248,0.079908,0.21012,0.167392,0.415732,0.3,0.522222,0.968906,0.981818,1.060516,0.911589,-0.012912,0.057317,0.474074,0.474074,0.485185,0.544444,0.01
state_base_plus_clipped_diag_0.01,19,17,0.1,270,0.028698,0.006248,0.079908,0.21012,0.167392,0.415732,0.17037,0.440741,0.973536,0.981818,1.110516,0.935515,-0.008282,0.03802,0.474074,0.474074,0.485185,0.544444,0.01
state_base_plus_clipped_diag_0.02,19,17,0.02,270,0.028698,0.004955,0.079467,0.209795,0.171991,0.422146,0.418519,0.562963,0.960657,0.981818,1.030516,0.895275,-0.021161,0.065381,0.477778,0.474074,0.485185,0.544444,0.02
state_base_plus_clipped_diag_0.02,19,17,0.05,270,0.028698,0.004955,0.079467,0.209795,0.171991,0.422146,0.303704,0.522222,0.967015,0.981818,1.060516,0.911589,-0.014804,0.055426,0.474074,0.474074,0.485185,0.544444,0.02
state_base_plus_clipped_diag_0.02,19,17,0.1,270,0.028698,0.004955,0.079467,0.209795,0.171991,0.422146,0.174074,0.440741,0.975122,0.981818,1.110516,0.935515,-0.006696,0.039607,0.474074,0.474074,0.485185,0.544444,0.02
state_base_plus_clipped_diag_0.05,19,17,0.02,270,0.028698,0.002901,0.079281,0.209816,0.173928,0.425432,0.42963,0.562963,0.958619,0.981818,1.030516,0.895275,-0.023199,0.063344,0.485185,0.474074,0.485185,0.544444,0.05
state_base_plus_clipped_diag_0.05,19,17,0.05,270,0.028698,0.002901,0.079281,0.209816,0.173928,0.425432,0.322222,0.522222,0.972284,0.981818,1.060516,0.911589,-0.009534,0.060695,0.47037,0.474074,0.485185,0.544444,0.05
state_base_plus_clipped_diag_0.05,19,17,0.1,270,0.028698,0.002901,0.079281,0.209816,0.173928,0.425432,0.196296,0.440741,0.976378,0.981818,1.110516,0.935515,-0.00544,0.040863,0.477778,0.474074,0.485185,0.544444,0.05
state_base_plus_clipped_diag_0.1,19,17,0.02,270,0.028698,0.003152,0.080384,0.214392,0.162427,0.412059,0.444444,0.562963,0.959171,0.981818,1.030516,0.895275,-0.022647,0.063895,0.485185,0.474074,0.485185,0.544444,0.1
state_base_plus_clipped_diag_0.1,19,17,0.05,270,0.028698,0.003152,0.080384,0.214392,0.162427,0.412059,0.344444,0.522222,0.97403,0.981818,1.060516,0.911589,-0.007788,0.062441,0.47037,0.474074,0.485185,0.544444,0.1
state_base_plus_clipped_diag_0.1,19,17,0.1,270,0.028698,0.003152,0.080384,0.214392,0.162427,0.412059,0.22963,0.440741,0.989549,0.981818,1.110516,0.935515,0.007731,0.054033,0.477778,0.474074,0.485185,0.544444,0.1
state_base_plus_clipped_diag_0,23,17,0.02,270,-0.012558,0.00127,0.030601,0.138671,-0.108878,0.353295,0.388889,0.474074,0.971303,0.99311,1.000552,0.933091,-0.021807,0.038212,0.492593,0.496296,0.47037,0.525926,0.0
state_base_plus_clipped_diag_0,23,17,0.05,270,-0.012558,0.00127,0.030601,0.138671,-0.108878,0.353295,0.303704,0.411111,0.979485,0.99311,1.030552,0.946534,-0.013624,0.032951,0.496296,0.496296,0.47037,0.525926,0.0
state_base_plus_clipped_diag_0,23,17,0.1,270,-0.012558,0.00127,0.030601,0.138671,-0.108878,0.353295,0.207407,0.285185,0.991273,0.99311,1.080552,0.963999,-0.001836,0.027275,0.496296,0.496296,0.47037,0.525926,0.0
state_base_plus_clipped_diag_0.01,23,17,0.02,270,-0.012558,-0.000256,0.031256,0.140185,-0.132628,0.344184,0.414815,0.474074,0.972196,0.99311,1.000552,0.933091,-0.020914,0.039105,0.496296,0.496296,0.47037,0.525926,0.01
state_base_plus_clipped_diag_0.01,23,17,0.05,270,-0.012558,-0.000256,0.031256,0.140185,-0.132628,0.344184,0.311111,0.411111,0.980141,0.99311,1.030552,0.946534,-0.012969,0.033607,0.496296,0.496296,0.47037,0.525926,0.01
state_base_plus_clipped_diag_0.01,23,17,0.1,270,-0.012558,-0.000256,0.031256,0.140185,-0.132628,0.344184,0.203704,0.285185,0.990743,0.99311,1.080552,0.963999,-0.002366,0.026745,0.496296,0.496296,0.47037,0.525926,0.01
state_base_plus_clipped_diag_0.02,23,17,0.02,270,-0.012558,-0.002022,0.031955,0.141549,-0.157959,0.335148,0.433333,0.474074,0.972665,0.99311,1.000552,0.933091,-0.020445,0.039574,0.496296,0.496296,0.47037,0.525926,0.02
state_base_plus_clipped_diag_0.02,23,17,0.05,270,-0.012558,-0.002022,0.031955,0.141549,-0.157959,0.335148,0.318519,0.411111,0.979722,0.99311,1.030552,0.946534,-0.013387,0.033188,0.496296,0.496296,0.47037,0.525926,0.02
state_base_plus_clipped_diag_0.02,23,17,0.1,270,-0.012558,-0.002022,0.031955,0.141549,-0.157959,0.335148,0.211111,0.285185,0.990898,0.99311,1.080552,0.963999,-0.002211,0.0269,0.496296,0.496296,0.47037,0.525926,0.02
state_base_plus_clipped_diag_0.05,23,17,0.02,270,-0.012558,-0.008443,0.03495,0.147534,-0.266457,0.304388,0.47037,0.474074,0.970888,0.99311,1.000552,0.933091,-0.022221,0.037797,0.496296,0.496296,0.47037,0.525926,0.05
state_base_plus_clipped_diag_0.05,23,17,0.05,270,-0.012558,-0.008443,0.03495,0.147534,-0.266457,0.304388,0.381481,0.411111,0.983598,0.99311,1.030552,0.946534,-0.009512,0.037064,0.496296,0.496296,0.47037,0.525926,0.05
state_base_plus_clipped_diag_0.05,23,17,0.1,270,-0.012558,-0.008443,0.03495,0.147534,-0.266457,0.304388,0.240741,0.285185,0.988182,0.99311,1.080552,0.963999,-0.004928,0.024183,0.496296,0.496296,0.47037,0.525926,0.05
state_base_plus_clipped_diag_0.1,23,17,0.02,270,-0.012558,-0.021275,0.041585,0.160912,-0.506893,0.256931,0.540741,0.474074,0.979401,0.99311,1.000552,0.933091,-0.013708,0.04631,0.481481,0.496296,0.47037,0.525926,0.1
state_base_plus_clipped_diag_0.1,23,17,0.05,270,-0.012558,-0.021275,0.041585,0.160912,-0.506893,0.256931,0.459259,0.411111,0.986829,0.99311,1.030552,0.946534,-0.00628,0.040295,0.496296,0.496296,0.47037,0.525926,0.1
state_base_plus_clipped_diag_0.1,23,17,0.1,270,-0.012558,-0.021275,0.041585,0.160912,-0.506893,0.256931,0.318519,0.285185,1.000511,0.99311,1.080552,0.963999,0.007401,0.036512,0.492593,0.496296,0.47037,0.525926,0.1
