row_type,model,seed,train_mechanism,eval_mechanism,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,seed_count
seed,serialized-token,13,nominal,catch_heavy,32,37,36,0.333333,0.805556,0.012354,1.083644,0.693879,0.211058,4.825,1.0,1.0,1
seed,serialized-token,17,nominal,nominal,32,37,36,0.472222,0.444444,0.019584,1.093959,0.673229,0.247355,4.4,1.0,1.0,1
seed,serialized-token,17,nominal,high_force,32,37,36,0.361111,0.361111,0.065876,1.382069,0.835262,0.378799,4.4,1.0,1.0,1
seed,serialized-token,17,nominal,edge_shift,32,37,36,0.472222,0.555556,0.054043,1.000914,0.619013,0.080735,4.4,1.0,1.0,1
seed,serialized-token,17,nominal,catch_heavy,32,37,36,0.222222,0.777778,0.015513,1.242132,0.772474,0.30533,4.8,1.0,1.0,1
seed,serialized-token,19,nominal,nominal,32,37,36,0.527778,0.444444,0.016751,0.968306,0.599153,0.09681,4.4,1.0,1.0,1
seed,serialized-token,19,nominal,high_force,32,37,36,0.416667,0.361111,0.072623,1.120242,0.685981,0.182147,4.4,1.0,1.0,1
seed,serialized-token,19,nominal,edge_shift,32,37,36,0.694444,0.555556,0.059208,0.949811,0.575327,0.263571,4.4,1.0,1.0,1
seed,serialized-token,19,nominal,catch_heavy,32,37,36,0.194444,0.777778,0.012175,1.050659,0.667665,0.293023,4.825,1.0,1.0,1
seed,serialized-token,23,nominal,nominal,32,37,36,0.472222,0.472222,0.017323,0.98006,0.609924,0.157825,4.275,1.0,1.0,1
seed,serialized-token,23,nominal,high_force,32,37,36,0.472222,0.472222,0.095187,1.020851,0.620754,0.223632,4.275,1.0,1.0,1
seed,serialized-token,23,nominal,edge_shift,32,37,36,0.666667,0.444444,0.07841,0.892729,0.535022,0.255155,4.275,1.0,1.0,1
seed,serialized-token,23,nominal,catch_heavy,32,37,36,0.416667,0.722222,0.01289,0.989731,0.638701,0.15201,4.775,1.0,1.0,1
summary,graph-transformer,all,nominal,catch_heavy,32,37,36,0.322222,0.777778,0.032215,1.185473,0.763415,0.355048,4.805,1.0,1.0,5
summary,graph-transformer,all,nominal,edge_shift,32,37,36,0.522222,0.527778,0.077949,1.033391,0.614147,0.224137,4.36,1.0,1.0,5
summary,graph-transformer,all,nominal,high_force,32,37,36,0.416667,0.411111,0.112105,1.420038,0.828363,0.382426,4.36,1.0,1.0,5
summary,graph-transformer,all,nominal,nominal,32,37,36,0.411111,0.45,0.036205,1.077,0.675927,0.221604,4.36,1.0,1.0,5
summary,serialized-token,all,nominal,catch_heavy,32,37,36,0.327778,0.777778,0.013825,1.058393,0.670691,0.229288,4.805,1.0,1.0,5
summary,serialized-token,all,nominal,edge_shift,32,37,36,0.555555,0.527778,0.060165,0.997661,0.603833,0.167665,4.36,1.0,1.0,5
summary,serialized-token,all,nominal,high_force,32,37,36,0.433333,0.411111,0.074966,1.154525,0.703167,0.232135,4.36,1.0,1.0,5
summary,serialized-token,all,nominal,nominal,32,37,36,0.455556,0.45,0.018085,1.012293,0.628618,0.140774,4.36,1.0,1.0,5
summary,wpu-cws-indexed-local-dense,all,nominal,catch_heavy,32,37,36,0.366667,0.777778,0.174987,1.135705,0.728429,0.313698,4.805,1.0,1.0,5
summary,wpu-cws-indexed-local-dense,all,nominal,edge_shift,32,37,36,0.477778,0.527778,0.49388,0.999774,0.603099,0.185243,4.36,1.0,1.0,5
summary,wpu-cws-indexed-local-dense,all,nominal,high_force,32,37,36,0.416667,0.411111,0.630407,1.295899,0.777555,0.342607,4.36,1.0,1.0,5
summary,wpu-cws-indexed-local-dense,all,nominal,nominal,32,37,36,0.394444,0.45,0.189759,1.054336,0.658903,0.200036,4.36,1.0,1.0,5
summary,wpu-cws-indexed-sparse,all,nominal,catch_heavy,32,37,36,0.3,0.777778,0.021459,1.078916,0.662538,0.25288,4.805,1.0,0.0,5
summary,wpu-cws-indexed-sparse,all,nominal,edge_shift,32,37,36,0.522222,0.527778,0.366079,1.033803,0.622615,0.178233,4.36,1.0,0.0,5
summary,wpu-cws-indexed-sparse,all,nominal,high_force,32,37,36,0.416667,0.411111,0.479935,1.05579,0.638699,0.112684,4.36,1.0,0.0,5
summary,wpu-cws-indexed-sparse,all,nominal,nominal,32,37,36,0.427778,0.45,0.052091,1.046428,0.636457,0.124159,4.36,1.0,0.0,5
