accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,excess_over_candidate_oracle,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,joint_steps,loss,oracle_match_rate,pairwise_no_harm_margin,pairwise_no_harm_weight,policy,retriever_steps,score_regression_weight,seed,selected_composition_rate,selected_confidence_threshold,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,selected_structured_0_rate,selected_structured_1_rate,selected_structured_2_rate,selected_structured_3_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,structured_candidates,test_samples,total_objects_n,train_joint_selector_harmful_accept_rate,train_joint_selector_loss,train_seed_count,train_static_learned_loss,use_geometry_context,validation_samples_per_seed
0.0,0.488889,4,1.026234,16,0.092177,4,0.0,23,pairwise,60,1.118411,0.0,0.25,0.0,static_learned_interaction,120,0.2,23,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.283333,0.126702,0.066667,0.680501,confidence_t0p35,4,45,2048,0.433333,0.671556,4,0.691033,0,60
1.0,0.533333,4,1.026234,16,0.06006,4,0.311111,23,pairwise,60,1.086294,0.555556,0.25,0.0,joint_selector_propagator,120,0.2,23,0.0,0.35,0.0,0.133333,0.0,0.0,0.133333,0.822222,0.0,0.0,0.044444,0.0,0.0,0.0,0.0,0.283333,0.126702,0.066667,0.680501,confidence_t0p35,4,45,2048,0.433333,0.671556,4,0.691033,0,60
0.355556,0.533333,4,1.026234,16,0.079753,4,0.044444,23,pairwise,60,1.105987,0.266667,0.25,0.0,confidence_selected_joint_selector_propagator,120,0.2,23,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.355556,0.0,0.644444,0.0,0.0,0.0,0.0,0.0,0.283333,0.126702,0.066667,0.680501,confidence_t0p35,4,45,2048,0.433333,0.671556,4,0.691033,0,60
0.355556,0.533333,4,1.026234,16,0.079753,4,0.044444,23,pairwise,60,1.105987,0.266667,0.25,0.0,train_selected_joint_selector_propagator,120,0.2,23,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.355556,0.0,0.644444,0.0,0.0,0.0,0.0,0.0,0.283333,0.126702,0.066667,0.680501,confidence_t0p35,4,45,2048,0.433333,0.671556,4,0.691033,0,60
1.0,0.6,4,1.026234,16,0.0,4,0.0,23,pairwise,60,1.026234,1.0,0.25,0.0,generated_plus_composition_oracle,120,0.2,23,0.0,0.35,0.022222,0.133333,0.0,0.022222,0.177778,0.644444,0.0,0.0,0.111111,0.0,0.0,0.066667,0.0,0.283333,0.126702,0.066667,0.680501,confidence_t0p35,4,45,2048,0.433333,0.671556,4,0.691033,0,60
0.0,0.444444,4,0.995706,32,0.025207,4,0.0,11,pairwise,60,1.020913,0.0,0.25,0.0,static_learned_interaction,120,0.2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.103516,0.466667,0.921828,confidence_t0,4,45,2048,0.466667,0.921828,4,0.925174,0,60
1.0,0.466667,4,0.995706,32,0.021885,4,0.422222,11,pairwise,60,1.017591,0.4,0.25,0.0,joint_selector_propagator,120,0.2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.103516,0.466667,0.921828,confidence_t0,4,45,2048,0.466667,0.921828,4,0.925174,0,60
1.0,0.466667,4,0.995706,32,0.021885,4,0.422222,11,pairwise,60,1.017591,0.4,0.25,0.0,confidence_selected_joint_selector_propagator,120,0.2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.103516,0.466667,0.921828,confidence_t0,4,45,2048,0.466667,0.921828,4,0.925174,0,60
1.0,0.466667,4,0.995706,32,0.021885,4,0.422222,11,pairwise,60,1.017591,0.4,0.25,0.0,train_selected_joint_selector_propagator,120,0.2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.103516,0.466667,0.921828,confidence_t0,4,45,2048,0.466667,0.921828,4,0.925174,0,60
1.0,0.466667,4,0.995706,32,0.0,4,0.0,11,pairwise,60,0.995706,1.0,0.25,0.0,generated_plus_composition_oracle,120,0.2,11,0.0,0.0,0.044444,0.222222,0.022222,0.066667,0.355556,0.4,0.0,0.0,0.066667,0.0,0.066667,0.111111,0.0,1.0,0.103516,0.466667,0.921828,confidence_t0,4,45,2048,0.466667,0.921828,4,0.925174,0,60
0.0,0.488889,4,0.877399,32,0.054709,4,0.0,13,pairwise,60,0.932108,0.0,0.25,0.0,static_learned_interaction,120,0.2,13,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.266667,0.287183,0.033333,0.948393,confidence_t0p25,4,45,2048,0.5,0.947903,4,0.963885,0,60
1.0,0.533333,4,0.877399,32,0.044913,4,0.533333,13,pairwise,60,0.922312,0.422222,0.25,0.0,joint_selector_propagator,120,0.2,13,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266667,0.287183,0.033333,0.948393,confidence_t0p25,4,45,2048,0.5,0.947903,4,0.963885,0,60
