accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,composition_steps,deployment_reject_margin,deployment_risk_adjusted,deployment_risk_penalty,excess_over_candidate_oracle,gate_steps,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,loss,no_harm_margin,oracle_match_rate,policy,predicted_regret_mean,predicted_sigma_mean,propagation_steps,regret_corr,regret_retriever_steps,reject_margin,retriever_steps,risk_penalty,seed,selected_composition_argmax_rate,selected_composition_count_only_rate,selected_composition_expected_rate,selected_composition_rate,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,test_samples,total_objects_n,train_candidate_regret_accept_rate,train_candidate_regret_gate_loss,train_seed_count,train_static_learned_loss,train_uncertainty_regret_accept_rate,train_uncertainty_regret_gate_loss,validation_samples_per_seed
0.0,0.5,4,0.940478,8,600,0.01,1.0,3.0,0.030027,600,4,0.0,11,pairwise,0.970506,0.0,0.022222,uncertainty_regret_gate_r3_m0p01,-0.007557,0.050411,40,0.005311,600,0.0,400,0.5,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,1.0,0.967642,4,0.981228,0.740278,0.969248,180
0.0,0.5,4,0.940478,8,600,0.02,1.0,3.0,0.030027,600,4,0.0,11,pairwise,0.970506,0.0,0.022222,uncertainty_regret_gate_r3_m0p02,-0.007557,0.050411,40,0.005311,600,0.0,400,0.5,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,1.0,0.967642,4,0.981228,0.740278,0.969248,180
0.0,0.5,4,0.940478,8,600,0.05,1.0,3.0,0.030027,600,4,0.0,11,pairwise,0.970506,0.0,0.022222,uncertainty_regret_gate_r3_m0p05,-0.007557,0.050411,40,0.005311,600,0.0,400,0.5,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,1.0,0.967642,4,0.981228,0.740278,0.969248,180
,0.455556,4,0.964415,8,600,,,,0.031939,600,4,,13,pairwise,0.996354,0.0,0.0,static_learned_interaction,,,40,,600,0.0,400,0.5,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,0.961111,0.969975,4,0.980309,0.180556,0.976928,180
0.955556,0.477778,4,0.964415,8,600,0.0,0.0,0.5,0.019709,600,4,0.266667,13,pairwise,0.984123,0.0,0.344444,candidate_regret_gate,0.001197,0.050589,40,0.240365,600,0.0,400,0.5,13,0.244444,0.077778,0.055556,0.377778,0.0,0.133333,0.0,0.0,0.133333,0.3,0.0,0.044444,0.144444,,,,,,90,2048,0.961111,0.969975,4,0.980309,0.180556,0.976928,180
0.177778,0.466667,4,0.964415,8,600,0.0,1.0,0.5,0.029952,600,4,0.033333,13,pairwise,0.994367,0.0,0.033333,uncertainty_regret_gate,0.001197,0.050589,40,0.240365,600,0.0,400,0.5,13,0.011111,0.033333,0.011111,0.055556,0.0,0.033333,0.0,0.0,0.033333,0.0,0.0,0.822222,0.088889,,,,,,90,2048,0.961111,0.969975,4,0.980309,0.180556,0.976928,180
0.322222,0.466667,4,0.964415,8,600,0.02,0.0,0.5,0.027781,600,4,0.066667,13,pairwise,0.992196,0.0,0.133333,train_selected_candidate_regret_gate,0.001197,0.050589,40,0.240365,600,0.0,400,0.5,13,0.077778,0.044444,0.011111,0.133333,0.0,0.055556,0.0,0.0,0.055556,0.011111,0.0,0.677778,0.122222,0.330556,0.132299,0.098611,0.975692,candidate_regret_gate_m0p02,90,2048,0.961111,0.969975,4,0.980309,0.180556,0.976928,180
,0.522222,4,0.964415,8,600,,,,0.0,600,4,,13,pairwise,0.964415,0.0,1.0,generated_plus_composition_oracle,,,40,,600,0.0,400,0.5,13,0.266667,0.055556,0.0,0.322222,0.033333,0.233333,0.0,0.022222,0.288889,0.288889,0.0,0.0,0.1,,,,,,90,2048,0.961111,0.969975,4,0.980309,0.180556,0.976928,180
0.911111,0.477778,4,0.964415,8,600,0.0025,0.0,0.5,0.020053,600,4,0.255556,13,pairwise,0.984468,0.0,0.333333,candidate_regret_gate_m0p0025,0.001197,0.050589,40,0.240365,600,0.0,400,0.5,13,0.211111,0.077778,0.055556,0.344444,0.0,0.133333,0.0,0.0,0.133333,0.288889,0.0,0.088889,0.144444,,,,,,90,2048,0.961111,0.969975,4,0.980309,0.180556,0.976928,180
0.888889,0.477778,4,0.964415,8,600,0.005,0.0,0.5,0.019731,600,4,0.244444,13,pairwise,0.984145,0.0,0.333333,candidate_regret_gate_m0p005,0.001197,0.050589,40,0.240365,600,0.0,400,0.5,13,0.2,0.077778,0.055556,0.333333,0.0,0.122222,0.0,0.0,0.122222,0.288889,0.0,0.111111,0.144444,,,,,,90,2048,0.961111,0.969975,4,0.980309,0.180556,0.976928,180
0.8,0.466667,4,0.964415,8,600,0.01,0.0,0.5,0.02202,600,4,0.211111,13,pairwise,0.986435,0.0,0.288889,candidate_regret_gate_m0p01,0.001197,0.050589,40,0.240365,600,0.0,400,0.5,13,0.188889,0.077778,0.055556,0.322222,0.0,0.122222,0.0,0.0,0.122222,0.222222,0.0,0.2,0.133333,,,,,,90,2048,0.961111,0.969975,4,0.980309,0.180556,0.976928,180
