accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,excess_over_candidate_oracle,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,joint_steps,loss,oracle_match_rate,pairwise_no_harm_margin,pairwise_no_harm_weight,policy,retriever_steps,score_regression_weight,seed,selected_composition_rate,selected_confidence_threshold,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,selected_structured_0_rate,selected_structured_1_rate,selected_structured_2_rate,selected_structured_3_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,structured_candidates,test_samples,total_objects_n,train_joint_selector_harmful_accept_rate,train_joint_selector_loss,train_seed_count,train_static_learned_loss,use_geometry_context,validation_samples_per_seed,verification_context,verification_context_detach
0.0,0.488889,4,0.948857,16,0.123151,4,0.0,23,pairwise,60,1.072008,0.0,0.25,0.0,static_learned_interaction,120,0.0,23,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.533333,0.212951,0.2,0.655386,confidence_t0p45,4,45,2048,0.466667,0.662328,4,0.68279,0,60,1,1
1.0,0.577778,4,0.948857,16,0.066669,4,0.333333,23,pairwise,60,1.015526,0.555556,0.25,0.0,joint_selector_propagator,120,0.0,23,0.0,0.45,0.0,0.155556,0.0,0.0,0.155556,0.666667,0.0,0.0,0.177778,0.0,0.0,0.0,0.0,0.533333,0.212951,0.2,0.655386,confidence_t0p45,4,45,2048,0.466667,0.662328,4,0.68279,0,60,1,1
0.666667,0.577778,4,0.948857,16,0.072831,4,0.2,23,pairwise,60,1.021688,0.444444,0.25,0.0,confidence_selected_joint_selector_propagator,120,0.0,23,0.0,0.45,0.0,0.088889,0.0,0.0,0.088889,0.577778,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.533333,0.212951,0.2,0.655386,confidence_t0p45,4,45,2048,0.466667,0.662328,4,0.68279,0,60,1,1
0.666667,0.577778,4,0.948857,16,0.072831,4,0.2,23,pairwise,60,1.021688,0.444444,0.25,0.0,train_selected_joint_selector_propagator,120,0.0,23,0.0,0.45,0.0,0.088889,0.0,0.0,0.088889,0.577778,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.533333,0.212951,0.2,0.655386,confidence_t0p45,4,45,2048,0.466667,0.662328,4,0.68279,0,60,1,1
1.0,0.688889,4,0.948857,16,0.0,4,0.0,23,pairwise,60,0.948857,1.0,0.25,0.0,generated_plus_composition_oracle,120,0.0,23,0.0,0.45,0.0,0.133333,0.088889,0.022222,0.244444,0.511111,0.0,0.0,0.2,0.0,0.0,0.044444,0.0,0.533333,0.212951,0.2,0.655386,confidence_t0p45,4,45,2048,0.466667,0.662328,4,0.68279,0,60,1,1
0.0,0.444444,4,0.997295,32,0.019335,4,0.0,11,pairwise,60,1.016629,0.0,0.25,0.0,static_learned_interaction,120,0.0,11,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.917545,confidence_t0p55,4,45,2048,0.55,0.919314,4,0.917545,0,60,1,1
1.0,0.488889,4,0.997295,32,0.017839,4,0.533333,11,pairwise,60,1.015134,0.222222,0.25,0.0,joint_selector_propagator,120,0.0,11,0.0,0.55,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.917545,confidence_t0p55,4,45,2048,0.55,0.919314,4,0.917545,0,60,1,1
0.0,0.444444,4,0.997295,32,0.019335,4,0.0,11,pairwise,60,1.016629,0.0,0.25,0.0,confidence_selected_joint_selector_propagator,120,0.0,11,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.917545,confidence_t0p55,4,45,2048,0.55,0.919314,4,0.917545,0,60,1,1
0.0,0.444444,4,0.997295,32,0.019335,4,0.0,11,pairwise,60,1.016629,0.0,0.25,0.0,train_selected_joint_selector_propagator,120,0.0,11,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.917545,confidence_t0p55,4,45,2048,0.55,0.919314,4,0.917545,0,60,1,1
1.0,0.444444,4,0.997295,32,0.0,4,0.0,11,pairwise,60,0.997295,1.0,0.25,0.0,generated_plus_composition_oracle,120,0.0,11,0.0,0.55,0.044444,0.311111,0.044444,0.066667,0.466667,0.222222,0.0,0.0,0.088889,0.0,0.111111,0.111111,0.0,0.0,0.0,0.0,0.917545,confidence_t0p55,4,45,2048,0.55,0.919314,4,0.917545,0,60,1,1
0.0,0.488889,4,0.888619,32,0.043594,4,0.0,13,pairwise,60,0.932213,0.0,0.25,0.0,static_learned_interaction,120,0.0,13,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.983333,0.296066,0.533333,0.953974,confidence_t0p35,4,45,2048,0.55,0.954035,4,0.966343,0,60,1,1
1.0,0.511111,4,0.888619,32,0.036765,4,0.511111,13,pairwise,60,0.925384,0.4,0.25,0.0,joint_selector_propagator,120,0.0,13,0.0,0.35,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.983333,0.296066,0.533333,0.953974,confidence_t0p35,4,45,2048,0.55,0.954035,4,0.966343,0,60,1,1
0.955556,0.511111,4,0.888619,32,0.035993,4,0.466667,13,pairwise,60,0.924612,0.4,0.25,0.0,confidence_selected_joint_selector_propagator,120,0.0,13,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.955556,0.0,0.044444,0.0,0.0,0.0,0.0,0.0,0.983333,0.296066,0.533333,0.953974,confidence_t0p35,4,45,2048,0.55,0.954035,4,0.966343,0,60,1,1
0.955556,0.511111,4,0.888619,32,0.035993,4,0.466667,13,pairwise,60,0.924612,0.4,0.25,0.0,train_selected_joint_selector_propagator,120,0.0,13,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.955556,0.0,0.044444,0.0,0.0,0.0,0.0,0.0,0.983333,0.296066,0.533333,0.953974,confidence_t0p35,4,45,2048,0.55,0.954035,4,0.966343,0,60,1,1
1.0,0.511111,4,0.888619,32,0.0,4,0.0,13,pairwise,60,0.888619,1.0,0.25,0.0,generated_plus_composition_oracle,120,0.0,13,0.0,0.35,0.044444,0.222222,0.022222,0.0,0.288889,0.4,0.0,0.0,0.244444,0.0,0.022222,0.044444,0.0,0.983333,0.296066,0.533333,0.953974,confidence_t0p35,4,45,2048,0.55,0.954035,4,0.966343,0,60,1,1
