mode,shift,total_n,escape_rate,calibration_scale,calibration_offset,mean_selected_k,max_selected_k,mean_observation_budget,causal_recall,trajectory_mse,state_integrity,observation_hit_rate,objective,work_proxy,bytes_proxy
dense-state-copy,clean,2048,0.75,1.0,0.0,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,2048.0,73728.0
wpu-hand-adaptive,clean,8192,0.0,1.0,0.0,24.0,24.0,0.0,0.949219,0.078198,0.929014,0.0,0.078198,24.0,864.0
wpu-learned-observation,clean,8192,0.0,1.0,0.0,24.0,24.0,0.0,0.964844,0.068709,0.936373,0.0,0.068709,24.0,864.0
wpu-calibrated-learned-observation,clean,8192,0.0,1.0,0.0,24.0,24.0,0.0,0.957031,0.073916,0.931808,0.0,0.073916,24.0,864.0
wpu-fixed-observation,clean,8192,0.0,1.0,0.0,32.0,32.0,8.0,0.972656,0.08349,0.923529,0.0,0.20349,32.0,1152.0
dense-state-copy,clean,8192,0.0,1.0,0.0,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,8192.0,294912.0
wpu-hand-adaptive,clean,8192,0.25,1.0,0.0,31.0,32.0,1.53125,0.957031,0.087164,0.9206,0.875,0.110133,31.0,1116.0
wpu-learned-observation,clean,8192,0.25,1.0,0.0,30.5,32.0,1.5625,0.957031,0.086539,0.921573,0.8125,0.109976,30.5,1098.0
wpu-calibrated-learned-observation,clean,8192,0.25,1.0,0.0,24.25,32.0,0.03125,0.777344,0.154934,0.868421,0.015625,0.155403,24.25,873.0
wpu-fixed-observation,clean,8192,0.25,1.0,0.0,32.0,32.0,8.0,0.953125,0.093619,0.91572,0.875,0.213619,32.0,1152.0
dense-state-copy,clean,8192,0.25,1.0,0.0,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,8192.0,294912.0
wpu-hand-adaptive,clean,8192,0.5,1.0,0.0,32.0,32.0,2.71875,0.972656,0.083932,0.923128,1.0,0.124713,32.0,1152.0
wpu-learned-observation,clean,8192,0.5,1.0,0.0,31.75,32.0,2.75,0.980469,0.07943,0.92679,0.964286,0.12068,31.75,1143.0
wpu-calibrated-learned-observation,clean,8192,0.5,1.0,0.0,27.25,32.0,0.9375,0.679688,0.20277,0.83251,0.214583,0.216832,27.25,981.0
wpu-fixed-observation,clean,8192,0.5,1.0,0.0,32.0,32.0,8.0,0.957031,0.091152,0.917125,0.96875,0.211152,32.0,1152.0
dense-state-copy,clean,8192,0.5,1.0,0.0,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,8192.0,294912.0
wpu-hand-adaptive,clean,8192,0.75,1.0,0.0,31.75,32.0,4.28125,0.933594,0.101108,0.909253,0.96875,0.165326,31.75,1143.0
wpu-learned-observation,clean,8192,0.75,1.0,0.0,32.0,32.0,4.1875,0.929688,0.104112,0.907074,0.979911,0.166924,32.0,1152.0
wpu-calibrated-learned-observation,clean,8192,0.75,1.0,0.0,31.25,32.0,2.96875,0.769531,0.174364,0.853088,0.610938,0.218896,31.25,1125.0
wpu-fixed-observation,clean,8192,0.75,1.0,0.0,32.0,32.0,8.0,0.949219,0.095329,0.914054,1.0,0.215329,32.0,1152.0
dense-state-copy,clean,8192,0.75,1.0,0.0,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,8192.0,294912.0
wpu-hand-adaptive,noisy_anomaly,128,0.0,1.235341,-0.219902,24.0,24.0,0.0,1.0,0.05168,0.950895,0.0,0.05168,24.0,864.0
wpu-learned-observation,noisy_anomaly,128,0.0,1.235341,-0.219902,24.0,24.0,0.0,1.0,0.053462,0.94928,0.0,0.053462,24.0,864.0
wpu-calibrated-learned-observation,noisy_anomaly,128,0.0,1.235341,-0.219902,24.0,24.0,0.0,1.0,0.052741,0.949935,0.0,0.052741,24.0,864.0
wpu-fixed-observation,noisy_anomaly,128,0.0,1.235341,-0.219902,32.0,32.0,8.0,1.0,0.069752,0.934823,0.0,0.189752,32.0,1152.0
dense-state-copy,noisy_anomaly,128,0.0,1.235341,-0.219902,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,128.0,4608.0
wpu-hand-adaptive,noisy_anomaly,128,0.25,1.235341,-0.219902,30.75,32.0,1.65625,0.925781,0.103272,0.907811,0.533854,0.128116,30.75,1107.0
wpu-learned-observation,noisy_anomaly,128,0.25,1.235341,-0.219902,31.0,32.0,1.53125,0.929688,0.101088,0.909389,0.578125,0.124057,31.0,1116.0
wpu-calibrated-learned-observation,noisy_anomaly,128,0.25,1.235341,-0.219902,25.5,32.0,0.25,0.800781,0.143435,0.876096,0.072917,0.147185,25.5,918.0
wpu-fixed-observation,noisy_anomaly,128,0.25,1.235341,-0.219902,32.0,32.0,8.0,0.960938,0.089807,0.918259,0.643229,0.209807,32.0,1152.0
dense-state-copy,noisy_anomaly,128,0.25,1.235341,-0.219902,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,128.0,4608.0
