accuracy,base_oracle_loss,base_oracle_match_rate,budget,causal_k,excess_over_base_oracle,excess_over_generated_oracle,generated_candidates,generated_oracle_accuracy,generated_oracle_loss,generated_oracle_match_rate,interaction_mode,loss,policy,propagation_steps,reranker_steps,retriever_steps,safe_margin,safe_uses_reranker,seed,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,static_generated_mode_from_validation,static_mode_from_validation,test_samples,total_objects_n,validation_reranker_loss,validation_samples,validation_static_loss
0.522222,0.973841,0.3,4,8,0.029262,0.036329,4,0.644444,0.966774,0.088889,pairwise,1.003103,static_proximity,40,600,400,0.005,,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,interaction,interaction,90,2048,0.935937,180,0.968328
0.533333,0.973841,0.177778,4,8,0.028924,0.03599,4,0.644444,0.966774,0.022222,pairwise,1.002764,static_interaction,40,600,400,0.005,,19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,interaction,interaction,90,2048,0.935937,180,0.968328
0.533333,0.973841,0.022222,4,8,0.028959,0.036025,4,0.644444,0.966774,0.0,pairwise,1.002799,static_learned,40,600,400,0.005,,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,interaction,interaction,90,2048,0.935937,180,0.968328
0.533333,0.973841,0.177778,4,8,0.028924,0.03599,4,0.644444,0.966774,0.022222,pairwise,1.002764,static_base_validation_choice,40,600,400,0.005,,19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,interaction,interaction,90,2048,0.935937,180,0.968328
0.533333,0.973841,0.177778,4,8,0.028924,0.03599,4,0.644444,0.966774,0.022222,pairwise,1.002764,static_generated_validation_choice,40,600,400,0.005,,19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,interaction,interaction,90,2048,0.935937,180,0.968328
0.566667,0.973841,0.433333,4,8,0.011025,0.018091,4,0.644444,0.966774,0.533333,pairwise,0.984866,generated_set_reranker,40,600,400,0.005,,19,0.111111,0.2,0.033333,0.0,0.344444,0.455556,0.011111,0.011111,0.177778,interaction,interaction,90,2048,0.935937,180,0.968328
0.566667,0.973841,0.433333,4,8,0.011025,0.018091,4,0.644444,0.966774,0.533333,pairwise,0.984866,generated_margin_safe_reranker,40,600,400,0.005,1,19,0.111111,0.2,0.033333,0.0,0.344444,0.455556,0.011111,0.011111,0.177778,interaction,interaction,90,2048,0.935937,180,0.968328
0.622222,0.973841,1.0,4,8,0.0,0.007066,4,0.644444,0.966774,0.555556,pairwise,0.973841,base_oracle,40,600,400,0.005,,19,0.0,0.0,0.0,0.0,0.0,0.5,0.177778,0.022222,0.3,interaction,interaction,90,2048,0.935937,180,0.968328
0.644444,0.973841,0.555556,4,8,-0.007066,0.0,4,0.644444,0.966774,1.0,pairwise,0.966774,generated_oracle,40,600,400,0.005,,19,0.044444,0.311111,0.044444,0.044444,0.444444,0.444444,0.022222,0.0,0.088889,interaction,interaction,90,2048,0.935937,180,0.968328
0.544444,0.960229,0.533333,4,8,0.037345,0.046302,4,0.6,0.951272,0.522222,pairwise,0.997574,static_indexed,40,600,400,0.005,,23,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,indexed,indexed,90,2048,0.957728,180,1.00984
