row_type,model,seed,train_mechanism,eval_mechanism,temperature,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,seed_count
seed,serialized-token,17,nominal+high_force+edge_shift+catch_heavy,edge_shift,0.88528,32,37,36,0.25,0.555556,0.054977,1.11341,0.691297,0.215742,4.4,1.0,1.0,1
seed,serialized-token,17,nominal+high_force+edge_shift+catch_heavy,catch_heavy,0.88528,32,37,36,0.638889,0.777778,0.015718,0.879233,0.53174,0.17338,4.8,1.0,1.0,1
summary,graph-transformer,all,nominal+high_force+edge_shift+catch_heavy,catch_heavy,1.227897,32,37,36,0.462963,0.796297,0.021372,1.054549,0.660621,0.202056,4.808333,1.0,1.0,3
summary,graph-transformer,all,nominal+high_force+edge_shift+catch_heavy,edge_shift,1.227897,32,37,36,0.388889,0.546297,0.06281,1.127812,0.671154,0.093222,4.375,1.0,1.0,3
summary,graph-transformer,all,nominal+high_force+edge_shift+catch_heavy,high_force,1.227897,32,37,36,0.425926,0.407407,0.086265,1.21676,0.717428,0.202594,4.375,1.0,1.0,3
summary,graph-transformer,all,nominal+high_force+edge_shift+catch_heavy,nominal,1.227897,32,37,36,0.333333,0.444444,0.025736,1.079346,0.668817,0.14371,4.375,1.0,1.0,3
summary,serialized-token,all,nominal+high_force+edge_shift+catch_heavy,catch_heavy,0.739481,32,37,36,0.481481,0.796297,0.020956,0.98998,0.632955,0.273757,4.808333,1.0,1.0,3
summary,serialized-token,all,nominal+high_force+edge_shift+catch_heavy,edge_shift,0.739481,32,37,36,0.351852,0.546297,0.060427,1.119868,0.661762,0.221813,4.375,1.0,1.0,3
summary,serialized-token,all,nominal+high_force+edge_shift+catch_heavy,high_force,0.739481,32,37,36,0.444444,0.407407,0.074802,1.196718,0.704293,0.18257,4.375,1.0,1.0,3
summary,serialized-token,all,nominal+high_force+edge_shift+catch_heavy,nominal,0.739481,32,37,36,0.407407,0.444444,0.024858,1.018507,0.634523,0.150717,4.375,1.0,1.0,3
summary,wpu-cws-indexed-local-dense,all,nominal+high_force+edge_shift+catch_heavy,catch_heavy,0.791706,32,37,36,0.185185,0.796297,0.112522,1.146785,0.72799,0.295547,4.808333,1.0,1.0,3
summary,wpu-cws-indexed-local-dense,all,nominal+high_force+edge_shift+catch_heavy,edge_shift,0.791706,32,37,36,0.546297,0.546297,0.399311,1.02023,0.613858,0.170876,4.375,1.0,1.0,3
summary,wpu-cws-indexed-local-dense,all,nominal+high_force+edge_shift+catch_heavy,high_force,0.791706,32,37,36,0.407407,0.407407,0.514232,1.168735,0.714381,0.227431,4.375,1.0,1.0,3
summary,wpu-cws-indexed-local-dense,all,nominal+high_force+edge_shift+catch_heavy,nominal,0.791706,32,37,36,0.435185,0.444444,0.136055,1.055217,0.65238,0.129415,4.375,1.0,1.0,3
summary,wpu-cws-indexed-sparse,all,nominal+high_force+edge_shift+catch_heavy,catch_heavy,0.25,32,37,36,0.333333,0.796297,0.028253,1.159612,0.73124,0.374625,4.808333,1.0,0.0,3
summary,wpu-cws-indexed-sparse,all,nominal+high_force+edge_shift+catch_heavy,edge_shift,0.25,32,37,36,0.481481,0.546297,0.327038,1.012587,0.603781,0.157736,4.375,1.0,0.0,3
summary,wpu-cws-indexed-sparse,all,nominal+high_force+edge_shift+catch_heavy,high_force,0.25,32,37,36,0.444444,0.407407,0.449957,1.147012,0.693458,0.204216,4.375,1.0,0.0,3
summary,wpu-cws-indexed-sparse,all,nominal+high_force+edge_shift+catch_heavy,nominal,0.25,32,37,36,0.472222,0.444444,0.058303,1.022019,0.622811,0.107388,4.375,1.0,0.0,3
