causal_k,compute_cost,expanded_dense_loss,expanded_path_loss,expanded_sparse_loss,expanded_working_set_size,expansion_cost,expansion_path,expansion_ratio,hidden_dim,initial_dense_loss,initial_dense_ratio,initial_working_set_size,interaction_mode,layers,max_expansion_rate,model,oracle_loss,policy,policy_accuracy,policy_delta_vs_sparse,policy_excess_over_oracle,policy_loss,propagation_steps,regret_steps,route_threshold,rule,samples,seed,sparse_loss,status,total_compute_ratio,total_objects_n,validation_samples
8,0.05,1.043654,1.043654,1.009334,32,0.02,dense,0.0,128,1.023654,0.155556,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.889383,physical_dense_expansion_gate,0.5,-0.035164,0.064787,0.95417,40,80,-0.009123,none,90,19,0.989334,ok,0.155556,2048,90
8,0.05,1.056342,1.028217,1.028217,32,0.02,sparse,0.0,128,1.036342,0.311111,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.958277,initial_calibrated_regret,0.466667,-0.024018,0.025922,0.984199,40,80,0.008784,none,90,23,1.008217,ok,0.311111,2048,90
8,0.05,1.056342,1.028217,1.028217,32,0.02,sparse,1.0,128,1.036342,0.0,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.958277,always_expand_sparse,0.466667,0.02,0.06994,1.028217,40,80,0.008784,always,90,23,1.008217,ok,1.0,2048,90
8,0.05,1.056342,1.056342,1.028217,32,0.02,dense,1.0,128,1.036342,0.0,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.958277,always_expand_dense,0.444444,0.048125,0.098065,1.056342,40,80,0.008784,always,90,23,1.008217,ok,1.0,2048,90
8,0.05,1.056342,1.028217,1.028217,32,0.02,sparse,0.0,128,1.036342,0.311111,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.958277,structured_expansion_gate,0.466667,-0.024018,0.025922,0.984199,40,80,0.008784,none,90,23,1.008217,ok,0.311111,2048,90
8,0.05,1.056342,1.028217,1.028217,32,0.02,sparse,0.0,128,1.036342,0.311111,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.958277,physical_expansion_gate,0.466667,-0.024018,0.025922,0.984199,40,80,0.008784,none,90,23,1.008217,ok,0.311111,2048,90
8,0.05,1.056342,1.056342,1.028217,32,0.02,dense,0.0,128,1.036342,0.311111,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.958277,structured_dense_expansion_gate,0.466667,-0.024018,0.025922,0.984199,40,80,0.008784,none,90,23,1.008217,ok,0.311111,2048,90
8,0.05,1.056342,1.056342,1.028217,32,0.02,dense,0.0,128,1.036342,0.311111,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.958277,physical_dense_expansion_gate,0.466667,-0.024018,0.025922,0.984199,40,80,0.008784,none,90,23,1.008217,ok,0.311111,2048,90
16,0.05,1.094209,1.006981,1.006981,32,0.02,sparse,0.0,128,1.07631,0.233333,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.897324,initial_calibrated_regret,0.466667,-0.043099,0.045052,0.942375,40,80,0.014345,none,90,11,0.985474,ok,0.233333,2048,90
16,0.05,1.094209,1.006981,1.006981,32,0.02,sparse,1.0,128,1.07631,0.0,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.897324,always_expand_sparse,0.488889,0.021507,0.109657,1.006981,40,80,0.014345,always,90,11,0.985474,ok,1.0,2048,90
16,0.05,1.094209,1.094209,1.006981,32,0.02,dense,1.0,128,1.07631,0.0,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.901051,always_expand_dense,0.377778,0.108735,0.193158,1.094209,40,80,0.014345,always,90,11,0.985474,ok,1.0,2048,90
16,0.05,1.094209,1.006981,1.006981,32,0.02,sparse,0.0,128,1.07631,0.233333,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.897324,structured_expansion_gate,0.466667,-0.043099,0.045052,0.942375,40,80,0.014345,none,90,11,0.985474,ok,0.233333,2048,90
16,0.05,1.094209,1.006981,1.006981,32,0.02,sparse,0.0,128,1.07631,0.233333,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.897324,physical_expansion_gate,0.466667,-0.043099,0.045052,0.942375,40,80,0.014345,none,90,11,0.985474,ok,0.233333,2048,90
16,0.05,1.094209,1.094209,1.006981,32,0.02,dense,0.0,128,1.07631,0.233333,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.901051,structured_dense_expansion_gate,0.466667,-0.043099,0.041324,0.942375,40,80,0.014345,none,90,11,0.985474,ok,0.233333,2048,90
16,0.05,1.094209,1.094209,1.006981,32,0.02,dense,0.0,128,1.07631,0.233333,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.901051,physical_dense_expansion_gate,0.466667,-0.043099,0.041324,0.942375,40,80,0.014345,none,90,11,0.985474,ok,0.233333,2048,90
