mode,total_n,k_ref,true_relation_confidence,missing_rate,false_positive_rate,min_relation_confidence,selected_k,updated_k,escalation_required,recall,precision,f1,false_updates,missed_updates,touch_ratio
hybrid_escalation_region,2048,4,0.95,0.0,0.25,0.3,4,4,1,1.0,1.0,1.0,0,0,0.00438596
sparse_confident_relations,2048,4,0.95,0.5,0.0,0.3,4,1,0,0.25,1.0,0.4,0,3,0.00244141
hybrid_escalation_region,2048,4,0.95,0.5,0.0,0.3,4,1,0,0.25,1.0,0.4,0,3,0.00244141
sparse_confident_relations,2048,4,0.95,0.5,0.25,0.3,4,3,1,0.75,1.0,0.857143,0,1,0.00390054
hybrid_escalation_region,2048,4,0.95,0.5,0.25,0.3,4,4,1,1.0,1.0,1.0,0,0,0.00390054
sparse_confident_relations,2048,4,0.2,0.0,0.0,0.3,4,1,1,0.25,1.0,0.4,0,3,0.00390054
hybrid_escalation_region,2048,4,0.2,0.0,0.0,0.3,4,4,1,1.0,1.0,1.0,0,0,0.00390054
sparse_confident_relations,2048,4,0.2,0.0,0.25,0.3,4,1,1,0.25,1.0,0.4,0,3,0.00438596
hybrid_escalation_region,2048,4,0.2,0.0,0.25,0.3,4,4,1,1.0,1.0,1.0,0,0,0.00438596
sparse_confident_relations,2048,4,0.2,0.5,0.0,0.3,4,1,1,0.25,1.0,0.4,0,3,0.00292826
hybrid_escalation_region,2048,4,0.2,0.5,0.0,0.3,4,4,1,1.0,1.0,1.0,0,0,0.00292826
sparse_confident_relations,2048,4,0.2,0.5,0.25,0.3,4,1,1,0.25,1.0,0.4,0,3,0.00341463
hybrid_escalation_region,2048,4,0.2,0.5,0.25,0.3,4,4,1,1.0,1.0,1.0,0,0,0.00341463
sparse_confident_relations,2048,8,0.95,0.0,0.0,0.3,8,8,0,1.0,1.0,1.0,0,0,0.00778589
hybrid_escalation_region,2048,8,0.95,0.0,0.0,0.3,8,8,0,1.0,1.0,1.0,0,0,0.00778589
sparse_confident_relations,2048,8,0.95,0.0,0.25,0.3,8,8,1,1.0,1.0,1.0,0,0,0.00875061
hybrid_escalation_region,2048,8,0.95,0.0,0.25,0.3,8,8,1,1.0,1.0,1.0,0,0,0.00875061
sparse_confident_relations,2048,8,0.95,0.5,0.0,0.3,8,6,0,0.75,1.0,0.857143,0,2,0.00681929
hybrid_escalation_region,2048,8,0.95,0.5,0.0,0.3,8,6,0,0.75,1.0,0.857143,0,2,0.00681929
sparse_confident_relations,2048,8,0.95,0.5,0.25,0.3,8,4,1,0.5,1.0,0.666667,0,4,0.00681929
hybrid_escalation_region,2048,8,0.95,0.5,0.25,0.3,8,8,1,1.0,1.0,1.0,0,0,0.00681929
sparse_confident_relations,2048,8,0.2,0.0,0.0,0.3,8,1,1,0.125,1.0,0.222222,0,7,0.00778589
hybrid_escalation_region,2048,8,0.2,0.0,0.0,0.3,8,8,1,1.0,1.0,1.0,0,0,0.00778589
sparse_confident_relations,2048,8,0.2,0.0,0.25,0.3,8,1,1,0.125,1.0,0.222222,0,7,0.00875061
hybrid_escalation_region,2048,8,0.2,0.0,0.25,0.3,8,8,1,1.0,1.0,1.0,0,0,0.00875061
sparse_confident_relations,2048,8,0.2,0.5,0.0,0.3,8,1,1,0.125,1.0,0.222222,0,7,0.00488043
hybrid_escalation_region,2048,8,0.2,0.5,0.0,0.3,8,8,1,1.0,1.0,1.0,0,0,0.00488043
sparse_confident_relations,2048,8,0.2,0.5,0.25,0.3,8,1,1,0.125,1.0,0.222222,0,7,0.00633528
hybrid_escalation_region,2048,8,0.2,0.5,0.25,0.3,8,8,1,1.0,1.0,1.0,0,0,0.00633528
sparse_confident_relations,2048,16,0.95,0.0,0.0,0.3,16,16,0,1.0,1.0,1.0,0,0,0.01551139
hybrid_escalation_region,2048,16,0.95,0.0,0.0,0.3,16,16,0,1.0,1.0,1.0,0,0,0.01551139
sparse_confident_relations,2048,16,0.95,0.0,0.25,0.3,16,16,1,1.0,1.0,1.0,0,0,0.01741655
hybrid_escalation_region,2048,16,0.95,0.0,0.25,0.3,16,16,1,1.0,1.0,1.0,0,0,0.01741655
sparse_confident_relations,2048,16,0.95,0.5,0.0,0.3,16,9,0,0.5625,1.0,0.72,0,7,0.01215953
hybrid_escalation_region,2048,16,0.95,0.5,0.0,0.3,16,9,0,0.5625,1.0,0.72,0,7,0.01215953
sparse_confident_relations,2048,16,0.95,0.5,0.25,0.3,16,9,1,0.5625,1.0,0.72,0,7,0.01407767
hybrid_escalation_region,2048,16,0.95,0.5,0.25,0.3,16,16,1,1.0,1.0,1.0,0,0,0.01407767
sparse_confident_relations,2048,16,0.2,0.0,0.0,0.3,16,1,1,0.0625,1.0,0.117647,0,15,0.01551139
hybrid_escalation_region,2048,16,0.2,0.0,0.0,0.3,16,16,1,1.0,1.0,1.0,0,0,0.01551139
sparse_confident_relations,2048,16,0.2,0.0,0.25,0.3,16,1,1,0.0625,1.0,0.117647,0,15,0.01741655
hybrid_escalation_region,2048,16,0.2,0.0,0.25,0.3,16,16,1,1.0,1.0,1.0,0,0,0.01741655
sparse_confident_relations,2048,16,0.2,0.5,0.0,0.3,16,1,1,0.0625,1.0,0.117647,0,15,0.01071603
hybrid_escalation_region,2048,16,0.2,0.5,0.0,0.3,16,16,1,1.0,1.0,1.0,0,0,0.01071603
sparse_confident_relations,2048,16,0.2,0.5,0.25,0.3,16,1,1,0.0625,1.0,0.117647,0,15,0.01359883
hybrid_escalation_region,2048,16,0.2,0.5,0.25,0.3,16,16,1,1.0,1.0,1.0,0,0,0.01359883
sparse_confident_relations,8192,4,0.95,0.0,0.0,0.3,4,4,0,1.0,1.0,1.0,0,0,0.00097621
hybrid_escalation_region,8192,4,0.95,0.0,0.0,0.3,4,4,0,1.0,1.0,1.0,0,0,0.00097621
sparse_confident_relations,8192,4,0.95,0.0,0.25,0.3,4,4,1,1.0,1.0,1.0,0,0,0.0010981
hybrid_escalation_region,8192,4,0.95,0.0,0.25,0.3,4,4,1,1.0,1.0,1.0,0,0,0.0010981
sparse_confident_relations,8192,4,0.95,0.5,0.0,0.3,4,2,0,0.5,1.0,0.666667,0,2,0.00073233
hybrid_escalation_region,8192,4,0.95,0.5,0.0,0.3,4,2,0,0.5,1.0,0.666667,0,2,0.00073233
sparse_confident_relations,8192,4,0.95,0.5,0.25,0.3,4,2,1,0.5,1.0,0.666667,0,2,0.00085428
hybrid_escalation_region,8192,4,0.95,0.5,0.25,0.3,4,4,1,1.0,1.0,1.0,0,0,0.00085428
sparse_confident_relations,8192,4,0.2,0.0,0.0,0.3,4,1,1,0.25,1.0,0.4,0,3,0.00097621
hybrid_escalation_region,8192,4,0.2,0.0,0.0,0.3,4,4,1,1.0,1.0,1.0,0,0,0.00097621
sparse_confident_relations,8192,4,0.2,0.0,0.25,0.3,4,1,1,0.25,1.0,0.4,0,3,0.0010981
hybrid_escalation_region,8192,4,0.2,0.0,0.25,0.3,4,4,1,1.0,1.0,1.0,0,0,0.0010981
sparse_confident_relations,8192,4,0.2,0.5,0.0,0.3,4,1,1,0.25,1.0,0.4,0,3,0.00073233
hybrid_escalation_region,8192,4,0.2,0.5,0.0,0.3,4,4,1,1.0,1.0,1.0,0,0,0.00073233
sparse_confident_relations,8192,4,0.2,0.5,0.25,0.3,4,1,1,0.25,1.0,0.4,0,3,0.00085428
hybrid_escalation_region,8192,4,0.2,0.5,0.25,0.3,4,4,1,1.0,1.0,1.0,0,0,0.00085428
sparse_confident_relations,8192,8,0.95,0.0,0.0,0.3,8,8,0,1.0,1.0,1.0,0,0,0.00195146
hybrid_escalation_region,8192,8,0.95,0.0,0.0,0.3,8,8,0,1.0,1.0,1.0,0,0,0.00195146
sparse_confident_relations,8192,8,0.95,0.0,0.25,0.3,8,8,1,1.0,1.0,1.0,0,0,0.00219485
hybrid_escalation_region,8192,8,0.95,0.0,0.25,0.3,8,8,1,1.0,1.0,1.0,0,0,0.00219485
sparse_confident_relations,8192,8,0.95,0.5,0.0,0.3,8,5,0,0.625,1.0,0.769231,0,3,0.00158614
hybrid_escalation_region,8192,8,0.95,0.5,0.0,0.3,8,5,0,0.625,1.0,0.769231,0,3,0.00158614
sparse_confident_relations,8192,8,0.95,0.5,0.25,0.3,8,4,1,0.5,1.0,0.666667,0,4,0.00170794
hybrid_escalation_region,8192,8,0.95,0.5,0.25,0.3,8,8,1,1.0,1.0,1.0,0,0,0.00170794
sparse_confident_relations,8192,8,0.2,0.0,0.0,0.3,8,1,1,0.125,1.0,0.222222,0,7,0.00195146
hybrid_escalation_region,8192,8,0.2,0.0,0.0,0.3,8,8,1,1.0,1.0,1.0,0,0,0.00195146
sparse_confident_relations,8192,8,0.2,0.0,0.25,0.3,8,1,1,0.125,1.0,0.222222,0,7,0.00219485
hybrid_escalation_region,8192,8,0.2,0.0,0.25,0.3,8,8,1,1.0,1.0,1.0,0,0,0.00219485
sparse_confident_relations,8192,8,0.2,0.5,0.0,0.3,8,1,1,0.125,1.0,0.222222,0,7,0.00146431
hybrid_escalation_region,8192,8,0.2,0.5,0.0,0.3,8,8,1,1.0,1.0,1.0,0,0,0.00146431
sparse_confident_relations,8192,8,0.2,0.5,0.25,0.3,8,1,1,0.125,1.0,0.222222,0,7,0.00158614
hybrid_escalation_region,8192,8,0.2,0.5,0.25,0.3,8,8,1,1.0,1.0,1.0,0,0,0.00158614
sparse_confident_relations,8192,16,0.95,0.0,0.0,0.3,16,16,0,1.0,1.0,1.0,0,0,0.00389911
hybrid_escalation_region,8192,16,0.95,0.0,0.0,0.3,16,16,0,1.0,1.0,1.0,0,0,0.00389911
sparse_confident_relations,8192,16,0.95,0.0,0.25,0.3,16,16,1,1.0,1.0,1.0,0,0,0.00438436
hybrid_escalation_region,8192,16,0.95,0.0,0.25,0.3,16,16,1,1.0,1.0,1.0,0,0,0.00438436
sparse_confident_relations,8192,16,0.95,0.5,0.0,0.3,16,8,0,0.5,1.0,0.666667,0,8,0.00292719
hybrid_escalation_region,8192,16,0.95,0.5,0.0,0.3,16,8,0,0.5,1.0,0.666667,0,8,0.00292719
sparse_confident_relations,8192,16,0.95,0.5,0.25,0.3,16,10,1,0.625,1.0,0.769231,0,6,0.00365631
hybrid_escalation_region,8192,16,0.95,0.5,0.25,0.3,16,16,1,1.0,1.0,1.0,0,0,0.00365631
sparse_confident_relations,8192,16,0.2,0.0,0.0,0.3,16,1,1,0.0625,1.0,0.117647,0,15,0.00389911
hybrid_escalation_region,8192,16,0.2,0.0,0.0,0.3,16,16,1,1.0,1.0,1.0,0,0,0.00389911
sparse_confident_relations,8192,16,0.2,0.0,0.25,0.3,16,1,1,0.0625,1.0,0.117647,0,15,0.00438436
hybrid_escalation_region,8192,16,0.2,0.0,0.25,0.3,16,16,1,1.0,1.0,1.0,0,0,0.00438436
sparse_confident_relations,8192,16,0.2,0.5,0.0,0.3,16,1,1,0.0625,1.0,0.117647,0,15,0.00292719
hybrid_escalation_region,8192,16,0.2,0.5,0.0,0.3,16,16,1,1.0,1.0,1.0,0,0,0.00292719
sparse_confident_relations,8192,16,0.2,0.5,0.25,0.3,16,1,1,0.0625,1.0,0.117647,0,15,0.00353486
hybrid_escalation_region,8192,16,0.2,0.5,0.25,0.3,16,16,1,1.0,1.0,1.0,0,0,0.00353486
