accuracy,budget,causal_k,excess_over_oracle,interaction_mode,loss,oracle_accuracy,oracle_loss,oracle_match_rate,policy,propagation_steps,reranker_steps,retriever_steps,safe_margin,safe_uses_reranker,seed,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,static_mode_from_validation,test_samples,total_objects_n,validation_reranker_loss,validation_samples,validation_static_loss
0.488889,4,16,0.034343,pairwise,0.977451,0.522222,0.943108,0.4,deployed_reranker,40,600,400,0.005,,11,0.633333,0.0,0.0,0.366667,learned,90,2048,0.92088,180,0.924173
0.488889,4,16,0.034343,pairwise,0.977451,0.522222,0.943108,0.4,validation_safe_reranker,40,600,400,0.005,1,11,0.633333,0.0,0.0,0.366667,learned,90,2048,0.92088,180,0.924173
0.5,4,16,0.028712,pairwise,0.971821,0.522222,0.943108,0.022222,margin_safe_reranker,40,600,400,0.005,0,11,0.0,0.0,1.0,0.0,learned,90,2048,0.92088,180,0.924173
0.522222,4,16,0.0,pairwise,0.943108,0.522222,0.943108,1.0,oracle_over_retrievers,40,600,400,0.005,,11,0.377778,0.233333,0.022222,0.366667,learned,90,2048,0.92088,180,0.924173
0.5,4,16,0.066572,pairwise,0.971161,0.544444,0.904589,0.4,static_indexed,40,600,400,0.005,,13,1.0,0.0,0.0,0.0,proximity,90,2048,0.928293,180,0.927068
0.5,4,16,0.044029,pairwise,0.948618,0.544444,0.904589,0.411111,static_proximity,40,600,400,0.005,,13,0.0,0.0,0.0,1.0,proximity,90,2048,0.928293,180,0.927068
0.522222,4,16,0.041232,pairwise,0.945821,0.544444,0.904589,0.155556,static_interaction,40,600,400,0.005,,13,0.0,1.0,0.0,0.0,proximity,90,2048,0.928293,180,0.927068
0.522222,4,16,0.041239,pairwise,0.945828,0.544444,0.904589,0.033333,static_learned,40,600,400,0.005,,13,0.0,0.0,1.0,0.0,proximity,90,2048,0.928293,180,0.927068
0.5,4,16,0.044029,pairwise,0.948618,0.544444,0.904589,0.411111,static_validation_choice,40,600,400,0.005,,13,0.0,0.0,0.0,1.0,proximity,90,2048,0.928293,180,0.927068
0.511111,4,16,0.048135,pairwise,0.952725,0.544444,0.904589,0.555556,deployed_reranker,40,600,400,0.005,,13,0.544444,0.0,0.0,0.455556,proximity,90,2048,0.928293,180,0.927068
0.5,4,16,0.044029,pairwise,0.948618,0.544444,0.904589,0.411111,validation_safe_reranker,40,600,400,0.005,0,13,0.0,0.0,0.0,1.0,proximity,90,2048,0.928293,180,0.927068
0.5,4,16,0.044029,pairwise,0.948618,0.544444,0.904589,0.411111,margin_safe_reranker,40,600,400,0.005,0,13,0.0,0.0,0.0,1.0,proximity,90,2048,0.928293,180,0.927068
0.544444,4,16,0.0,pairwise,0.904589,0.544444,0.904589,1.0,oracle_over_retrievers,40,600,400,0.005,,13,0.4,0.155556,0.033333,0.411111,proximity,90,2048,0.928293,180,0.927068
0.466667,4,16,0.034451,pairwise,0.939784,0.522222,0.905333,0.355556,static_indexed,40,600,400,0.005,,17,1.0,0.0,0.0,0.0,learned,90,2048,0.943567,180,0.943245
0.511111,4,16,0.02595,pairwise,0.931283,0.522222,0.905333,0.377778,static_proximity,40,600,400,0.005,,17,0.0,0.0,0.0,1.0,learned,90,2048,0.943567,180,0.943245
0.5,4,16,0.026418,pairwise,0.931751,0.522222,0.905333,0.244444,static_interaction,40,600,400,0.005,,17,0.0,1.0,0.0,0.0,learned,90,2048,0.943567,180,0.943245
0.5,4,16,0.026644,pairwise,0.931978,0.522222,0.905333,0.022222,static_learned,40,600,400,0.005,,17,0.0,0.0,1.0,0.0,learned,90,2048,0.943567,180,0.943245
0.5,4,16,0.026644,pairwise,0.931978,0.522222,0.905333,0.022222,static_validation_choice,40,600,400,0.005,,17,0.0,0.0,1.0,0.0,learned,90,2048,0.943567,180,0.943245
0.511111,4,16,0.024684,pairwise,0.930017,0.522222,0.905333,0.355556,deployed_reranker,40,600,400,0.005,,17,0.122222,0.533333,0.0,0.344444,learned,90,2048,0.943567,180,0.943245
0.5,4,16,0.026644,pairwise,0.931978,0.522222,0.905333,0.022222,validation_safe_reranker,40,600,400,0.005,0,17,0.0,0.0,1.0,0.0,learned,90,2048,0.943567,180,0.943245
0.5,4,16,0.026644,pairwise,0.931978,0.522222,0.905333,0.022222,margin_safe_reranker,40,600,400,0.005,0,17,0.0,0.0,1.0,0.0,learned,90,2048,0.943567,180,0.943245
0.522222,4,16,0.0,pairwise,0.905333,0.522222,0.905333,1.0,oracle_over_retrievers,40,600,400,0.005,,17,0.355556,0.244444,0.022222,0.377778,learned,90,2048,0.943567,180,0.943245
0.488889,4,16,0.043594,pairwise,0.979695,0.588889,0.9361,0.444444,static_indexed,40,600,400,0.005,,19,1.0,0.0,0.0,0.0,proximity,90,2048,0.886153,180,0.878886
0.5,4,16,0.034919,pairwise,0.971019,0.588889,0.9361,0.388889,static_proximity,40,600,400,0.005,,19,0.0,0.0,0.0,1.0,proximity,90,2048,0.886153,180,0.878886
0.488889,4,16,0.036683,pairwise,0.972783,0.588889,0.9361,0.144444,static_interaction,40,600,400,0.005,,19,0.0,1.0,0.0,0.0,proximity,90,2048,0.886153,180,0.878886
0.488889,4,16,0.036851,pairwise,0.972951,0.588889,0.9361,0.022222,static_learned,40,600,400,0.005,,19,0.0,0.0,1.0,0.0,proximity,90,2048,0.886153,180,0.878886
0.5,4,16,0.034919,pairwise,0.971019,0.588889,0.9361,0.388889,static_validation_choice,40,600,400,0.005,,19,0.0,0.0,0.0,1.0,proximity,90,2048,0.886153,180,0.878886
0.533333,4,16,0.032477,pairwise,0.968578,0.588889,0.9361,0.488889,deployed_reranker,40,600,400,0.005,,19,0.733333,0.0,0.0,0.266667,proximity,90,2048,0.886153,180,0.878886
0.5,4,16,0.034919,pairwise,0.971019,0.588889,0.9361,0.388889,validation_safe_reranker,40,600,400,0.005,0,19,0.0,0.0,0.0,1.0,proximity,90,2048,0.886153,180,0.878886
0.5,4,16,0.034919,pairwise,0.971019,0.588889,0.9361,0.388889,margin_safe_reranker,40,600,400,0.005,0,19,0.0,0.0,0.0,1.0,proximity,90,2048,0.886153,180,0.878886
0.588889,4,16,0.0,pairwise,0.9361,0.588889,0.9361,1.0,oracle_over_retrievers,40,600,400,0.005,,19,0.444444,0.144444,0.022222,0.388889,proximity,90,2048,0.886153,180,0.878886
0.522222,4,16,0.082766,pairwise,0.969598,0.655556,0.886832,0.377778,static_indexed,40,600,400,0.005,,23,1.0,0.0,0.0,0.0,indexed,90,2048,0.891564,180,0.891254
0.488889,4,16,0.127912,pairwise,1.014745,0.655556,0.886832,0.388889,static_proximity,40,600,400,0.005,,23,0.0,0.0,0.0,1.0,indexed,90,2048,0.891564,180,0.891254
0.511111,4,16,0.121759,pairwise,1.008591,0.655556,0.886832,0.188889,static_interaction,40,600,400,0.005,,23,0.0,1.0,0.0,0.0,indexed,90,2048,0.891564,180,0.891254
0.511111,4,16,0.121504,pairwise,1.008336,0.655556,0.886832,0.044444,static_learned,40,600,400,0.005,,23,0.0,0.0,1.0,0.0,indexed,90,2048,0.891564,180,0.891254
0.522222,4,16,0.082766,pairwise,0.969598,0.655556,0.886832,0.377778,static_validation_choice,40,600,400,0.005,,23,1.0,0.0,0.0,0.0,indexed,90,2048,0.891564,180,0.891254
