causal_k,compute_cost,dense_correct,dense_loss,dense_regret,event_norm,hidden_dim,interaction_density,interaction_mode,label,mean_pair_distance,min_pair_distance,predicted_regret,regret_abs,sample_index,seed,selected_fraction,selector_confidence,sparse_confidence,sparse_correct,sparse_delta_norm,sparse_dense_disagreement,sparse_entropy,sparse_loss,sparse_margin,sparse_uncertainty_mean,target_x,target_y,total_objects_n,working_set_size
8,0.05,0,0.939386,0.102801,1.699773,128,0.168953,pairwise,2,0.222508,0.017028,0.123587,0.123587,89,11,0.25,0.779748,0.433188,1,0.162928,1,1.076062,0.836585,0.132827,0.538551,0.517028,0.0,2048,32
8,0.05,1,0.9204,0.077386,1.616034,128,0.105948,pairwise,0,0.272262,0.019668,0.023356,0.023356,0,13,0.25,0.637023,0.430411,1,0.182297,0,1.049518,0.843014,0.055944,0.475772,0.638325,0.0,2048,32
8,0.05,1,0.86252,-0.147038,1.71336,128,0.221377,pairwise,1,0.230707,0.027843,0.072209,0.072209,1,13,0.25,0.612309,0.370081,0,0.186016,1,1.087838,1.009557,0.005701,0.460816,0.972157,0.0,2048,32
8,0.05,0,0.956835,-0.013859,1.613426,128,0.181113,pairwise,2,0.227267,0.013891,0.018754,0.018754,2,13,0.25,0.645276,0.426877,0,0.186318,0,1.049435,0.970694,0.048057,0.476723,0.513891,0.0,2048,32
8,0.05,0,1.801627,0.365143,1.741369,128,0.222484,pairwise,0,0.191153,0.000185,0.084211,0.084211,3,13,0.25,0.657189,0.393107,0,0.240542,0,1.076452,1.436485,0.023977,0.462738,0.633546,0.0,2048,32
8,0.05,1,0.664291,-0.191473,1.784645,128,0.181874,pairwise,1,0.209654,0.050168,0.099879,0.099879,4,13,0.25,0.665221,0.424958,1,0.280061,0,1.063997,0.855764,0.069028,0.459842,0.566839,0.0,2048,32
8,0.05,0,1.063082,0.02007,1.801222,128,0.124313,pairwise,2,0.216023,0.062101,0.106469,0.106469,5,13,0.25,0.646535,0.430685,0,0.271153,0,1.061853,1.043012,0.078294,0.456749,0.724473,0.0,2048,32
8,0.05,1,0.624418,0.041498,1.581466,128,0.100867,pairwise,0,0.236326,0.088335,-0.009621,0.009621,6,13,0.25,0.610483,0.558265,1,0.19384,0,0.958573,0.582921,0.251925,0.478228,0.797884,0.0,2048,32
8,0.05,0,1.061029,-0.148277,1.672991,128,0.211557,pairwise,1,0.189655,0.03269,0.053821,0.053821,7,13,0.25,0.61033,0.381757,0,0.163791,0,1.09308,1.209305,0.061918,0.464662,0.917271,0.0,2048,32
8,0.05,0,1.192854,0.095566,1.885356,128,0.202161,pairwise,2,0.186385,0.013025,0.125504,0.125504,8,13,0.25,0.645058,0.469736,0,0.334933,0,1.040889,1.097288,0.135961,0.450088,0.746023,0.0,2048,32
8,0.05,1,0.364302,-0.143669,1.550224,128,0.11636,pairwise,0,0.26697,0.042542,-0.059526,0.059526,9,13,0.25,0.629307,0.601715,1,0.254203,0,0.91046,0.507972,0.317081,0.488763,0.646352,0.0,2048,32
8,0.05,1,0.779771,-0.177711,1.748512,128,0.237958,pairwise,1,0.196867,0.001271,0.085413,0.085413,10,13,0.25,0.659278,0.383858,1,0.244997,0,1.079919,0.957483,0.012536,0.463811,0.575531,0.0,2048,32
8,0.05,0,1.289555,0.156729,1.942994,128,0.124027,pairwise,2,0.292826,0.061722,0.139679,0.139679,11,13,0.25,0.630161,0.48966,0,0.371865,0,1.0289,1.132826,0.167538,0.444605,0.938278,0.0,2048,32
8,0.05,1,0.313782,-0.178748,1.545165,128,0.1604,pairwise,0,0.262085,0.014965,-0.076002,0.076002,12,13,0.25,0.630614,0.611078,1,0.270673,0,0.899974,0.492531,0.332225,0.491037,0.485035,0.0,2048,32
8,0.05,1,0.504837,-0.256635,1.868223,128,0.152127,pairwise,1,0.246868,0.023132,0.123175,0.123175,13,13,0.25,0.644789,0.466978,1,0.325518,0,1.043035,0.761472,0.132759,0.45136,0.751517,0.0,2048,32
8,0.05,0,1.15569,0.072702,1.871183,128,0.233331,pairwise,2,0.196545,0.016306,0.120911,0.120911,14,13,0.25,0.669036,0.463288,0,0.345812,0,1.043876,1.082988,0.124705,0.453871,0.516306,0.0,2048,32
8,0.05,0,2.739916,1.05586,1.949868,128,0.115387,pairwise,0,0.266135,0.038012,0.140897,0.140897,15,13,0.25,0.658945,0.490457,0,0.399057,0,1.027146,1.684056,0.166534,0.447735,0.703673,0.0,2048,32
8,0.05,1,0.561924,-0.243333,1.845216,128,0.214365,pairwise,1,0.206507,0.026803,0.114915,0.114915,16,13,0.25,0.672783,0.446973,1,0.326021,0,1.052824,0.805257,0.100262,0.45694,0.468392,0.0,2048,32
8,0.05,0,1.127532,0.048379,1.826382,128,0.133901,pairwise,2,0.270122,0.011419,0.113099,0.113099,17,13,0.25,0.626415,0.451285,0,0.278747,0,1.052932,1.079154,0.111402,0.452258,0.888473,0.0,2048,32
8,0.05,0,1.580782,0.241708,1.707568,128,0.145165,pairwise,0,0.229147,0.051328,0.073134,0.073134,18,13,0.25,0.623995,0.374965,0,0.190117,1,1.086613,1.339074,0.012018,0.462213,0.852382,0.0,2048,32
8,0.05,1,0.507889,-0.255057,1.864985,128,0.180261,pairwise,1,0.198492,0.0133,0.121526,0.121526,19,13,0.25,0.628021,0.466291,1,0.30946,0,1.043849,0.762946,0.132515,0.449,0.968346,0.0,2048,32
8,0.05,0,1.240474,0.127064,1.918617,128,0.135047,pairwise,2,0.240659,0.012422,0.134444,0.134444,20,13,0.25,0.641399,0.479341,0,0.356397,0,1.03516,1.11341,0.150904,0.447991,0.811025,0.0,2048,32
8,0.05,0,1.247142,0.139322,1.660363,128,0.229111,pairwise,0,0.196336,0.014393,0.047233,0.047233,21,13,0.25,0.651506,0.396255,0,0.192845,0,1.087271,1.10782,0.065976,0.471335,0.557483,0.0,2048,32
