row_type,model,seed,train_mechanism,eval_mechanism,temperature,calibration_mode,mechanism_prior_strength,mechanism_prior_policy,mechanism_prior_selection_metric,mechanism_prior_selection_score,calibration_bias,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,route_regret_mean,route_regret_negative_ratio,route_regret_loss_weight,route_regret_compute_cost,route_regret_threshold,route_regret_threshold_policy,route_regret_selection_metric,route_regret_selection_score,seed_count
seed,wpu-cws-indexed-mechanism-conditioned,11,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.666667,0.666667,0.11194,1.013859,0.608421,0.277543,4.0,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,11,nominal,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.0,0.583333,0.264562,1.144426,0.700629,0.383289,4.416667,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,11,nominal,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.416667,0.833333,0.048861,1.029359,0.622138,0.051623,5.0,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,13,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.583333,0.5,0.053367,1.06845,0.646814,0.231393,4.5,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,13,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.5,0.333333,0.078674,1.075675,0.650798,0.142649,4.5,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,13,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.25,0.75,0.072246,1.106256,0.672091,0.101824,4.5,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,13,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.666667,0.916667,0.064394,1.076638,0.651776,0.320483,4.916667,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,13,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.333333,0.583333,0.092381,1.087014,0.659395,0.014907,4.083333,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,13,nominal,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.333333,0.5,0.242301,1.133869,0.689977,0.02332,4.5,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,13,nominal,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.25,0.75,0.08226,1.111877,0.675461,0.095582,4.916667,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,17,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.916667,0.583333,0.072003,1.009443,0.605864,0.543419,4.583333,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,17,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.583333,0.416667,0.122689,1.09192,0.661286,0.224258,4.583333,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,17,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.5,0.666667,0.089881,1.076098,0.650563,0.129947,4.583333,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,17,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.916667,0.916667,0.081068,1.040887,0.627631,0.555305,4.916667,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,17,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.583333,0.5,0.153356,1.06264,0.640325,0.204518,4.083333,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,17,nominal,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.083333,0.5,0.260093,1.164203,0.709434,0.27321,4.583333,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,17,nominal,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.25,0.75,0.097329,1.093014,0.663244,0.107789,4.916667,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,19,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.5,0.666667,0.109482,1.019536,0.617961,0.114097,4.666667,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,19,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.333333,0.5,0.183244,1.067952,0.648363,0.046396,4.666667,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,19,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.5,0.583333,0.162585,1.030126,0.625745,0.18531,4.666667,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,19,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.666667,0.833333,0.113848,1.004402,0.608011,0.275389,4.833333,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,19,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.166667,0.5,0.188774,1.164671,0.707925,0.210454,4.083333,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
