accuracy,base_oracle_loss,base_oracle_match_rate,budget,causal_k,excess_over_base_oracle,excess_over_generated_oracle,generated_candidates,generated_oracle_accuracy,generated_oracle_loss,generated_oracle_match_rate,interaction_mode,loss,policy,propagation_steps,reranker_steps,retriever_steps,safe_margin,safe_uses_reranker,seed,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_4_rate,selected_generated_5_rate,selected_generated_6_rate,selected_generated_7_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,static_generated_mode_from_validation,static_mode_from_validation,test_samples,total_objects_n,validation_reranker_loss,validation_samples,validation_static_loss
0.544444,0.960229,0.533333,4,8,0.037345,0.038401,1,0.6,0.959173,0.533333,pairwise,0.997574,static_generated_validation_choice,40,600,400,0.005,,23,0.0,,,,,,,,0.0,1.0,0.0,0.0,0.0,indexed,indexed,90,2048,0.967243,180,1.00984
0.555556,0.960229,0.511111,4,8,0.02382,0.024876,1,0.6,0.959173,0.522222,pairwise,0.984049,generated_set_reranker,40,600,400,0.005,,23,0.144444,,,,,,,,0.144444,0.411111,0.077778,0.022222,0.344444,indexed,indexed,90,2048,0.967243,180,1.00984
0.555556,0.960229,0.511111,4,8,0.02382,0.024876,1,0.6,0.959173,0.522222,pairwise,0.984049,generated_margin_safe_reranker,40,600,400,0.005,1,23,0.144444,,,,,,,,0.144444,0.411111,0.077778,0.022222,0.344444,indexed,indexed,90,2048,0.967243,180,1.00984
0.6,0.960229,1.0,4,8,0.0,0.001056,1,0.6,0.959173,0.922222,pairwise,0.960229,base_oracle,40,600,400,0.005,,23,0.0,,,,,,,,0.0,0.533333,0.177778,0.033333,0.255556,indexed,indexed,90,2048,0.967243,180,1.00984
0.6,0.960229,0.922222,4,8,-0.001056,0.0,1,0.6,0.959173,1.0,pairwise,0.959173,generated_oracle,40,600,400,0.005,,23,0.077778,,,,,,,,0.077778,0.533333,0.133333,0.022222,0.233333,indexed,indexed,90,2048,0.967243,180,1.00984
0.477778,0.943108,0.377778,4,16,0.046674,0.047212,1,0.522222,0.942571,0.366667,pairwise,0.989783,static_indexed,40,600,400,0.005,,11,0.0,,,,,,,,0.0,1.0,0.0,0.0,0.0,learned,learned,90,2048,0.89294,180,0.924173
0.488889,0.943108,0.366667,4,16,0.034828,0.035365,1,0.522222,0.942571,0.333333,pairwise,0.977936,static_proximity,40,600,400,0.005,,11,0.0,,,,,,,,0.0,0.0,0.0,0.0,1.0,learned,learned,90,2048,0.89294,180,0.924173
0.5,0.943108,0.233333,4,16,0.028437,0.028975,1,0.522222,0.942571,0.211111,pairwise,0.971546,static_interaction,40,600,400,0.005,,11,0.0,,,,,,,,0.0,0.0,1.0,0.0,0.0,learned,learned,90,2048,0.89294,180,0.924173
0.5,0.943108,0.022222,4,16,0.028712,0.02925,1,0.522222,0.942571,0.022222,pairwise,0.971821,static_learned,40,600,400,0.005,,11,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,learned,learned,90,2048,0.89294,180,0.924173
0.5,0.943108,0.022222,4,16,0.028712,0.02925,1,0.522222,0.942571,0.022222,pairwise,0.971821,static_base_validation_choice,40,600,400,0.005,,11,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,learned,learned,90,2048,0.89294,180,0.924173
0.5,0.943108,0.022222,4,16,0.028712,0.02925,1,0.522222,0.942571,0.022222,pairwise,0.971821,static_generated_validation_choice,40,600,400,0.005,,11,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,learned,learned,90,2048,0.89294,180,0.924173
0.488889,0.943108,0.311111,4,16,0.041026,0.041563,1,0.522222,0.942571,0.3,pairwise,0.984134,generated_set_reranker,40,600,400,0.005,,11,0.188889,,,,,,,,0.188889,0.433333,0.111111,0.022222,0.244444,learned,learned,90,2048,0.89294,180,0.924173
0.488889,0.943108,0.311111,4,16,0.041026,0.041563,1,0.522222,0.942571,0.3,pairwise,0.984134,generated_margin_safe_reranker,40,600,400,0.005,1,11,0.188889,,,,,,,,0.188889,0.433333,0.111111,0.022222,0.244444,learned,learned,90,2048,0.89294,180,0.924173
0.522222,0.943108,1.0,4,16,0.0,0.000537,1,0.522222,0.942571,0.933333,pairwise,0.943108,base_oracle,40,600,400,0.005,,11,0.0,,,,,,,,0.0,0.377778,0.233333,0.022222,0.366667,learned,learned,90,2048,0.89294,180,0.924173
0.522222,0.943108,0.933333,4,16,-0.000537,0.0,1,0.522222,0.942571,1.0,pairwise,0.942571,generated_oracle,40,600,400,0.005,,11,0.066667,,,,,,,,0.066667,0.366667,0.211111,0.022222,0.333333,learned,learned,90,2048,0.89294,180,0.924173
0.5,0.904589,0.4,4,16,0.066572,0.068391,1,0.544444,0.90277,0.366667,pairwise,0.971161,static_indexed,40,600,400,0.005,,13,0.0,,,,,,,,0.0,1.0,0.0,0.0,0.0,proximity,proximity,90,2048,0.880635,180,0.927068
0.5,0.904589,0.411111,4,16,0.044029,0.045848,1,0.544444,0.90277,0.344444,pairwise,0.948618,static_proximity,40,600,400,0.005,,13,0.0,,,,,,,,0.0,0.0,0.0,0.0,1.0,proximity,proximity,90,2048,0.880635,180,0.927068
0.522222,0.904589,0.155556,4,16,0.041232,0.043051,1,0.544444,0.90277,0.111111,pairwise,0.945821,static_interaction,40,600,400,0.005,,13,0.0,,,,,,,,0.0,0.0,1.0,0.0,0.0,proximity,proximity,90,2048,0.880635,180,0.927068
0.522222,0.904589,0.033333,4,16,0.041239,0.043058,1,0.544444,0.90277,0.033333,pairwise,0.945828,static_learned,40,600,400,0.005,,13,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,proximity,proximity,90,2048,0.880635,180,0.927068
0.5,0.904589,0.411111,4,16,0.044029,0.045848,1,0.544444,0.90277,0.344444,pairwise,0.948618,static_base_validation_choice,40,600,400,0.005,,13,0.0,,,,,,,,0.0,0.0,0.0,0.0,1.0,proximity,proximity,90,2048,0.880635,180,0.927068
0.5,0.904589,0.411111,4,16,0.044029,0.045848,1,0.544444,0.90277,0.344444,pairwise,0.948618,static_generated_validation_choice,40,600,400,0.005,,13,0.0,,,,,,,,0.0,0.0,0.0,0.0,1.0,proximity,proximity,90,2048,0.880635,180,0.927068
