mode,shift,total_n,escape_rate,mean_selected_k,max_selected_k,mean_observation_budget,causal_recall,trajectory_mse,state_integrity,observation_hit_rate,objective,work_proxy,bytes_proxy
dense-state-copy,clean,8192,0.5,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,8192.0,294912.0
wpu-neighbor-only,clean,8192,0.75,24.0,24.0,0.0,0.332031,0.358134,0.737897,0.0,0.358134,24.0,864.0
wpu-fixed-observation,clean,8192,0.75,32.0,32.0,8.0,0.976562,0.082937,0.923914,1.0,0.202937,32.0,1152.0
wpu-adaptive-observation,clean,8192,0.75,32.0,32.0,4.71875,0.957031,0.093165,0.915742,1.0,0.163946,32.0,1152.0
wpu-learned-observation,clean,8192,0.75,32.0,32.0,4.625,0.949219,0.093672,0.915408,0.97619,0.163047,32.0,1152.0
dense-state-copy,clean,8192,0.75,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,8192.0,294912.0
wpu-neighbor-only,noisy_anomaly,128,0.0,24.0,24.0,0.0,1.0,0.052319,0.950307,0.0,0.052319,24.0,864.0
wpu-fixed-observation,noisy_anomaly,128,0.0,32.0,32.0,8.0,1.0,0.069527,0.93504,0.0,0.189527,32.0,1152.0
wpu-adaptive-observation,noisy_anomaly,128,0.0,24.0,24.0,0.0,1.0,0.053406,0.949327,0.0,0.053406,24.0,864.0
wpu-learned-observation,noisy_anomaly,128,0.0,24.0,24.0,0.0,1.0,0.054262,0.948565,0.0,0.054262,24.0,864.0
dense-state-copy,noisy_anomaly,128,0.0,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,128.0,4608.0
wpu-neighbor-only,noisy_anomaly,128,0.25,24.0,24.0,0.0,0.757812,0.162313,0.86398,0.0,0.162313,24.0,864.0
wpu-fixed-observation,noisy_anomaly,128,0.25,32.0,32.0,8.0,0.984375,0.076019,0.92973,0.65625,0.196019,32.0,1152.0
wpu-adaptive-observation,noisy_anomaly,128,0.25,30.5,32.0,1.65625,0.914062,0.105925,0.905639,0.466667,0.130769,30.5,1098.0
wpu-learned-observation,noisy_anomaly,128,0.25,31.0,32.0,1.71875,0.9375,0.097006,0.912332,0.561458,0.122787,31.0,1116.0
dense-state-copy,noisy_anomaly,128,0.25,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,128.0,4608.0
wpu-neighbor-only,noisy_anomaly,128,0.5,24.0,24.0,0.0,0.660156,0.204235,0.833373,0.0,0.204235,24.0,864.0
wpu-fixed-observation,noisy_anomaly,128,0.5,32.0,32.0,8.0,0.917969,0.103627,0.907521,0.747917,0.223627,32.0,1152.0
