accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,composition_steps,excess_over_candidate_oracle,gate_steps,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,loss,no_harm_margin,oracle_match_rate,policy,predicted_regret_mean,predicted_sigma_mean,propagation_steps,regret_corr,regret_retriever_steps,reject_margin,retriever_steps,risk_penalty,seed,selected_composition_argmax_rate,selected_composition_count_only_rate,selected_composition_expected_rate,selected_composition_rate,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,test_samples,total_objects_n,train_candidate_regret_accept_rate,train_candidate_regret_gate_loss,train_seed_count,train_static_learned_loss,train_uncertainty_regret_accept_rate,train_uncertainty_regret_gate_loss,validation_samples_per_seed
,0.544444,4,0.934236,16,600,0.0,600,4,,11,pairwise,0.934236,0.0,1.0,generated_plus_composition_oracle,,,40,,600,0.0,400,0.5,11,0.322222,0.011111,0.066667,0.4,0.033333,0.166667,0.055556,0.044444,0.3,0.144444,0.011111,0.011111,0.133333,90,2048,0.975,0.891338,4,0.912281,0.505556,0.896291,180
,0.522222,4,0.887353,16,600,0.058474,600,4,,13,pairwise,0.945828,0.0,0.0,static_learned_interaction,,,40,,600,0.0,400,0.5,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90,2048,0.802778,0.887477,4,0.909903,0.227778,0.894552,180
0.833333,0.533333,4,0.887353,16,600,0.048304,600,4,0.266667,13,pairwise,0.935657,0.0,0.311111,candidate_regret_gate,0.003978,0.059673,40,0.090224,600,0.0,400,0.5,13,0.577778,0.144444,0.066667,0.788889,0.0,0.011111,0.0,0.0,0.011111,0.022222,0.011111,0.166667,0.0,90,2048,0.802778,0.887477,4,0.909903,0.227778,0.894552,180
0.2,0.522222,4,0.887353,16,600,0.056935,600,4,0.066667,13,pairwise,0.944288,0.0,0.1,uncertainty_regret_gate,0.003978,0.059673,40,0.090224,600,0.0,400,0.5,13,0.177778,0.0,0.022222,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,90,2048,0.802778,0.887477,4,0.909903,0.227778,0.894552,180
,0.555556,4,0.887353,16,600,0.0,600,4,,13,pairwise,0.887353,0.0,1.0,generated_plus_composition_oracle,,,40,,600,0.0,400,0.5,13,0.277778,0.066667,0.022222,0.366667,0.022222,0.188889,0.033333,0.0,0.244444,0.2,0.011111,0.0,0.177778,90,2048,0.802778,0.887477,4,0.909903,0.227778,0.894552,180
,0.5,4,0.90096,16,600,0.031018,600,4,,17,pairwise,0.931978,0.0,0.0,static_learned_interaction,,,40,,600,0.0,400,0.5,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90,2048,0.990278,0.880023,4,0.907513,0.361111,0.892304,180
0.977778,0.488889,4,0.90096,16,600,0.023682,600,4,0.411111,17,pairwise,0.924642,0.0,0.288889,candidate_regret_gate,-0.001957,0.062807,40,0.148428,600,0.0,400,0.5,17,0.744444,0.122222,0.011111,0.877778,0.011111,0.044444,0.022222,0.0,0.077778,0.0,0.0,0.022222,0.022222,90,2048,0.990278,0.880023,4,0.907513,0.361111,0.892304,180
0.3,0.5,4,0.90096,16,600,0.027482,600,4,0.122222,17,pairwise,0.928442,0.0,0.111111,uncertainty_regret_gate,-0.001957,0.062807,40,0.148428,600,0.0,400,0.5,17,0.266667,0.022222,0.011111,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,90,2048,0.990278,0.880023,4,0.907513,0.361111,0.892304,180
,0.522222,4,0.90096,16,600,0.0,600,4,,17,pairwise,0.90096,0.0,1.0,generated_plus_composition_oracle,,,40,,600,0.0,400,0.5,17,0.288889,0.022222,0.022222,0.333333,0.111111,0.088889,0.066667,0.077778,0.344444,0.211111,0.011111,0.0,0.1,90,2048,0.990278,0.880023,4,0.907513,0.361111,0.892304,180
,0.488889,4,0.929363,16,600,0.043588,600,4,,19,pairwise,0.972951,0.0,0.0,static_learned_interaction,,,40,,600,0.0,400,0.5,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90,2048,0.973611,0.89723,4,0.923252,0.398611,0.902088,180
