model,total_n,k_ref,true_relation_confidence,missing_rate,false_positive_rate,delta_mse,delta_mae,mean_selected_k,max_selected_k,mean_updated_k,work_proxy,bytes_proxy,accuracy_per_kwork
dense-graph,128,8,0.2,0.0,0.0,0.00316,0.038401,8.0,8,8.0,135.0,4608.0,2344.249876
serialized-token,128,8,0.2,0.0,0.0,0.003076,0.038798,8.0,8,8.0,135.0,5632.0,2408.020689
graph-transformer-proxy,128,8,0.2,0.0,0.0,0.00316,0.038401,8.0,8,8.0,18225.0,65536.0,17.364814
wpu-hybrid,128,8,0.2,0.0,0.25,0.002324,0.035588,8.0,8,8.0,8.0,288.0,53789.866643
wpu-hybrid-context,128,8,0.2,0.0,0.25,0.002294,0.033811,8.0,8,8.0,9.0,416.0,48429.56881
wpu-region-guard,128,8,0.2,0.0,0.25,0.002124,0.034746,8.0,8,8.0,8.0,288.0,58849.337622
dense-graph,128,8,0.2,0.0,0.25,0.002969,0.03835,8.0,8,8.0,137.0,4608.0,2458.379206
serialized-token,128,8,0.2,0.0,0.25,0.002893,0.03764,8.0,8,8.0,137.0,5632.0,2522.841012
graph-transformer-proxy,128,8,0.2,0.0,0.25,0.002969,0.03835,8.0,8,8.0,18769.0,65536.0,17.944374
wpu-hybrid,128,8,0.2,0.5,0.0,0.007176,0.046507,8.0,8,7.890625,7.890625,284.0625,17661.286273
wpu-hybrid-context,128,8,0.2,0.5,0.0,0.007089,0.043346,8.0,8,7.890625,8.890625,410.3125,15866.884257
wpu-region-guard,128,8,0.2,0.5,0.0,0.002474,0.036406,8.0,8,8.0,8.0,288.0,50515.818843
dense-graph,128,8,0.2,0.5,0.0,0.003627,0.041947,8.0,8,8.0,131.578125,4608.0,2095.487067
serialized-token,128,8,0.2,0.5,0.0,0.003491,0.039746,8.0,8,8.0,131.578125,5632.0,2176.789268
graph-transformer-proxy,128,8,0.2,0.5,0.0,0.003627,0.041947,8.0,8,8.0,17314.703125,65536.0,15.924054
wpu-hybrid,128,8,0.2,0.5,0.25,0.002253,0.035959,8.0,8,8.0,8.0,288.0,55476.92162
wpu-hybrid-context,128,8,0.2,0.5,0.25,0.002093,0.032358,8.0,8,8.0,9.0,416.0,53086.593316
wpu-region-guard,128,8,0.2,0.5,0.25,0.001955,0.033461,8.0,8,8.0,8.0,288.0,63941.573316
dense-graph,128,8,0.2,0.5,0.25,0.002789,0.038159,8.0,8,8.0,133.4375,4608.0,2687.1026
serialized-token,128,8,0.2,0.5,0.25,0.002595,0.034576,8.0,8,8.0,133.4375,5632.0,2888.157596
graph-transformer-proxy,128,8,0.2,0.5,0.25,0.002789,0.038159,8.0,8,8.0,17807.5625,65536.0,20.13528
wpu-hybrid,128,16,0.95,0.0,0.0,0.002297,0.038046,16.0,16,16.0,16.0,576.0,27205.690335
wpu-hybrid-context,128,16,0.95,0.0,0.0,0.002551,0.037715,16.0,16,16.0,17.0,832.0,23057.657281
wpu-region-guard,128,16,0.95,0.0,0.0,0.002156,0.036897,16.0,16,16.0,16.0,576.0,28989.430763
dense-graph,128,16,0.95,0.0,0.0,0.00242,0.03696,16.0,16,16.0,143.0,4608.0,2890.172911
serialized-token,128,16,0.95,0.0,0.0,0.002097,0.032839,16.0,16,16.0,143.0,5632.0,3334.043373
graph-transformer-proxy,128,16,0.95,0.0,0.0,0.00242,0.03696,16.0,16,16.0,20449.0,65536.0,20.210999
wpu-hybrid,128,16,0.95,0.0,0.25,0.002342,0.038393,16.0,16,16.0,16.0,576.0,26690.333079
wpu-hybrid-context,128,16,0.95,0.0,0.25,0.002554,0.038992,16.0,16,16.0,17.0,832.0,23032.3293
wpu-region-guard,128,16,0.95,0.0,0.25,0.002186,0.037318,16.0,16,16.0,16.0,576.0,28597.492872
dense-graph,128,16,0.95,0.0,0.25,0.002449,0.037019,16.0,16,16.0,147.0,4608.0,2777.408749
serialized-token,128,16,0.95,0.0,0.25,0.002137,0.033119,16.0,16,16.0,147.0,5632.0,3183.102852
graph-transformer-proxy,128,16,0.95,0.0,0.25,0.002449,0.037019,16.0,16,16.0,21609.0,65536.0,18.893937
wpu-hybrid,128,16,0.95,0.5,0.0,0.119376,0.243897,16.0,16,8.515625,8.515625,306.5625,983.705381
wpu-hybrid-context,128,16,0.95,0.5,0.0,0.119501,0.243696,16.0,16,8.515625,9.515625,442.8125,879.408055
wpu-region-guard,128,16,0.95,0.5,0.0,0.002358,0.038663,16.0,16,16.0,16.0,576.0,26507.179612
dense-graph,128,16,0.95,0.5,0.0,0.003033,0.042505,16.0,16,16.0,135.515625,4608.0,2433.281046
serialized-token,128,16,0.95,0.5,0.0,0.002305,0.033951,16.0,16,16.0,135.515625,5632.0,3200.996288
graph-transformer-proxy,128,16,0.95,0.5,0.0,0.003033,0.042505,16.0,16,16.0,18367.703125,65536.0,17.952577
wpu-hybrid,128,16,0.95,0.5,0.25,0.002481,0.040069,16.0,16,16.0,16.0,576.0,25193.465874
wpu-hybrid-context,128,16,0.95,0.5,0.25,0.002331,0.037258,16.0,16,16.0,17.0,832.0,25237.094515
wpu-region-guard,128,16,0.95,0.5,0.25,0.002215,0.037497,16.0,16,16.0,16.0,576.0,28219.572506
dense-graph,128,16,0.95,0.5,0.25,0.002814,0.041096,16.0,16,16.0,139.640625,4608.0,2544.704946
serialized-token,128,16,0.95,0.5,0.25,0.002097,0.032378,16.0,16,16.0,139.640625,5632.0,3414.738933
graph-transformer-proxy,128,16,0.95,0.5,0.25,0.002814,0.041096,16.0,16,16.0,19503.671875,65536.0,18.219348
wpu-hybrid,128,16,0.2,0.0,0.0,0.002522,0.038937,16.0,16,16.0,16.0,576.0,24778.149024
wpu-hybrid-context,128,16,0.2,0.0,0.0,0.002344,0.036225,16.0,16,16.0,17.0,832.0,25099.733502
wpu-region-guard,128,16,0.2,0.0,0.0,0.002436,0.038867,16.0,16,16.0,16.0,576.0,25652.591913
dense-graph,128,16,0.2,0.0,0.0,0.003042,0.041516,16.0,16,16.0,143.0,4608.0,2298.658942
serialized-token,128,16,0.2,0.0,0.0,0.002167,0.032525,16.0,16,16.0,143.0,5632.0,3227.08805
graph-transformer-proxy,128,16,0.2,0.0,0.0,0.003042,0.041516,16.0,16,16.0,20449.0,65536.0,16.074538
wpu-hybrid,128,16,0.2,0.0,0.25,0.002626,0.039262,16.0,16,16.0,16.0,576.0,23802.604269
wpu-hybrid-context,128,16,0.2,0.0,0.25,0.002437,0.03673,16.0,16,16.0,17.0,832.0,24136.441615
wpu-region-guard,128,16,0.2,0.0,0.25,0.002533,0.039238,16.0,16,16.0,16.0,576.0,24677.646609
dense-graph,128,16,0.2,0.0,0.25,0.003159,0.041898,16.0,16,16.0,147.0,4608.0,2153.561615
serialized-token,128,16,0.2,0.0,0.25,0.002257,0.032565,16.0,16,16.0,147.0,5632.0,3014.179569
graph-transformer-proxy,128,16,0.2,0.0,0.25,0.003159,0.041898,16.0,16,16.0,21609.0,65536.0,14.650079
wpu-hybrid,128,16,0.2,0.5,0.0,0.002349,0.038076,16.0,16,16.0,16.0,576.0,26602.214346
wpu-hybrid-context,128,16,0.2,0.5,0.0,0.002065,0.034436,16.0,16,16.0,17.0,832.0,28485.984936
wpu-region-guard,128,16,0.2,0.5,0.0,0.002182,0.036877,16.0,16,16.0,16.0,576.0,28639.541619
dense-graph,128,16,0.2,0.5,0.0,0.002821,0.040627,16.0,16,16.0,135.53125,4608.0,2615.305549
serialized-token,128,16,0.2,0.5,0.0,0.002009,0.031175,16.0,16,16.0,135.53125,5632.0,3672.308438
graph-transformer-proxy,128,16,0.2,0.5,0.0,0.002821,0.040627,16.0,16,16.0,18371.375,65536.0,19.293909
wpu-hybrid,128,16,0.2,0.5,0.25,0.002261,0.037993,16.0,16,16.0,16.0,576.0,27644.135205
wpu-hybrid-context,128,16,0.2,0.5,0.25,0.001947,0.034252,16.0,16,16.0,17.0,832.0,30213.418025
wpu-region-guard,128,16,0.2,0.5,0.25,0.002048,0.036371,16.0,16,16.0,16.0,576.0,30510.836573
dense-graph,128,16,0.2,0.5,0.25,0.002692,0.040573,16.0,16,16.0,139.46875,4608.0,2663.611792
serialized-token,128,16,0.2,0.5,0.25,0.001828,0.030246,16.0,16,16.0,139.46875,5632.0,3922.587217
graph-transformer-proxy,128,16,0.2,0.5,0.25,0.002692,0.040573,16.0,16,16.0,19455.4375,65536.0,19.094436
wpu-hybrid,512,4,0.95,0.0,0.0,0.003953,0.052032,4.0,4,4.0,4.0,144.0,63250.496413
wpu-hybrid-context,512,4,0.95,0.0,0.0,0.004391,0.050574,4.0,4,4.0,5.0,208.0,45551.535421
wpu-region-guard,512,4,0.95,0.0,0.0,0.003453,0.047858,4.0,4,4.0,4.0,144.0,72411.164489
dense-graph,512,4,0.95,0.0,0.0,0.00535,0.058643,4.0,4,4.0,515.0,18432.0,362.931188
serialized-token,512,4,0.95,0.0,0.0,0.004486,0.048576,4.0,4,4.0,515.0,22528.0,432.856244
