model,total_n,k_ref,true_relation_confidence,missing_rate,false_positive_rate,delta_mse,delta_mae,mean_selected_k,max_selected_k,mean_updated_k,work_proxy,bytes_proxy,accuracy_per_kwork
graph-transformer-proxy,8192,4,0.95,0.5,0.25,0.0054,0.057611,4.0,4,4.0,67147270.125,268435456.0,0.002758
wpu-hybrid,8192,4,0.2,0.0,0.0,0.003938,0.048172,4.0,4,4.0,4.0,144.0,63490.239764
wpu-hybrid-context,8192,4,0.2,0.0,0.0,0.004171,0.048653,4.0,4,4.0,5.0,208.0,47946.454579
wpu-region-guard,8192,4,0.2,0.0,0.0,0.003365,0.045436,4.0,4,4.0,4.0,144.0,74291.628761
dense-graph,8192,4,0.2,0.0,0.0,0.005315,0.054234,4.0,4,4.0,8195.0,294912.0,22.960352
serialized-token,8192,4,0.2,0.0,0.0,0.004079,0.048747,4.0,4,4.0,8195.0,360448.0,29.915594
graph-transformer-proxy,8192,4,0.2,0.0,0.0,0.005315,0.054234,4.0,4,4.0,67158025.0,268435456.0,0.002802
wpu-hybrid,8192,4,0.2,0.0,0.25,0.003956,0.048705,4.0,4,4.0,4.0,144.0,63196.79119
wpu-hybrid-context,8192,4,0.2,0.0,0.25,0.004237,0.049386,4.0,4,4.0,5.0,208.0,47200.494892
wpu-region-guard,8192,4,0.2,0.0,0.25,0.003392,0.046049,4.0,4,4.0,4.0,144.0,73698.956951
dense-graph,8192,4,0.2,0.0,0.25,0.005283,0.054471,4.0,4,4.0,8196.0,294912.0,23.095656
serialized-token,8192,4,0.2,0.0,0.25,0.004057,0.049276,4.0,4,4.0,8196.0,360448.0,30.074925
graph-transformer-proxy,8192,4,0.2,0.0,0.25,0.005283,0.054471,4.0,4,4.0,67174416.0,268435456.0,0.002818
wpu-hybrid,8192,4,0.2,0.5,0.0,0.034144,0.091087,4.0,4,3.71875,3.71875,133.875,7875.71065
wpu-hybrid-context,8192,4,0.2,0.5,0.0,0.034376,0.089809,4.0,4,3.71875,4.71875,193.375,6164.867099
wpu-region-guard,8192,4,0.2,0.5,0.0,0.003251,0.044433,4.0,4,4.0,4.0,144.0,76897.405541
dense-graph,8192,4,0.2,0.5,0.0,0.00516,0.054194,4.0,4,4.0,8193.578125,294912.0,23.651502
serialized-token,8192,4,0.2,0.5,0.0,0.004026,0.047509,4.0,4,4.0,8193.578125,360448.0,30.313511
graph-transformer-proxy,8192,4,0.2,0.5,0.0,0.00516,0.054194,4.0,4,4.0,67134723.203125,268435456.0,0.002887
wpu-hybrid,8192,4,0.2,0.5,0.25,0.00372,0.049627,4.0,4,4.0,4.0,144.0,67210.365948
wpu-hybrid-context,8192,4,0.2,0.5,0.25,0.003821,0.04721,4.0,4,4.0,5.0,208.0,52337.763362
wpu-region-guard,8192,4,0.2,0.5,0.25,0.003135,0.045629,4.0,4,4.0,4.0,144.0,79735.709897
dense-graph,8192,4,0.2,0.5,0.25,0.004833,0.054501,4.0,4,4.0,8194.5625,294912.0,25.249211
serialized-token,8192,4,0.2,0.5,0.25,0.003807,0.049,4.0,4,4.0,8194.5625,360448.0,32.056666
graph-transformer-proxy,8192,4,0.2,0.5,0.25,0.004833,0.054501,4.0,4,4.0,67150855.25,268435456.0,0.003081
wpu-hybrid,8192,8,0.95,0.0,0.0,0.002179,0.035324,8.0,8,8.0,8.0,288.0,57361.327731
wpu-hybrid-context,8192,8,0.95,0.0,0.0,0.002245,0.033606,8.0,8,8.0,9.0,416.0,49499.188101
wpu-region-guard,8192,8,0.95,0.0,0.0,0.001922,0.03313,8.0,8,8.0,8.0,288.0,65046.180768
dense-graph,8192,8,0.95,0.0,0.0,0.002705,0.036517,8.0,8,8.0,8199.0,294912.0,45.082629
serialized-token,8192,8,0.95,0.0,0.0,0.002337,0.035963,8.0,8,8.0,8199.0,360448.0,52.194388
graph-transformer-proxy,8192,8,0.95,0.0,0.0,0.002705,0.036517,8.0,8,8.0,67223601.0,268435456.0,0.005499
wpu-hybrid,8192,8,0.95,0.0,0.25,0.002435,0.037204,8.0,8,8.0,8.0,288.0,51338.454606
wpu-hybrid-context,8192,8,0.95,0.0,0.25,0.002507,0.035348,8.0,8,8.0,9.0,416.0,44313.504854
wpu-region-guard,8192,8,0.95,0.0,0.25,0.002153,0.035066,8.0,8,8.0,8.0,288.0,58058.239837
dense-graph,8192,8,0.95,0.0,0.25,0.003021,0.038371,8.0,8,8.0,8201.0,294912.0,40.367734
serialized-token,8192,8,0.95,0.0,0.25,0.002577,0.037657,8.0,8,8.0,8201.0,360448.0,47.30894
graph-transformer-proxy,8192,8,0.95,0.0,0.25,0.003021,0.038371,8.0,8,8.0,67256401.0,268435456.0,0.004922
wpu-hybrid,8192,8,0.95,0.5,0.0,0.145152,0.264194,8.0,8,4.4375,4.4375,159.75,1552.529633
wpu-hybrid-context,8192,8,0.95,0.5,0.0,0.145402,0.264055,8.0,8,4.4375,5.4375,230.75,1264.825579
wpu-region-guard,8192,8,0.95,0.5,0.0,0.002242,0.035199,8.0,8,8.0,8.0,288.0,55761.566285
dense-graph,8192,8,0.95,0.5,0.0,0.003275,0.040334,8.0,8,8.0,8195.4375,294912.0,37.255006
serialized-token,8192,8,0.95,0.5,0.0,0.002711,0.037342,8.0,8,8.0,8195.4375,360448.0,45.011435
graph-transformer-proxy,8192,8,0.95,0.5,0.0,0.003275,0.040334,8.0,8,8.0,67165197.34375,268435456.0,0.004546
wpu-hybrid,8192,8,0.95,0.5,0.25,0.002829,0.040334,8.0,8,8.0,8.0,288.0,44185.544904
wpu-hybrid-context,8192,8,0.95,0.5,0.25,0.002826,0.037312,8.0,8,8.0,9.0,416.0,39321.526362
wpu-region-guard,8192,8,0.95,0.5,0.25,0.002383,0.036571,8.0,8,8.0,8.0,288.0,52462.765792
dense-graph,8192,8,0.95,0.5,0.25,0.003411,0.041308,8.0,8,8.0,8197.578125,294912.0,35.761862
serialized-token,8192,8,0.95,0.5,0.25,0.00283,0.038261,8.0,8,8.0,8197.578125,360448.0,43.108377
graph-transformer-proxy,8192,8,0.95,0.5,0.25,0.003411,0.041308,8.0,8,8.0,67200288.921875,268435456.0,0.004362
wpu-hybrid,8192,8,0.2,0.0,0.0,0.002362,0.03585,8.0,8,8.0,8.0,288.0,52910.348563
wpu-hybrid-context,8192,8,0.2,0.0,0.0,0.00229,0.033797,8.0,8,8.0,9.0,416.0,48528.430672
wpu-region-guard,8192,8,0.2,0.0,0.0,0.002162,0.034927,8.0,8,8.0,8.0,288.0,57816.976112
dense-graph,8192,8,0.2,0.0,0.0,0.003015,0.038715,8.0,8,8.0,8199.0,294912.0,40.447704
serialized-token,8192,8,0.2,0.0,0.0,0.002185,0.032528,8.0,8,8.0,8199.0,360448.0,55.818379
graph-transformer-proxy,8192,8,0.2,0.0,0.0,0.003015,0.038715,8.0,8,8.0,67223601.0,268435456.0,0.004933
wpu-hybrid,8192,8,0.2,0.0,0.25,0.002432,0.036143,8.0,8,8.0,8.0,288.0,51391.740248
wpu-hybrid-context,8192,8,0.2,0.0,0.25,0.002365,0.034001,8.0,8,8.0,9.0,416.0,46973.630445
wpu-region-guard,8192,8,0.2,0.0,0.25,0.002231,0.035191,8.0,8,8.0,8.0,288.0,56029.590531
dense-graph,8192,8,0.2,0.0,0.25,0.003104,0.038853,8.0,8,8.0,8201.0,294912.0,39.282715
serialized-token,8192,8,0.2,0.0,0.25,0.002253,0.032644,8.0,8,8.0,8201.0,360448.0,54.130446
graph-transformer-proxy,8192,8,0.2,0.0,0.25,0.003104,0.038853,8.0,8,8.0,67256401.0,268435456.0,0.00479
wpu-hybrid,8192,8,0.2,0.5,0.0,0.007327,0.045282,8.0,8,7.890625,7.890625,284.0625,17297.404268
wpu-hybrid-context,8192,8,0.2,0.5,0.0,0.007237,0.042154,8.0,8,7.890625,8.890625,410.3125,15542.801998
wpu-region-guard,8192,8,0.2,0.5,0.0,0.002181,0.035041,8.0,8,8.0,8.0,288.0,57300.399315
dense-graph,8192,8,0.2,0.5,0.0,0.003133,0.040144,8.0,8,8.0,8195.515625,294912.0,38.940057
serialized-token,8192,8,0.2,0.5,0.0,0.002358,0.033477,8.0,8,8.0,8195.515625,360448.0,51.741748
graph-transformer-proxy,8192,8,0.2,0.5,0.0,0.003133,0.040144,8.0,8,8.0,67166478.109375,268435456.0,0.004751
wpu-hybrid,8192,8,0.2,0.5,0.25,0.002678,0.038664,8.0,8,8.0,8.0,288.0,46671.446187
wpu-hybrid-context,8192,8,0.2,0.5,0.25,0.002626,0.035624,8.0,8,8.0,9.0,416.0,42305.894264
wpu-region-guard,8192,8,0.2,0.5,0.25,0.002398,0.036531,8.0,8,8.0,8.0,288.0,52119.553996
dense-graph,8192,8,0.2,0.5,0.25,0.003403,0.041267,8.0,8,8.0,8197.40625,294912.0,35.852204
serialized-token,8192,8,0.2,0.5,0.25,0.002614,0.035104,8.0,8,8.0,8197.40625,360448.0,46.674748
graph-transformer-proxy,8192,8,0.2,0.5,0.25,0.003403,0.041267,8.0,8,8.0,67197471.03125,268435456.0,0.004374
wpu-hybrid,8192,16,0.95,0.0,0.0,0.002501,0.03973,16.0,16,16.0,16.0,576.0,24990.47086
wpu-hybrid-context,8192,16,0.95,0.0,0.0,0.00267,0.039361,16.0,16,16.0,17.0,832.0,22031.570435
wpu-region-guard,8192,16,0.95,0.0,0.0,0.002277,0.038038,16.0,16,16.0,16.0,576.0,27447.921932
dense-graph,8192,16,0.95,0.0,0.0,0.002616,0.038387,16.0,16,16.0,8207.0,294912.0,46.582048
serialized-token,8192,16,0.95,0.0,0.0,0.0029,0.042886,16.0,16,16.0,8207.0,360448.0,42.019794
graph-transformer-proxy,8192,16,0.95,0.0,0.0,0.002616,0.038387,16.0,16,16.0,67354849.0,268435456.0,0.005676
wpu-hybrid,8192,16,0.95,0.0,0.25,0.00232,0.03809,16.0,16,16.0,16.0,576.0,26937.556245
wpu-hybrid-context,8192,16,0.95,0.0,0.25,0.002365,0.037658,16.0,16,16.0,17.0,832.0,24868.280964
wpu-region-guard,8192,16,0.95,0.0,0.25,0.002074,0.036254,16.0,16,16.0,16.0,576.0,30141.235192
dense-graph,8192,16,0.95,0.0,0.25,0.00243,0.037298,16.0,16,16.0,8211.0,294912.0,50.125361
serialized-token,8192,16,0.95,0.0,0.25,0.002494,0.039064,16.0,16,16.0,8211.0,360448.0,48.829233
graph-transformer-proxy,8192,16,0.95,0.0,0.25,0.00243,0.037298,16.0,16,16.0,67420521.0,268435456.0,0.006105
wpu-hybrid,8192,16,0.95,0.5,0.0,0.127218,0.255419,16.0,16,8.28125,8.28125,298.125,949.194894
wpu-hybrid-context,8192,16,0.95,0.5,0.0,0.127329,0.255491,16.0,16,8.28125,9.28125,430.625,846.185872
wpu-region-guard,8192,16,0.95,0.5,0.0,0.002089,0.036835,16.0,16,16.0,16.0,576.0,29919.485203
dense-graph,8192,16,0.95,0.5,0.0,0.002656,0.040123,16.0,16,16.0,8199.28125,294912.0,45.920813
serialized-token,8192,16,0.95,0.5,0.0,0.00228,0.037448,16.0,16,16.0,8199.28125,360448.0,53.493016
graph-transformer-proxy,8192,16,0.95,0.5,0.0,0.002656,0.040123,16.0,16,16.0,67228217.0,268435456.0,0.005601
wpu-hybrid,8192,16,0.95,0.5,0.25,0.002662,0.041517,16.0,16,16.0,16.0,576.0,23477.64344
wpu-hybrid-context,8192,16,0.95,0.5,0.25,0.002501,0.039535,16.0,16,16.0,17.0,832.0,23517.964154
wpu-region-guard,8192,16,0.95,0.5,0.25,0.002363,0.039168,16.0,16,16.0,16.0,576.0,26444.580093
dense-graph,8192,16,0.95,0.5,0.25,0.002994,0.042517,16.0,16,16.0,8203.515625,294912.0,40.711426
serialized-token,8192,16,0.95,0.5,0.25,0.002504,0.03944,16.0,16,16.0,8203.515625,360448.0,48.678221
graph-transformer-proxy,8192,16,0.95,0.5,0.25,0.002994,0.042517,16.0,16,16.0,67297672.640625,268435456.0,0.004963
wpu-hybrid,8192,16,0.2,0.0,0.0,0.002383,0.037418,16.0,16,16.0,16.0,576.0,26231.062015
wpu-hybrid-context,8192,16,0.2,0.0,0.0,0.002089,0.034494,16.0,16,16.0,17.0,832.0,28153.794567
wpu-region-guard,8192,16,0.2,0.0,0.0,0.002284,0.037343,16.0,16,16.0,16.0,576.0,27362.107375
dense-graph,8192,16,0.2,0.0,0.0,0.002856,0.039975,16.0,16,16.0,8207.0,294912.0,42.659705
serialized-token,8192,16,0.2,0.0,0.0,0.002039,0.034297,16.0,16,16.0,8207.0,360448.0,59.750596
graph-transformer-proxy,8192,16,0.2,0.0,0.0,0.002856,0.039975,16.0,16,16.0,67354849.0,268435456.0,0.005198
wpu-hybrid,8192,16,0.2,0.0,0.25,0.002504,0.038828,16.0,16,16.0,16.0,576.0,24959.526974
wpu-hybrid-context,8192,16,0.2,0.0,0.25,0.002154,0.035661,16.0,16,16.0,17.0,832.0,27314.29615
wpu-region-guard,8192,16,0.2,0.0,0.25,0.002356,0.038489,16.0,16,16.0,16.0,576.0,26532.445333
dense-graph,8192,16,0.2,0.0,0.25,0.002982,0.041417,16.0,16,16.0,8211.0,294912.0,40.83716
serialized-token,8192,16,0.2,0.0,0.25,0.002052,0.03511,16.0,16,16.0,8211.0,360448.0,59.340137
graph-transformer-proxy,8192,16,0.2,0.0,0.25,0.002982,0.041417,16.0,16,16.0,67420521.0,268435456.0,0.004973
wpu-hybrid,8192,16,0.2,0.5,0.0,0.002472,0.039411,16.0,16,16.0,16.0,576.0,25282.589565
wpu-hybrid-context,8192,16,0.2,0.5,0.0,0.002197,0.035983,16.0,16,16.0,17.0,832.0,26771.451231
wpu-region-guard,8192,16,0.2,0.5,0.0,0.002254,0.037409,16.0,16,16.0,16.0,576.0,27734.260105
dense-graph,8192,16,0.2,0.5,0.0,0.002986,0.042025,16.0,16,16.0,8199.5,294912.0,40.839643
serialized-token,8192,16,0.2,0.5,0.0,0.002173,0.03601,16.0,16,16.0,8199.5,360448.0,56.120852
graph-transformer-proxy,8192,16,0.2,0.5,0.0,0.002986,0.042025,16.0,16,16.0,67231804.28125,268435456.0,0.004981
wpu-hybrid,8192,16,0.2,0.5,0.25,0.002235,0.037631,16.0,16,16.0,16.0,576.0,27965.496644
wpu-hybrid-context,8192,16,0.2,0.5,0.25,0.001994,0.034534,16.0,16,16.0,17.0,832.0,29499.906755
wpu-region-guard,8192,16,0.2,0.5,0.25,0.002078,0.036331,16.0,16,16.0,16.0,576.0,30070.707916
dense-graph,8192,16,0.2,0.5,0.25,0.002692,0.040145,16.0,16,16.0,8203.671875,294912.0,45.288742
serialized-token,8192,16,0.2,0.5,0.25,0.001965,0.034187,16.0,16,16.0,8203.671875,360448.0,62.037579
graph-transformer-proxy,8192,16,0.2,0.5,0.25,0.002692,0.040145,16.0,16,16.0,67300234.890625,268435456.0,0.005521
