row_type,model,seed,train_mechanism,eval_mechanism,temperature,calibration_mode,mechanism_prior_strength,mechanism_prior_policy,mechanism_prior_selection_metric,mechanism_prior_selection_score,calibration_bias,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,seed_count
seed,wpu-cws-indexed-local-dense,13,nominal,high_force,1.0,mechanism_prior,0.0,selected,nll_ece,1.479701,0.000000;0.000000;0.000000,32,37,36,0.416667,0.416667,0.682673,1.52711,0.875541,0.417831,4.35,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,13,nominal,edge_shift,1.0,mechanism_prior,0.75,selected,nll_ece,1.151304,0.062397;0.859972;-0.922369,32,37,36,0.555556,0.555556,0.478119,1.17919,0.674726,0.275259,4.35,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,13,nominal,catch_heavy,1.0,mechanism_prior,1.0,selected,nll_ece,1.088126,-0.017650;-0.768861;0.786510,32,37,36,0.638889,0.805556,0.212777,0.745705,0.45279,0.12759,4.825,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,17,nominal,nominal,1.0,mechanism_prior,0.0,selected,nll_ece,1.177688,0.000000;0.000000;0.000000,32,37,36,0.305556,0.444444,0.126832,1.064446,0.663646,0.200701,4.4,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,17,nominal,high_force,1.0,mechanism_prior,0.0,selected,nll_ece,1.210745,0.000000;0.000000;0.000000,32,37,36,0.361111,0.361111,0.514212,1.246099,0.764928,0.30322,4.4,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,17,nominal,edge_shift,1.0,mechanism_prior,0.5,selected,nll_ece,1.19619,-0.063047;0.601389;-0.538342,32,37,36,0.527778,0.555556,0.400856,1.078825,0.660288,0.217656,4.4,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,17,nominal,catch_heavy,1.0,mechanism_prior,0.75,selected,nll_ece,0.959564,-0.091465;-0.526967;0.618433,32,37,36,0.722222,0.777778,0.10491,0.756968,0.444147,0.157574,4.8,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,19,nominal,nominal,1.0,mechanism_prior,0.0,selected,nll_ece,1.264621,0.000000;0.000000;0.000000,32,37,36,0.333333,0.444444,0.094441,1.005166,0.643043,0.203209,4.4,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,19,nominal,high_force,1.0,mechanism_prior,0.0,selected,nll_ece,1.278265,0.000000;0.000000;0.000000,32,37,36,0.361111,0.361111,0.460408,1.339597,0.811629,0.376202,4.4,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,19,nominal,edge_shift,1.0,mechanism_prior,0.75,selected,nll_ece,1.290088,-0.049969;0.858349;-0.808380,32,37,36,0.638889,0.555556,0.382087,1.01597,0.594416,0.272782,4.4,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,19,nominal,catch_heavy,1.0,mechanism_prior,0.75,selected,nll_ece,0.921656,-0.201866;-0.500627;0.702493,32,37,36,0.722222,0.777778,0.071082,0.705851,0.424211,0.132156,4.825,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,23,nominal,nominal,1.0,mechanism_prior,0.0,selected,nll_ece,1.326946,0.000000;0.000000;0.000000,32,37,36,0.5,0.472222,0.189993,1.071075,0.655152,0.153951,4.275,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,23,nominal,high_force,1.0,mechanism_prior,0.0,selected,nll_ece,1.486949,0.000000;0.000000;0.000000,32,37,36,0.472222,0.472222,0.837928,1.14081,0.702223,0.294234,4.275,1.0,1.0,1
